event_id,official_date,et_time,class_meta
AIT-2022-12-001,2022-12-07,2022-12-07T09:10:20-05:00,pre_market
AIT-2023-05-002,2023-05-10,2023-05-10T14:02:00-04:00,market_hours
AIT-2023-07-001,2023-07-26,2023-07-26T07:47:46-04:00,pre_market
AIT-2023-07-002,2023-07-11,2023-05-11T03:00:00-04:00,published_before_date
AIT-2023-12-002,2023-12-06,2023-12-06T10:00:00-05:00,market_hours
AIT-2024-02-001,2024-02-22,2024-02-22T07:00:00-05:00,pre_market
AIT-2024-02-003,2024-02-15,2024-02-15T10:00:00-05:00,market_hours
AIT-2024-03-002,2024-03-04,2024-03-04T03:00:00-05:00,pre_market
AIT-2024-04-001,2024-04-03,2024-04-03T08:05:35-04:00,pre_market
AIT-2024-04-005,2024-04-23,2024-04-23T15:30:00-04:00,market_hours
AIT-2024-05-002,2024-05-14,2024-05-14T14:00:00-04:00,market_hours
AIT-2024-06-001,2024-06-12,2024-06-12T09:00:00-04:00,pre_market
AIT-2024-06-004,2024-06-17,2024-06-17T06:10:10.110000-04:00,pre_market
AIT-2024-06-005,2024-06-20,2024-06-20T23:28:00-04:00,after_hours
AIT-2024-08-001,2024-08-01,2024-08-01T10:56:00-04:00,market_hours
AIT-2024-09-003,2024-09-19,2024-09-18T12:00:04-04:00,published_before_date
AIT-2024-10-001,2024-10-02,2024-10-02T10:56:00-04:00,market_hours
AIT-2024-10-010,2024-10-22,2024-10-22T07:43:00-04:00,pre_market
AIT-2024-10-011,2024-10-22,2024-10-22T11:51:00-04:00,market_hours
AIT-2024-11-001,2024-11-28,2024-11-27T11:00:03-05:00,published_before_date
AIT-2024-11-002,2024-11-12,2024-11-11T11:00:02-05:00,published_before_date
AIT-2024-12-001,2024-12-03,2024-12-03T12:56:47-05:00,market_hours
AIT-2024-12-004,2024-12-11,2024-12-11T10:30:00-05:00,market_hours
AIT-2025-01-005,2025-01-27,2024-10-17T23:48:16-04:00,published_before_date
AIT-2025-01-006,2025-01-28,2025-01-28T10:00:04-05:00,market_hours
AIT-2025-02-002,2025-02-24,2025-02-24T13:30:00-05:00,market_hours
AIT-2025-02-006,2025-02-26,2025-02-26T17:00:00-05:00,after_hours
AIT-2025-03-001,2025-03-25,2025-03-25T13:00:00-04:00,market_hours
AIT-2025-03-005,2025-03-06,2025-03-05T11:00:04-05:00,published_before_date
AIT-2025-04-007,2025-03-31,2025-03-31T12:22:35.195000-04:00,market_hours
AIT-2025-04-008,2025-04-29,2025-04-28T16:00:00-04:00,published_before_date
AIT-2025-05-002,2025-05-01,2025-05-01T12:00:00-04:00,market_hours
AIT-2025-05-003,2025-05-22,2025-05-22T12:30:00-04:00,market_hours
AIT-2025-05-004,2025-05-20,2025-05-20T13:45:00-04:00,market_hours
AIT-2025-06-002,2025-06-03,2025-06-03T08:00:00-04:00,pre_market
AIT-2025-08-002,2025-08-05,2025-08-05T12:00:00-04:00,market_hours
AIT-2025-09-007,2025-09-29,2025-09-29T13:00:00-04:00,market_hours
AIT-2025-10-003,2025-10-15,2025-10-15T13:00:00-04:00,market_hours
AIT-2025-11-007,2025-11-24,2025-11-24T14:00:00-05:00,market_hours
AIT-2026-02-001,2026-02-05,2026-02-05T13:00:00-05:00,market_hours
AIT-2026-03-004,2026-03-26,2026-03-26T12:00:00-04:00,market_hours
