event_id,official_date,event_trading_date,model_names,rows,car_mm_qqq_0_20_nonmissing,car_ff3_0_20_nonmissing,fundamentals_nonmissing
AIT-2022-04-002,2022-04-06,2022-04-06,DALL-E 2,108,100,100,17
AIT-2022-10-001,2022-10-20,2022-10-20,Stable Diffusion 1.5,108,102,102,105
AIT-2022-12-001,2022-12-07,2022-12-07,Stable Diffusion 2.1,108,102,102,107
AIT-2023-03-002,2023-03-14,2023-03-14,GPT-4,108,102,102,107
AIT-2023-05-002,2023-05-10,2023-05-10,PaLM 2,108,102,102,107
AIT-2023-07-001,2023-07-26,2023-07-26,Stable Diffusion XL 1.0,108,103,103,107
AIT-2023-07-002,2023-07-11,2023-07-11,Claude 2,108,103,103,107
AIT-2023-07-003,2023-07-18,2023-07-18,LLaMA 2,108,103,103,107
AIT-2023-10-001,2023-10-19,2023-10-19,DALL-E 3,108,103,103,107
AIT-2023-12-001,2023-12-20,2023-12-20,Midjourney v6,108,103,103,108
AIT-2023-12-002,2023-12-06,2023-12-06,Gemini Pro,108,103,103,108
AIT-2024-02-001,2024-02-22,2024-02-22,Stable Diffusion 3,108,103,103,108
AIT-2024-02-003,2024-02-15,2024-02-15,Gemini Pro 1.5,108,103,103,108
AIT-2024-03-002,2024-03-04,2024-03-04,Claude 3,108,103,103,108
AIT-2024-04-001,2024-04-03,2024-04-03,Stable Audio 2.0,108,104,104,108
AIT-2024-04-003,2024-04-17,2024-04-17,Mixtral 8x22B,108,104,104,108
AIT-2024-04-004,2024-04-18,2024-04-18,LLaMA 3,108,104,104,108
AIT-2024-04-005,2024-04-23,2024-04-23,Phi-3-mini,108,104,104,108
AIT-2024-05-001,2024-05-13,2024-05-13,GPT-4o model,108,104,104,108
AIT-2024-05-002,2024-05-14,2024-05-14,Gemini Flash 1.5 model,108,104,104,108
AIT-2024-06-001,2024-06-12,2024-06-12,Stable Diffusion 3,108,104,104,108
AIT-2024-06-003,2024-06-17,2024-06-17,DeepSeekCoderV2,108,104,104,108
AIT-2024-06-004,2024-06-17,2024-06-17,Gen3 Alpha,108,104,104,108
AIT-2024-06-005,2024-06-20,2024-06-20,Claude Sonnet 3.5,108,104,104,108
AIT-2024-07-001,2024-07-18,2024-07-18,GPT-4o mini,108,104,104,108
AIT-2024-07-002,2024-07-23,2024-07-23,llama 3.1 model,108,104,104,108
AIT-2024-07-006,2024-07-23,2024-07-23,Udio v1.5,108,104,104,108
AIT-2024-07-007,2024-07-24,2024-07-24,Mistral Large 2,108,104,104,108
AIT-2024-07-008,2024-07-30,2024-07-30,Midjourney v6.1,108,104,104,108
AIT-2024-08-001,2024-08-01,2024-08-01,Flux,108,104,104,108
AIT-2024-08-002,2024-08-06,2024-08-06,GPT-4o 0806,108,104,104,108
AIT-2024-08-003,2024-08-13,2024-08-13,Imagen 3,108,104,104,108
AIT-2024-08-004,2024-08-13,2024-08-13,Grok 2,108,104,104,108
AIT-2024-08-006,2024-08-27,2024-08-27,Gemini 1.5 Flash8B,108,104,104,108
AIT-2024-09-002,2024-09-12,2024-09-12,o1 preview; o1 mini,108,104,104,108
AIT-2024-09-003,2024-09-19,2024-09-19,Qwen 2.5,108,104,104,108
AIT-2024-09-006,2024-09-25,2024-09-25,Llama 3.2,108,104,104,108
AIT-2024-09-007,2024-09-24,2024-09-24,Gemini Pro 1.5 002; Gemini Flash 1.5 002,108,104,104,108
AIT-2024-09-008,2024-09-18,2024-09-18,Moshi,108,104,104,108
AIT-2024-09-010,2024-09-17,2024-09-17,Mistral Small,108,104,104,108
AIT-2024-10-001,2024-10-02,2024-10-02,Flux 1.1 Pro,108,105,105,108
AIT-2024-10-010,2024-10-22,2024-10-22,Stable Diffusion 3.5,108,105,105,108
AIT-2024-10-011,2024-10-22,2024-10-22,Claude 3.5 Sonnet New,108,105,105,108
AIT-2024-10-013,2024-10-30,2024-10-30,Recraft v3,108,105,105,108
AIT-2024-11-001,2024-11-28,2024-11-29,QwQ 32B Preview,108,105,105,108
AIT-2024-11-002,2024-11-12,2024-11-12,Qwen2.5 Coder 32B,108,105,105,108
AIT-2024-11-005,2024-11-18,2024-11-18,Pixtral Large,108,105,105,108
AIT-2024-11-007,2024-11-04,2024-11-04,Claude 3.5 Haiku,108,105,105,108
AIT-2024-12-001,2024-12-03,2024-12-03,NOVA,108,105,105,108
AIT-2024-12-002,2024-12-05,2024-12-05,SORA; o1; o1 Pro,108,105,105,108
AIT-2024-12-004,2024-12-11,2024-12-11,Gemini 2.0 Flash,108,105,105,108
AIT-2024-12-005,2024-12-19,2024-12-19,Gemini-2.0-Flash-Thinking,108,105,105,108
AIT-2024-12-006,2024-12-16,2024-12-16,Veo 2,108,105,105,108
AIT-2024-12-008,2024-12-12,2024-12-12,Phi4,108,105,105,108
AIT-2024-12-009,2024-12-06,2024-12-06,Llama 3.3 70B,108,105,105,108
AIT-2024-12-013,2024-12-26,2024-12-26,Deepseek V3,108,105,105,108
AIT-2025-01-002,2025-01-21,2025-01-21,Gemini Flash Thinking 0121,108,105,105,108
AIT-2025-01-003,2025-01-20,2025-01-21,R1,108,105,105,108
AIT-2025-01-005,2025-01-27,2025-01-27,Janus Pro 7B,108,105,105,108
