ticker,company,is_main_ndxt,is_sox_robustness,rows,car_mm_qqq_0_20_nonmissing,car_ff3_0_20_nonmissing,fundamentals_nonmissing,bm_ratio_nonmissing
AAPL,Apple Inc.,True,False,125,125,125,124,124
ADBE,Adobe Inc.,True,False,125,125,125,124,124
ADI,Analog Devices,True,True,125,125,125,125,125
ADSK,Autodesk,True,False,125,125,125,125,125
AMAT,Applied Materials,True,True,125,125,125,125,125
AMD,Advanced Micro Devices,True,True,125,125,125,124,124
APP,AppLovin,True,False,125,125,125,124,124
ARM,Arm Holdings,True,False,125,111,111,124,116
ASML,ASML Holding,True,True,125,125,125,124,124
AVGO,Broadcom,True,True,125,125,125,125,125
CDNS,Cadence Design Systems,True,False,125,125,125,124,124
CRWD,CrowdStrike,True,False,125,125,125,125,125
CTSH,Cognizant Technology Solutions Corporation,True,False,125,125,125,124,124
DASH,DoorDash,True,False,125,125,125,124,124
DDOG,Datadog,True,False,125,125,125,124,124
FTNT,Fortinet,True,False,125,125,125,124,98
GOOG,Alphabet Inc. (Class C),True,False,125,125,125,124,124
GOOGL,Alphabet Inc. (Class A),True,False,125,125,125,124,124
INTC,Intel,True,True,125,125,125,124,124
INTU,Intuit,True,False,125,125,125,125,125
KLAC,KLA Corporation,True,True,125,125,125,124,106
LRCX,Lam Research,True,True,125,125,125,124,124
MCHP,Microchip Technology,True,True,125,125,125,124,124
META,Meta Platforms,True,False,125,125,125,124,124
MPWR,Monolithic Power Systems,True,True,125,125,125,124,124
MRVL,Marvell Technology,True,True,125,125,125,125,125
MSFT,Microsoft,True,False,125,125,125,124,124
MSTR,MicroStrategy,True,False,125,125,125,124,120
MU,Micron Technology,True,True,125,125,125,124,124
NVDA,Nvidia,True,True,125,125,125,125,125
NXPI,NXP Semiconductors,True,True,125,125,125,124,124
PANW,Palo Alto Networks,True,False,125,125,125,125,125
PDD,PDD Holdings,True,False,125,125,125,124,124
PLTR,Palantir Technologies,True,False,125,125,125,124,124
QCOM,Qualcomm,True,True,125,125,125,124,124
ROP,Roper Technologies,True,False,125,125,125,124,124
SHOP,Shopify,True,False,125,125,125,124,124
SNDK,Sandisk,True,False,125,33,33,124,47
SNPS,Synopsys,True,False,125,125,125,125,125
STX,Seagate Technology,True,False,125,125,125,124,6
TRI,Thomson Reuters,True,False,125,125,125,124,124
TXN,Texas Instruments,True,True,125,125,125,124,124
WDAY,"Workday, Inc.",True,False,125,125,125,125,125
WDC,Western Digital,True,False,125,125,125,124,124
ZS,"Zscaler, Inc.",True,False,125,125,125,125,125
