"method","term","coef","se","p","df","stars","observations","cluster_1","cluster_2","vcov_min_eigenvalue_before_fix","vcov_eigenvalue_fix_applied"
"event_id_CR2","rel_upstream_hardware",0.034757587394593,0.0108269260748384,0.00169758194021975,121.224204969985,"***",5441,NA,NA,NA,NA
"event_id_CR2","rel_upstream_cloud",0.0105007390074733,0.00673197512719565,0.121461981410574,118.711965466082,"",5441,NA,NA,NA,NA
"event_id_CR2","rel_downstream_integrator",0.0131537829608061,0.00741159880230109,0.0784421288974611,121.511976134177,"*",5441,NA,NA,NA,NA
"event_id_CR2","rel_downstream_deployer",0.0126140572399686,0.00841855718913941,0.136625794572561,121.817307829176,"",5441,NA,NA,NA,NA
"event_id_CR2","rel_downstream_enabler",0.00251331681635826,0.00999346741037403,0.801854005737364,121.944075835942,"",5441,NA,NA,NA,NA
"event_id_CR2","rel_competitor",0.0338531159251032,0.00897418045509512,0.000258313625118681,113.906188878651,"***",5441,NA,NA,NA,NA
"event_id_CR2","rel_is_investor",0.00480290141076812,0.0120192114573901,0.69119348458549,48.7947647979057,"",5441,NA,NA,NA,NA
"event_id_CR2","rel_is_owner",0.0318103372663674,0.0171592494409882,0.0699012824593096,48.0994211029498,"*",5441,NA,NA,NA,NA
"event_date_CR2","rel_upstream_hardware",0.034757587394593,0.012553124492584,0.00676232418666066,95.1995925513585,"***",5441,NA,NA,NA,NA
"event_date_CR2","rel_upstream_cloud",0.0105007390074733,0.00728408496619664,0.152678101643025,95.7425365184098,"",5441,NA,NA,NA,NA
"event_date_CR2","rel_downstream_integrator",0.0131537829608061,0.00793647372165032,0.100697984179359,96.25119522577,"",5441,NA,NA,NA,NA
"event_date_CR2","rel_downstream_deployer",0.0126140572399686,0.00987278080251685,0.204449848956958,96.0169231631992,"",5441,NA,NA,NA,NA
"event_date_CR2","rel_downstream_enabler",0.00251331681635829,0.0110611962903015,0.820731927988086,96.9052066855221,"",5441,NA,NA,NA,NA
"event_date_CR2","rel_competitor",0.0338531159251032,0.00986280764808078,0.000898866188734478,91.8366414881654,"***",5441,NA,NA,NA,NA
"event_date_CR2","rel_is_investor",0.0048029014107681,0.0105445602734822,0.651027538265973,43.4522143706267,"",5441,NA,NA,NA,NA
