"spec","detail","outcome","method","coef","coef_pp","se","p","stars","observations","events","firms","competitor_rows","competitor_events","competitor_firms","cluster_2"
"baseline_spy","","car_mm_spy_0_20","event_CR2",0.0338531159251032,3.38531159251032,0.00897418045509512,0.000258313625118681,"***",5441,124,45,625,123,6,NA
"baseline_spy","","car_mm_spy_0_20","event_x_ticker_HC1",0.0338531159251067,3.38531159251067,0.0142852935532589,0.0222486307413933,"**",5441,124,45,625,123,6,45
"baseline_ff3","","car_ff3_0_20","event_CR2",0.0337093340282898,3.37093340282898,0.00908420550450755,0.000321187358802123,"***",5441,124,45,625,123,6,NA
"baseline_ff3","","car_ff3_0_20","event_x_ticker_HC1",0.0337093340282926,3.37093340282926,0.015660350206613,0.0368800658954177,"**",5441,124,45,625,123,6,45
"baseline_qqq","","car_mm_qqq_0_20","event_CR2",0.0337150574896101,3.37150574896101,0.00899222182109524,0.000280235215721205,"***",5441,124,45,625,123,6,NA
"baseline_qqq","","car_mm_qqq_0_20","event_x_ticker_HC1",0.0337150574896132,3.37150574896132,0.0145696434529127,0.0253953039651502,"**",5441,124,45,625,123,6,45
"baseline_soxx","","car_mm_soxx_0_20","event_CR2",0.0318236378427549,3.18236378427549,0.0091551151535378,0.000721053193362468,"***",5441,124,45,625,123,6,NA
"baseline_soxx","","car_mm_soxx_0_20","event_x_ticker_HC1",0.0318236378427582,3.18236378427582,0.0140284896247747,0.0282578815361801,"**",5441,124,45,625,123,6,45
"event_and_firm_fixed_effects","","car_mm_spy_0_20","event_CR2",0.0131998146143068,1.31998146143068,0.0161069342247033,0.41410653845551,"",5441,124,45,625,123,6,NA
"event_and_firm_fixed_effects","","car_mm_spy_0_20","event_x_ticker_HC1",0.0131998146143094,1.31998146143094,0.00596176433665605,0.0320514491974782,"**",5441,124,45,625,123,6,45
"issuer_cluster_alphabet_combined","","car_mm_spy_0_20","event_CR2",0.0338531159251032,3.38531159251032,0.00897418045509512,0.000258313625118681,"***",5441,124,45,625,123,6,NA
"issuer_cluster_alphabet_combined","","car_mm_spy_0_20","event_x_issuer_id_HC1",0.0338531159251067,3.38531159251067,0.014290008525194,0.0223974748478947,"**",5441,124,45,625,123,6,44
"alphabet_share_class","drop_GOOG","car_mm_spy_0_20","event_CR2",0.0339622488260143,3.39622488260143,0.00902918131669461,0.00026866092280133,"***",5318,124,44,523,123,5,NA
"alphabet_share_class","drop_GOOG","car_mm_spy_0_20","event_x_ticker_HC1",0.0339622488260157,3.39622488260158,0.0142957419981217,0.0220432802436388,"**",5318,124,44,523,123,5,44
"alphabet_share_class","drop_GOOGL","car_mm_spy_0_20","event_CR2",0.0339625699366333,3.39625699366333,0.00903018911694887,0.000269026737568996,"***",5318,124,44,523,123,5,NA
"alphabet_share_class","drop_GOOGL","car_mm_spy_0_20","event_x_ticker_HC1",0.0339625699366347,3.39625699366347,0.0142964359321881,0.0220481660233425,"**",5318,124,44,523,123,5,44
"exclude_competitor_overlap","rel_upstream_cloud","car_mm_spy_0_20","event_CR2",0.0347820941088043,3.47820941088043,0.00929930532369839,0.000290512422482522,"***",5117,124,45,301,123,3,NA
"exclude_competitor_overlap","rel_upstream_cloud","car_mm_spy_0_20","event_x_ticker_HC1",0.0347820941088085,3.47820941088085,0.0147843794109124,0.0231782631722834,"**",5117,124,45,301,123,3,45
"exclude_competitor_overlap","rel_downstream_integrator","car_mm_spy_0_20","event_CR2",0.0463221500100038,4.63221500100038,0.0103387130365348,1.69809745301717e-05,"***",5260,124,45,444,123,4,NA
"exclude_competitor_overlap","rel_downstream_integrator","car_mm_spy_0_20","event_x_ticker_HC1",0.0463221500100036,4.63221500100036,0.0164022700691435,0.00709735145138315,"***",5260,124,45,444,123,4,45
"exclude_competitor_overlap","rel_downstream_deployer","car_mm_spy_0_20","event_CR2",0.0300462013205422,3.00462013205422,0.0109241750639007,0.00700257405935512,"***",5318,124,44,502,123,5,NA
"exclude_competitor_overlap","rel_downstream_deployer","car_mm_spy_0_20","event_x_ticker_HC1",0.0300462013205438,3.00462013205438,0.0164303011281397,0.0743849647194047,"*",5318,124,44,502,123,5,44
"pure_competitor_pressure_test","drop_competitor_rows_with_any_other_position","car_mm_spy_0_20","event_CR2",0.0491479473584551,4.91479473584551,0.0158421155989051,0.00239538441279029,"***",4933,124,44,117,117,1,NA
"pure_competitor_pressure_test","drop_competitor_rows_with_any_other_position","car_mm_spy_0_20","event_x_ticker_HC1",0.049147947358458,4.9147947358458,0.0216190736229419,0.0280572436075207,"**",4933,124,44,117,117,1,44
"leave_one_competitor_ticker_out","AAPL","car_mm_spy_0_20","event_CR2",0.0300462013205422,3.00462013205422,0.0109241750639007,0.00700257405935512,"***",5318,124,44,502,123,5,NA
"leave_one_competitor_ticker_out","AAPL","car_mm_spy_0_20","event_x_ticker_HC1",0.0300462013205438,3.00462013205438,0.0164303011281397,0.0743849647194047,"*",5318,124,44,502,123,5,44
"leave_one_competitor_ticker_out","ADBE","car_mm_spy_0_20","event_CR2",0.0428432111210186,4.28432111210186,0.00985128492477169,2.86374887155043e-05,"***",5318,124,44,564,123,5,NA
"leave_one_competitor_ticker_out","ADBE","car_mm_spy_0_20","event_x_ticker_HC1",0.0428432111210152,4.28432111210152,0.0163407934577595,0.0120452232490906,"**",5318,124,44,564,123,5,44
"leave_one_competitor_ticker_out","GOOG","car_mm_spy_0_20","event_CR2",0.0339622488260143,3.39622488260143,0.00902918131669461,0.00026866092280133,"***",5318,124,44,523,123,5,NA
"leave_one_competitor_ticker_out","GOOG","car_mm_spy_0_20","event_x_ticker_HC1",0.0339622488260157,3.39622488260158,0.0142957419981217,0.0220432802436388,"**",5318,124,44,523,123,5,44
