"date","portfolio","event_window","event_portfolio_return","active_events"
2022-09-21,"competitor_minus_unrelated","pre_21_1",-0.00924327553131539,1
2022-09-21,"deployer_minus_unrelated","pre_21_1",-0.0179538357770718,1
2022-09-21,"hardware_minus_unrelated","pre_21_1",-0.00110929738744291,1
2022-09-22,"competitor_minus_unrelated","pre_21_1",0.00892489472056129,1
2022-09-22,"deployer_minus_unrelated","pre_21_1",-0.0105026543590798,1
2022-09-22,"hardware_minus_unrelated","pre_21_1",-0.021875706692235,1
2022-09-23,"deployer_minus_unrelated","pre_21_1",-0.0362099734875494,1
2022-09-23,"hardware_minus_unrelated","pre_21_1",-0.0144580719989026,1
2022-09-23,"competitor_minus_unrelated","pre_21_1",-0.0145242761513526,1
2022-09-26,"deployer_minus_unrelated","pre_21_1",-0.0256334925402674,1
2022-09-26,"hardware_minus_unrelated","pre_21_1",-0.0395580254688487,1
2022-09-26,"competitor_minus_unrelated","pre_21_1",-0.0323359826628514,1
2022-09-27,"competitor_minus_unrelated","pre_21_1",-0.00525431670596623,1
2022-09-27,"hardware_minus_unrelated","pre_21_1",0.0110074711273963,1
2022-09-27,"deployer_minus_unrelated","pre_21_1",0.00553558640434826,1
2022-09-28,"competitor_minus_unrelated","pre_21_1",-0.0186073991692815,1
2022-09-28,"deployer_minus_unrelated","pre_21_1",-0.0231264639343993,1
2022-09-28,"hardware_minus_unrelated","pre_21_1",-0.0249771678245937,1
2022-09-29,"deployer_minus_unrelated","pre_21_1",-0.0214416196360981,1
2022-09-29,"hardware_minus_unrelated","pre_21_1",-0.00683918668267989,1
2022-09-29,"competitor_minus_unrelated","pre_21_1",-0.0026877633146523,1
2022-09-30,"deployer_minus_unrelated","pre_21_1",0.00596131743405844,1
2022-09-30,"hardware_minus_unrelated","pre_21_1",-0.00586877588644867,1
2022-09-30,"competitor_minus_unrelated","pre_21_1",-0.00862329424920316,1
2022-10-03,"hardware_minus_unrelated","pre_21_1",-0.00646352577468775,1
2022-10-03,"competitor_minus_unrelated","pre_21_1",-0.0153115644048812,1
2022-10-03,"deployer_minus_unrelated","pre_21_1",-0.0285608484826781,1
2022-10-04,"competitor_minus_unrelated","pre_21_1",-0.0364055295419209,1
2022-10-04,"deployer_minus_unrelated","pre_21_1",-0.0114110715530434,1
2022-10-04,"hardware_minus_unrelated","pre_21_1",-0.0194662355353528,1
2022-10-05,"deployer_minus_unrelated","pre_21_1",0.00366917512618314,1
2022-10-05,"hardware_minus_unrelated","pre_11_1",0.0210687130088084,1
2022-10-05,"competitor_minus_unrelated","pre_11_1",0.0114101836038628,1
2022-10-05,"hardware_minus_unrelated","pre_21_1",0.0210687130088084,1
2022-10-05,"competitor_minus_unrelated","pre_21_1",0.0114101836038628,1
2022-10-05,"deployer_minus_unrelated","pre_11_1",0.00366917512618314,1
2022-10-06,"hardware_minus_unrelated","pre_21_1",-0.00735505719468323,1
2022-10-06,"deployer_minus_unrelated","pre_21_1",-0.00556144466758755,1
2022-10-06,"deployer_minus_unrelated","pre_11_1",-0.00556144466758755,1
2022-10-06,"hardware_minus_unrelated","pre_11_1",-0.00735505719468323,1
2022-10-06,"competitor_minus_unrelated","pre_11_1",-0.000783445455558788,1
2022-10-06,"competitor_minus_unrelated","pre_21_1",-0.000783445455558788,1
2022-10-07,"hardware_minus_unrelated","pre_21_1",0.000499051575715399,1
2022-10-07,"deployer_minus_unrelated","pre_11_1",0.0150531531190434,1
2022-10-07,"competitor_minus_unrelated","pre_11_1",0.023051892037422,1
2022-10-07,"competitor_minus_unrelated","pre_21_1",0.023051892037422,1
2022-10-07,"deployer_minus_unrelated","pre_21_1",0.0150531531190434,1
2022-10-07,"hardware_minus_unrelated","pre_11_1",0.000499051575715399,1
2022-10-10,"deployer_minus_unrelated","pre_11_1",-0.0333897503413033,1
2022-10-10,"hardware_minus_unrelated","pre_21_1",-0.0309240149175671,1
2022-10-10,"competitor_minus_unrelated","pre_21_1",-0.00235941266195291,1
2022-10-10,"hardware_minus_unrelated","pre_11_1",-0.0309240149175671,1
2022-10-10,"competitor_minus_unrelated","pre_11_1",-0.00235941266195291,1
2022-10-10,"deployer_minus_unrelated","pre_21_1",-0.0333897503413033,1
2022-10-11,"deployer_minus_unrelated","pre_11_1",-0.0269356065025636,1
2022-10-11,"competitor_minus_unrelated","pre_21_1",-0.00277830171033131,1
2022-10-11,"hardware_minus_unrelated","pre_11_1",-0.0124479605619047,1
2022-10-11,"competitor_minus_unrelated","pre_11_1",-0.00277830171033131,1
2022-10-11,"deployer_minus_unrelated","pre_21_1",-0.0269356065025636,1
2022-10-11,"hardware_minus_unrelated","pre_21_1",-0.0124479605619047,1
2022-10-12,"deployer_minus_unrelated","pre_11_1",0.00659553325063896,1
2022-10-12,"competitor_minus_unrelated","pre_21_1",-0.00715939717430116,1
2022-10-12,"competitor_minus_unrelated","pre_11_1",-0.00715939717430116,1
2022-10-12,"hardware_minus_unrelated","pre_11_1",-0.0170914873621769,1
2022-10-12,"hardware_minus_unrelated","pre_21_1",-0.0170914873621769,1
2022-10-12,"deployer_minus_unrelated","pre_21_1",0.00659553325063896,1
2022-10-13,"competitor_minus_unrelated","pre_21_1",0.0143112826144066,1
2022-10-13,"deployer_minus_unrelated","pre_21_1",-0.00913359174245114,1
2022-10-13,"deployer_minus_unrelated","pre_11_1",-0.00913359174245114,1
2022-10-13,"competitor_minus_unrelated","pre_11_1",0.0143112826144066,1
2022-10-13,"hardware_minus_unrelated","pre_21_1",0.0181519949972732,1
2022-10-13,"hardware_minus_unrelated","pre_11_1",0.0181519949972732,1
2022-10-14,"hardware_minus_unrelated","pre_21_1",-0.00987314519627665,1
2022-10-14,"deployer_minus_unrelated","pre_11_1",-0.0108496736153851,1
2022-10-14,"competitor_minus_unrelated","pre_11_1",0.00912826018942653,1
2022-10-14,"hardware_minus_unrelated","pre_11_1",-0.00987314519627665,1
2022-10-14,"competitor_minus_unrelated","pre_21_1",0.00912826018942653,1
2022-10-14,"deployer_minus_unrelated","pre_21_1",-0.0108496736153851,1
2022-10-17,"hardware_minus_unrelated","pre_21_1",-0.0190195604484147,1
2022-10-17,"deployer_minus_unrelated","pre_11_1",0.00742736878963002,1
2022-10-17,"hardware_minus_unrelated","pre_11_1",-0.0190195604484147,1
2022-10-17,"competitor_minus_unrelated","pre_21_1",-0.00267437047661812,1
2022-10-17,"competitor_minus_unrelated","pre_11_1",-0.00267437047661812,1
2022-10-17,"deployer_minus_unrelated","pre_21_1",0.00742736878963002,1
2022-10-18,"competitor_minus_unrelated","pre_21_1",-0.0346054868051216,1
2022-10-18,"hardware_minus_unrelated","pre_11_1",-0.0351969520736535,1
2022-10-18,"hardware_minus_unrelated","pre_21_1",-0.0351969520736535,1
2022-10-18,"competitor_minus_unrelated","pre_11_1",-0.0346054868051216,1
2022-10-18,"deployer_minus_unrelated","pre_21_1",-0.00818178256976239,1
2022-10-18,"deployer_minus_unrelated","pre_11_1",-0.00818178256976239,1
2022-10-19,"hardware_minus_unrelated","pre_21_1",0.0332329446544324,1
2022-10-19,"deployer_minus_unrelated","pre_11_1",-0.0056096178871015,1
2022-10-19,"competitor_minus_unrelated","pre_11_1",0.0237116726967677,1
2022-10-19,"hardware_minus_unrelated","pre_11_1",0.0332329446544324,1
2022-10-19,"competitor_minus_unrelated","pre_21_1",0.0237116726967677,1
2022-10-19,"deployer_minus_unrelated","pre_21_1",-0.0056096178871015,1
