"selection","draw","method","term","coef","se","p","stars","observations","events","unique_event_dates","first_event_date","last_event_date"
"earliest_first",NA,"event_CR2","rel_upstream_hardware",0.0344928921303327,0.0233589171685131,0.151374456020094,"",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"firm_CR2","rel_upstream_hardware",0.0344928921303327,0.011901632255924,0.0357551427180409,"**",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"event_x_firm_HC1","rel_upstream_hardware",0.0344928921303323,0.0179377274655809,0.0647145732331698,"*",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"event_CR2","rel_downstream_deployer",0.0114423810695661,0.0220979882205994,0.608817366817542,"",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"firm_CR2","rel_downstream_deployer",0.0114423810695661,0.0105028889135914,0.332182027715176,"",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"event_x_firm_HC1","rel_downstream_deployer",0.0114423810695658,0.0164309445910053,0.491924308592955,"",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"event_CR2","rel_competitor",0.0307485451913843,0.0189985823461447,0.117588217363937,"",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"firm_CR2","rel_competitor",0.030748545191384,0.0149078510706186,0.0984834006736524,"*",1240,29,29,"2022-04-06","2026-02-26"
"earliest_first",NA,"event_x_firm_HC1","rel_competitor",0.0307485451913835,0.0169089195957627,0.0797035299333148,"*",1240,29,29,"2022-04-06","2026-02-26"
"latest_first",NA,"event_CR2","rel_upstream_hardware",0.0509216879560955,0.0223931051366477,0.0311626681974873,"**",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"firm_CR2","rel_upstream_hardware",0.0509216879560955,0.0176843608764341,0.0364288271282187,"**",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"event_x_firm_HC1","rel_upstream_hardware",0.0509216879560951,0.0230543782573417,0.0355446661957091,"**",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"event_CR2","rel_downstream_deployer",0.0133183597079433,0.0196319564524926,0.503294129887502,"",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"firm_CR2","rel_downstream_deployer",0.0133183597079432,0.0156268279377658,0.438344163475044,"",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"event_x_firm_HC1","rel_downstream_deployer",0.013318359707943,0.0165949955747947,0.42899303707987,"",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"event_CR2","rel_competitor",0.0407244223021618,0.0187197894397542,0.0389767071929866,"**",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"firm_CR2","rel_competitor",0.0407244223021614,0.0175883603950013,0.0702904639066285,"*",1240,29,29,"2022-04-06","2026-03-26"
"latest_first",NA,"event_x_firm_HC1","rel_competitor",0.0407244223021611,0.0188094077448125,0.0390533966627761,"**",1240,29,29,"2022-04-06","2026-03-26"
