"selection","draw","method","term","coef","se","p","stars","observations","events","unique_event_dates","first_event_date","last_event_date"
"random_maximum_set",1,"event_CR2","rel_upstream_hardware",0.0358293678613282,0.0239320484276241,0.145996923993331,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"firm_CR2","rel_upstream_hardware",0.0358293678613282,0.0141047019270988,0.054022153071428,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"event_x_firm_HC1","rel_upstream_hardware",0.0358293678613276,0.0216790986303172,0.109560151465355,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"event_CR2","rel_downstream_deployer",0.00787072787802808,0.0205124597738736,0.70420524440351,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"firm_CR2","rel_downstream_deployer",0.00787072787802808,0.0126024564464555,0.563629197676658,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"event_x_firm_HC1","rel_downstream_deployer",0.00787072787802787,0.0172019361180386,0.65080723151354,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"event_CR2","rel_competitor",0.0420349226619619,0.018975597859746,0.0359317410597568,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"firm_CR2","rel_competitor",0.0420349226619618,0.0151744601216663,0.0393371844421847,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",1,"event_x_firm_HC1","rel_competitor",0.0420349226619602,0.0176817664198357,0.0245088209729874,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_CR2","rel_upstream_hardware",0.0299829692007931,0.0207780378549985,0.16055895506998,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"firm_CR2","rel_upstream_hardware",0.0299829692007931,0.0129357475006576,0.070622459890205,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_x_firm_HC1","rel_upstream_hardware",0.0299829692007925,0.0186239535538253,0.118634528722542,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_CR2","rel_downstream_deployer",0.00310230987628306,0.0204463793094427,0.880529651006832,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"firm_CR2","rel_downstream_deployer",0.00310230987628309,0.0143715699505661,0.838901297818688,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_x_firm_HC1","rel_downstream_deployer",0.00310230987628287,0.0191417004918851,0.87241404538307,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_CR2","rel_competitor",0.0270197554024128,0.015857232217198,0.100477196425303,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"firm_CR2","rel_competitor",0.027019755402413,0.0137366900396613,0.107091965041954,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",2,"event_x_firm_HC1","rel_competitor",0.0270197554024115,0.0142723522534105,0.0687152215788864,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_CR2","rel_upstream_hardware",0.0451352459722855,0.0257714784794254,0.0912693683848989,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"firm_CR2","rel_upstream_hardware",0.0451352459722855,0.0144373901540462,0.0283881351888807,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_x_firm_HC1","rel_upstream_hardware",0.0451352459722852,0.0230018196324238,0.0597418649294232,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_CR2","rel_downstream_deployer",0.00690554675286324,0.0231935085339732,0.768186102209547,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"firm_CR2","rel_downstream_deployer",0.0069055467528632,0.0143979621770325,0.654843162061754,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_x_firm_HC1","rel_downstream_deployer",0.006905546752863,0.0182154010023558,0.70746979108231,"",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_CR2","rel_competitor",0.0434655269119718,0.0208259880975473,0.0470232501340324,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"firm_CR2","rel_competitor",0.0434655269119718,0.0182098650889082,0.0624004090178822,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",3,"event_x_firm_HC1","rel_competitor",0.043465526911971,0.0195863814294211,0.0347512322467167,"**",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",4,"event_CR2","rel_upstream_hardware",0.0441620543097545,0.0219688092933726,0.0545202385661904,"*",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"firm_CR2","rel_upstream_hardware",0.0441620543097544,0.0169986220055494,0.0507545823825114,"*",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"event_x_firm_HC1","rel_upstream_hardware",0.044162054309754,0.0206616177785605,0.04143872231537,"**",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"event_CR2","rel_downstream_deployer",0.00768708652483929,0.0198596788770281,0.70174011115242,"",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"firm_CR2","rel_downstream_deployer",0.00768708652483925,0.0161268070712776,0.656870948529816,"",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"event_x_firm_HC1","rel_downstream_deployer",0.00768708652483887,0.0186431836336843,0.683239790797317,"",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"event_CR2","rel_competitor",0.0398699016618986,0.0167393368890553,0.0250160131438397,"**",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"firm_CR2","rel_competitor",0.0398699016618983,0.0141050893441082,0.0356635503313699,"**",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",4,"event_x_firm_HC1","rel_competitor",0.0398699016618969,0.0146139323429493,0.0108738051693445,"**",1240,29,29,"2022-04-06","2026-03-16"
"random_maximum_set",5,"event_CR2","rel_upstream_hardware",0.0432167265090683,0.0238542721552423,0.0812152209249767,"*",1240,29,29,"2022-04-06","2026-03-26"
"random_maximum_set",5,"firm_CR2","rel_upstream_hardware",0.0432167265090683,0.0107683090023138,0.0114485507773486,"**",1240,29,29,"2022-04-06","2026-03-26"
