"event_id","event_trading_date","trading_day_index","date_confidence","selection"
"AIT-2022-04-002","2022-04-06",318,"medium","earliest_first"
"AIT-2022-10-001","2022-10-20",454,"medium","earliest_first"
"AIT-2022-12-001","2022-12-07",487,"high","earliest_first"
"AIT-2023-03-002","2023-03-14",552,"high","earliest_first"
"AIT-2023-05-002","2023-05-10",592,"high","earliest_first"
"AIT-2023-07-002","2023-07-11",633,"high","earliest_first"
"AIT-2023-10-001","2023-10-19",704,"medium","earliest_first"
"AIT-2023-12-002","2023-12-06",737,"high","earliest_first"
"AIT-2024-02-003","2024-02-15",785,"high","earliest_first"
"AIT-2024-04-001","2024-04-03",817,"high","earliest_first"
"AIT-2024-05-001","2024-05-13",845,"high","earliest_first"
"AIT-2024-06-001","2024-06-12",866,"high","earliest_first"
"AIT-2024-07-001","2024-07-18",890,"high","earliest_first"
"AIT-2024-08-006","2024-08-27",918,"high","earliest_first"
"AIT-2024-10-001","2024-10-02",943,"high","earliest_first"
"AIT-2024-11-007","2024-11-04",966,"medium","earliest_first"
"AIT-2024-12-002","2024-12-05",988,"medium","earliest_first"
"AIT-2025-01-002","2025-01-21",1017,"high","earliest_first"
"AIT-2025-02-002","2025-02-24",1040,"high","earliest_first"
"AIT-2025-03-001","2025-03-25",1061,"high","earliest_first"
"AIT-2025-04-008","2025-04-29",1085,"high","earliest_first"
"AIT-2025-06-002","2025-06-03",1109,"high","earliest_first"
"AIT-2025-07-001","2025-07-09",1133,"high","earliest_first"
"AIT-2025-08-005","2025-08-07",1154,"high","earliest_first"
"AIT-2025-09-004","2025-09-23",1186,"high","earliest_first"
"AIT-2025-11-001","2025-11-06",1218,"high","earliest_first"
"AIT-2025-12-002","2025-12-11",1242,"medium","earliest_first"
"AIT-2026-01-003","2026-01-27",1272,"high","earliest_first"
"AIT-2026-02-008","2026-02-26",1293,"high","earliest_first"
"AIT-2022-04-002","2022-04-06",318,"medium","latest_first"
"AIT-2022-10-001","2022-10-20",454,"medium","latest_first"
"AIT-2022-12-001","2022-12-07",487,"high","latest_first"
"AIT-2023-03-002","2023-03-14",552,"high","latest_first"
"AIT-2023-05-002","2023-05-10",592,"high","latest_first"
"AIT-2023-07-001","2023-07-26",644,"high","latest_first"
"AIT-2023-10-001","2023-10-19",704,"medium","latest_first"
"AIT-2023-12-001","2023-12-20",747,"high","latest_first"
"AIT-2024-03-002","2024-03-04",796,"high","latest_first"
"AIT-2024-04-001","2024-04-03",817,"high","latest_first"
"AIT-2024-05-002","2024-05-14",846,"high","latest_first"
"AIT-2024-06-005","2024-06-20",871,"high","latest_first"
"AIT-2024-07-007","2024-07-24",894,"high","latest_first"
"AIT-2024-08-006","2024-08-27",918,"high","latest_first"
"AIT-2024-10-001","2024-10-02",943,"high","latest_first"
"AIT-2024-11-005","2024-11-18",976,"high","latest_first"
"AIT-2024-12-005","2024-12-19",998,"high","latest_first"
"AIT-2025-01-006","2025-01-28",1022,"high","latest_first"
"AIT-2025-02-007","2025-02-27",1043,"high","latest_first"
"AIT-2025-04-007","2025-03-31",1065,"medium","latest_first"
"AIT-2025-05-002","2025-05-01",1087,"high","latest_first"
"AIT-2025-06-003","2025-06-10",1114,"medium","latest_first"
"AIT-2025-07-007","2025-07-28",1146,"medium","latest_first"
"AIT-2025-08-007","2025-08-26",1167,"high","latest_first"
"AIT-2025-10-003","2025-10-15",1202,"high","latest_first"
"AIT-2025-11-006","2025-11-20",1228,"high","latest_first"
"AIT-2025-12-007","2025-12-22",1249,"medium","latest_first"
"AIT-2026-02-005","2026-02-11",1283,"medium","latest_first"
"AIT-2026-03-004","2026-03-26",1313,"high","latest_first"
