"benchmark","outcome","term","estimand","method","estimate","estimate_pp","se","p","stars","ci95_low","ci95_high","observations","events","firms","df"
"market_model","car_mm_spy_0_20","rel_upstream_hardware","early_2022_2024","event_CR2",-0.0128464358223571,-1.28464358223571,0.0173874455244052,0.46304573814257,"",-0.0476657766933779,0.0219729050486637,5441,124,45,56.8807701031509
"market_model","car_mm_spy_0_20","rel_upstream_hardware","early_2022_2024","event_x_firm_HC1",-0.0128464358223532,-1.28464358223532,0.016175647547715,0.431351158943841,"",-0.0454463113856489,0.0197534397409424,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_upstream_hardware","change_after_2025","event_CR2",0.0846914400979671,8.46914400979671,0.0206962771113646,0.000136344531254173,"***",0.043245977250062,0.126136902945872,5441,124,45,56.8807701031509
"market_model","car_mm_spy_0_20","rel_upstream_hardware","change_after_2025","event_x_firm_HC1",0.0846914400979658,8.46914400979658,0.0289801649924124,0.0054661101709327,"***",0.0262857552702275,0.143097124925704,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_upstream_hardware","late_2025_2026","event_CR2",0.07184500427561,7.184500427561,0.0114569039582572,5.19666524192463e-08,"***",0.0489019075631474,0.0947881009880726,5441,124,45,56.8807701031509
"market_model","car_mm_spy_0_20","rel_upstream_hardware","late_2025_2026","event_x_firm_HC1",0.0718450042756126,7.18450042756126,0.0200469150869845,0.000842729971067378,"***",0.0314431016416765,0.112246906909549,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_upstream_cloud","early_2022_2024","event_CR2",0.00866809360352986,0.866809360352986,0.00972324850087604,0.376626019670661,"",-0.0108258231582875,0.0281620103653472,5441,124,45,54.0027544187435
"market_model","car_mm_spy_0_20","rel_upstream_cloud","early_2022_2024","event_x_firm_HC1",0.00866809360353423,0.866809360353423,0.0107854468910161,0.425900064948986,"",-0.013068546336505,0.0304047335435735,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_upstream_cloud","change_after_2025","event_CR2",-0.00126916622867183,-0.126916622867183,0.013242950922765,0.924004701459759,"",-0.0278196532337045,0.0252813207763608,5441,124,45,54.0027544187435
"market_model","car_mm_spy_0_20","rel_upstream_cloud","change_after_2025","event_x_firm_HC1",-0.00126916622867272,-0.126916622867272,0.0130661704180534,0.923061285117777,"",-0.0276023024113738,0.0250639699540284,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_upstream_cloud","late_2025_2026","event_CR2",0.00739892737485802,0.739892737485802,0.00916646528400919,0.423107516384542,"",-0.0109787075514183,0.0257765623011344,5441,124,45,54.0027544187435
"market_model","car_mm_spy_0_20","rel_upstream_cloud","late_2025_2026","event_x_firm_HC1",0.00739892737486151,0.739892737486151,0.0103554904193483,0.478695965863953,"",-0.0134711922337562,0.0282690469834792,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_integrator","early_2022_2024","event_CR2",0.00156498003787884,0.156498003787884,0.0146748869913016,0.915441639256511,"",-0.0278129785806482,0.0309429386564059,5441,124,45,57.7249152026299
"market_model","car_mm_spy_0_20","rel_downstream_integrator","early_2022_2024","event_x_firm_HC1",0.00156498003787896,0.156498003787896,0.0143746001092795,0.913799644189328,"",-0.0274051229179587,0.0305350829937166,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_integrator","change_after_2025","event_CR2",0.0208376593534374,2.08376593534374,0.0168642516744699,0.221608098833505,"",-0.0129232335323932,0.054598552239268,5441,124,45,57.7249152026299
"market_model","car_mm_spy_0_20","rel_downstream_integrator","change_after_2025","event_x_firm_HC1",0.0208376593534364,2.08376593534364,0.0241202915808968,0.392324829442215,"",-0.0277735941848318,0.0694489128917047,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_integrator","late_2025_2026","event_CR2",0.0224026393913162,2.24026393913162,0.00692529410483148,0.00201558657392799,"***",0.00853875043915861,0.0362665283434739,5441,124,45,57.7249152026299
"market_model","car_mm_spy_0_20","rel_downstream_integrator","late_2025_2026","event_x_firm_HC1",0.0224026393913154,2.24026393913154,0.0149414780104127,0.1409219586662,"",-0.00770993090513495,0.0525152096877657,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_deployer","early_2022_2024","event_CR2",-0.000532730905170412,-0.0532730905170412,0.0146656242788355,0.97115259520729,"",-0.0299130881688454,0.0288476263585046,5441,124,45,55.863729329091
"market_model","car_mm_spy_0_20","rel_downstream_deployer","early_2022_2024","event_x_firm_HC1",-0.000532730905168493,-0.0532730905168493,0.012062927846797,0.964974568376625,"",-0.024843964540458,0.023778502730121,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_deployer","change_after_2025","event_CR2",0.0216210106481092,2.16210106481092,0.0173893423201081,0.218932298688395,"",-0.0132159032282693,0.0564579245244877,5441,124,45,55.863729329091
"market_model","car_mm_spy_0_20","rel_downstream_deployer","change_after_2025","event_x_firm_HC1",0.0216210106481086,2.16210106481086,0.0219213657237683,0.329379472485852,"",-0.0225585990190969,0.0658006203153141,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_deployer","late_2025_2026","event_CR2",0.0210882797429388,2.10882797429388,0.00942687959080739,0.0292925292524447,"**",0.00220295410022029,0.0399736053856573,5441,124,45,55.863729329091
"market_model","car_mm_spy_0_20","rel_downstream_deployer","late_2025_2026","event_x_firm_HC1",0.0210882797429401,2.10882797429401,0.0149544832346884,0.16552149610576,"",-0.00905050086081387,0.051227060346694,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_enabler","early_2022_2024","event_CR2",-0.0185872189844204,-1.85872189844204,0.0170850407458184,0.281216394534459,"",-0.0528008436337384,0.0156264056648976,5441,124,45,56.8909977169123
"market_model","car_mm_spy_0_20","rel_downstream_enabler","early_2022_2024","event_x_firm_HC1",-0.018587218984419,-1.8587218984419,0.016979060918517,0.279598412963122,"",-0.0528062678041037,0.0156318298352656,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_enabler","change_after_2025","event_CR2",0.0301519944361287,3.01519944361287,0.0236391807724238,0.20731284493838,"",-0.0171866142331562,0.0774906031054136,5441,124,45,56.8909977169123
"market_model","car_mm_spy_0_20","rel_downstream_enabler","change_after_2025","event_x_firm_HC1",0.0301519944361263,3.01519944361263,0.0260361017654203,0.253077290123458,"",-0.0223203208268198,0.0826243096990725,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_downstream_enabler","late_2025_2026","event_CR2",0.0115647754517082,1.15647754517082,0.0142848707813411,0.421553655320562,"",-0.0170413727189618,0.0401709236223783,5441,124,45,56.8909977169123
"market_model","car_mm_spy_0_20","rel_downstream_enabler","late_2025_2026","event_x_firm_HC1",0.0115647754517073,1.15647754517073,0.0136905777939546,0.4028341738628,"",-0.0160267711096287,0.0391563220130433,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_competitor","early_2022_2024","event_CR2",0.0100064936190048,1.00064936190048,0.0125244017469886,0.427400521847415,"",-0.0150354374910894,0.035048424729099,5441,124,45,61.2610329887465
"market_model","car_mm_spy_0_20","rel_competitor","early_2022_2024","event_x_firm_HC1",0.0100064936190082,1.00064936190082,0.0155928938779322,0.524375047030976,"",-0.021418919094319,0.0414319063323353,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_competitor","change_after_2025","event_CR2",0.0360587051982385,3.60587051982385,0.0148345339198596,0.0180107375780253,"**",0.00639777735705025,0.0657196330394267,5441,124,45,61.2610329887465
"market_model","car_mm_spy_0_20","rel_competitor","change_after_2025","event_x_firm_HC1",0.0360587051982371,3.60587051982371,0.0189610360098242,0.0637668967056614,"*",-0.00215475195382324,0.0742721623502974,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_competitor","late_2025_2026","event_CR2",0.0460651988172433,4.60651988172433,0.00999174515642589,2.09384471332175e-05,"***",0.0260871911701317,0.0660432064643548,5441,124,45,61.2610329887465
"market_model","car_mm_spy_0_20","rel_competitor","late_2025_2026","event_x_firm_HC1",0.0460651988172452,4.60651988172452,0.0145878911786803,0.0028706304133225,"***",0.0166652359562187,0.0754651616782718,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_investor","early_2022_2024","event_CR2",0.0247558298471458,2.47558298471458,0.0167181316497565,0.1554889253083,"",-0.0102986137587572,0.0598102734530488,5441,124,45,18.5085459606337
"market_model","car_mm_spy_0_20","rel_is_investor","early_2022_2024","event_x_firm_HC1",0.0247558298471455,2.47558298471455,0.0116879135435712,0.039853973193149,"**",0.00120038787852996,0.048311271815761,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_investor","change_after_2025","event_CR2",-0.0356098912421189,-3.56098912421189,0.022892233894884,0.136749962670873,"",-0.0836101426394118,0.012390360155174,5441,124,45,18.5085459606337
"market_model","car_mm_spy_0_20","rel_is_investor","change_after_2025","event_x_firm_HC1",-0.0356098912421171,-3.56098912421171,0.0200817006652073,0.0831090974502966,"*",-0.0760818996024618,0.00486211711822751,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_investor","late_2025_2026","event_CR2",-0.0108540613949731,-1.08540613949731,0.0160217169499314,0.506495286450371,"",-0.0444482682750995,0.0227401454851534,5441,124,45,18.5085459606337
"market_model","car_mm_spy_0_20","rel_is_investor","late_2025_2026","event_x_firm_HC1",-0.0108540613949716,-1.08540613949716,0.0149523249852041,0.471736968862875,"",-0.0409884923326973,0.019280369542754,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_owner","early_2022_2024","event_CR2",0.000775330494066733,0.0775330494066733,0.0243835041640925,0.97488328165811,"",-0.0494141442821273,0.0509648052702608,5441,124,45,25.2910962607248
"market_model","car_mm_spy_0_20","rel_is_owner","early_2022_2024","event_x_firm_HC1",0.000775330494068418,0.0775330494068418,0.0220120077268419,0.972061179626832,"",-0.0435869561270143,0.0451376171151511,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_owner","change_after_2025","event_CR2",0.0487899465838026,4.87899465838026,0.0334388182824604,0.156852180189497,"",-0.0200384185042939,0.117618311671899,5441,124,45,25.2910962607248
"market_model","car_mm_spy_0_20","rel_is_owner","change_after_2025","event_x_firm_HC1",0.0487899465838025,4.87899465838025,0.0316004482032431,0.129759672403797,"",-0.0148965720629033,0.112476465230508,5441,124,45,44
"market_model","car_mm_spy_0_20","rel_is_owner","late_2025_2026","event_CR2",0.0495652770778694,4.95652770778694,0.0237650535821078,0.047253805119881,"**",0.000648782168554081,0.0984817719871847,5441,124,45,25.2910962607248
"market_model","car_mm_spy_0_20","rel_is_owner","late_2025_2026","event_x_firm_HC1",0.0495652770778709,4.95652770778709,0.0248117861898748,0.0519603347235194,"*",-0.00043959227323432,0.0995701464289762,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","early_2022_2024","event_CR2",-0.0170966530417791,-1.70966530417791,0.0169294666834669,0.316831701453965,"",-0.050998865439157,0.0168055593555988,5441,124,45,56.8807701031509
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","early_2022_2024","event_x_firm_HC1",-0.0170966530417752,-1.70966530417752,0.016862729362637,0.31618673105165,"",-0.0510812510158545,0.0168879449323041,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","change_after_2025","event_CR2",0.0914893825726165,9.14893825726165,0.0204884736751745,3.84229317405419e-05,"***",0.0504600578324465,0.132518707312787,5441,124,45,56.8807701031509
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","change_after_2025","event_x_firm_HC1",0.0914893825726157,9.14893825726157,0.0304286939891305,0.00435299667077669,"***",0.0301643793742502,0.152814385770981,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","late_2025_2026","event_CR2",0.0743927295308375,7.43927295308375,0.0117758545604517,4.35555503794629e-08,"***",0.0508109162384585,0.0979745428232164,5441,124,45,56.8807701031509
"fama_french_3factor","car_ff3_0_20","rel_upstream_hardware","late_2025_2026","event_x_firm_HC1",0.0743927295308404,7.43927295308404,0.020440566334081,0.000714467130339566,"***",0.0331974749378667,0.115587984123814,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","early_2022_2024","event_CR2",0.0107467891351218,1.07467891351218,0.00991848258346689,0.283395537064702,"",-0.00913854793799924,0.0306321262082428,5441,124,45,54.0027544187435
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","early_2022_2024","event_x_firm_HC1",0.0107467891351256,1.07467891351256,0.0107289108564504,0.321981797809209,"",-0.0108759099140622,0.0323694881843134,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","change_after_2025","event_CR2",-0.0031053870377509,-0.31053870377509,0.0131566663116843,0.814301181609271,"",-0.029482884015214,0.0232721099397122,5441,124,45,54.0027544187435
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","change_after_2025","event_x_firm_HC1",-0.00310538703775157,-0.310538703775157,0.0124747112127364,0.804569736432817,"",-0.0282465155164506,0.0220357414409474,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","late_2025_2026","event_CR2",0.00764140209737087,0.764140209737087,0.00875895106775688,0.386846912800242,"",-0.00991921697148253,0.0252020211662243,5441,124,45,54.0027544187435
"fama_french_3factor","car_ff3_0_20","rel_upstream_cloud","late_2025_2026","event_x_firm_HC1",0.00764140209737404,0.764140209737404,0.0110244983600048,0.491871142200564,"",-0.0145770144218882,0.0298598186166363,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","early_2022_2024","event_CR2",-0.000864375134492024,-0.0864375134492024,0.0147569517463355,0.95349364459099,"",-0.0304066208769236,0.0286778706079396,5441,124,45,57.7249152026299
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","early_2022_2024","event_x_firm_HC1",-0.000864375134492217,-0.0864375134492217,0.0157999158866014,0.956619088486944,"",-0.0327070132912876,0.0309782630223032,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","change_after_2025","event_CR2",0.0229532976011713,2.29532976011713,0.0169009066269249,0.179713371148508,"",-0.0108809755891906,0.0567875707915333,5441,124,45,57.7249152026299
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","change_after_2025","event_x_firm_HC1",0.0229532976011706,2.29532976011706,0.0257344138264162,0.377282374792485,"",-0.0289110055719058,0.0748176007742471,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","late_2025_2026","event_CR2",0.0220889224666793,2.20889224666793,0.00708654294737934,0.00284657552763419,"***",0.00790222613437185,0.0362756187989867,5441,124,45,57.7249152026299
"fama_french_3factor","car_ff3_0_20","rel_downstream_integrator","late_2025_2026","event_x_firm_HC1",0.0220889224666784,2.20889224666784,0.0153768584925422,0.157931580131874,"",-0.0089010995360013,0.0530789444693581,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","early_2022_2024","event_CR2",-0.000795801618475669,-0.0795801618475669,0.0146353534045371,0.95683016085767,"",-0.0301155157697498,0.0285239125327985,5441,124,45,55.863729329091
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","early_2022_2024","event_x_firm_HC1",-0.000795801618473976,-0.0795801618473976,0.0127373503546552,0.950465300235546,"",-0.0264662445075759,0.024874641270628,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","change_after_2025","event_CR2",0.0221011254595956,2.21011254595956,0.0173989137334114,0.209257633367139,"",-0.0127549632938304,0.0569572142130216,5441,124,45,55.863729329091
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","change_after_2025","event_x_firm_HC1",0.022101125459595,2.2101125459595,0.022891450349344,0.339583691361268,"",-0.0240335613064622,0.0682358122256522,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","late_2025_2026","event_CR2",0.0213053238411199,2.13053238411199,0.00965022688137798,0.0313845583455495,"**",0.00197255572571327,0.0406380919565266,5441,124,45,55.863729329091
"fama_french_3factor","car_ff3_0_20","rel_downstream_deployer","late_2025_2026","event_x_firm_HC1",0.021305323841121,2.1305323841121,0.0152114244289532,0.168342781188889,"",-0.00935128771409307,0.0519619353963351,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","early_2022_2024","event_CR2",-0.0220692641632507,-2.20692641632507,0.017145340254714,0.203241404017777,"",-0.0564036415104748,0.0122651131839735,5441,124,45,56.8909977169123
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","early_2022_2024","event_x_firm_HC1",-0.0220692641632498,-2.20692641632498,0.0186638393453545,0.243373408464058,"",-0.0596837607945049,0.0155452324680053,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","change_after_2025","event_CR2",0.0289084262055006,2.89084262055006,0.023670751418297,0.227020065486679,"",-0.0184934042168904,0.0763102566278917,5441,124,45,56.8909977169123
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","change_after_2025","event_x_firm_HC1",0.028908426205499,2.8908426205499,0.0280023057644191,0.307545351813566,"",-0.0275265128417708,0.0853433652527689,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","late_2025_2026","event_CR2",0.00683916204224998,0.683916204224998,0.0141143593979325,0.629853506862981,"",-0.021425528794067,0.035103852878567,5441,124,45,56.8909977169123
"fama_french_3factor","car_ff3_0_20","rel_downstream_enabler","late_2025_2026","event_x_firm_HC1",0.00683916204224928,0.683916204224928,0.0140736011929347,0.62940925465775,"",-0.0215243174576443,0.0352026415421429,5441,124,45,44
"fama_french_3factor","car_ff3_0_20","rel_competitor","early_2022_2024","event_CR2",0.00685356294591419,0.685356294591419,0.0127468153907728,0.592753730548684,"",-0.0186330734090376,0.032340199300866,5441,124,45,61.2610329887465
"fama_french_3factor","car_ff3_0_20","rel_competitor","early_2022_2024","event_x_firm_HC1",0.00685356294591668,0.685356294591668,0.0164874103501954,0.679661188010678,"",-0.0263746292604156,0.040081755152249,5441,124,45,44
