"spec","term","coef","se","p","n","events","dropped_ticker"
"drop_ADI","rel_upstream_hardware",0.0338508845212055,0.0109708999467319,0.00251812546777056,5317,124,"ADI"
"drop_AMAT","rel_upstream_hardware",0.0333524695410321,0.0108071369288683,0.00251308871649592,5317,124,"AMAT"
"drop_AMD","rel_upstream_hardware",0.033771589699138,0.0107325305759934,0.00207845741261515,5318,124,"AMD"
"drop_ARM","rel_upstream_hardware",0.0368882841622367,0.01052844267646,0.000643810322793234,5332,124,"ARM"
"drop_ASML","rel_upstream_hardware",0.0333122418850149,0.0107477047104154,0.00241068709125825,5318,124,"ASML"
"drop_AVGO","rel_upstream_hardware",0.0331389070794967,0.0107980576010243,0.0026510587209821,5317,124,"AVGO"
"drop_INTC","rel_upstream_hardware",0.0360765182113543,0.0111764499094701,0.00160424165400791,5318,124,"INTC"
"drop_KLAC","rel_upstream_hardware",0.0332090006206149,0.0108120304166251,0.00263065240158224,5318,124,"KLAC"
"drop_LRCX","rel_upstream_hardware",0.0328178558571871,0.0107626138019823,0.00281798231848263,5318,124,"LRCX"
"drop_MCHP","rel_upstream_hardware",0.0338327906403679,0.0107924393108908,0.00215719398508107,5318,124,"MCHP"
"drop_MPWR","rel_upstream_hardware",0.0350357949171388,0.0105137723082301,0.00114259020219568,5318,124,"MPWR"
"drop_MRVL","rel_upstream_hardware",0.0345317079942966,0.0108698548471878,0.00188902080783736,5317,124,"MRVL"
"drop_MU","rel_upstream_hardware",0.0323811221323337,0.0107957353381181,0.00328346398986816,5318,124,"MU"
"drop_NVDA","rel_upstream_hardware",0.0331857549683204,0.0108679208989361,0.00278113454233329,5317,124,"NVDA"
"drop_NXPI","rel_upstream_hardware",0.0341790854459508,0.0109284606613661,0.00220772974169935,5318,124,"NXPI"
"drop_QCOM","rel_upstream_hardware",0.0341291214977714,0.0109389971434516,0.00226098374191341,5318,124,"QCOM"
"drop_SNDK","rel_upstream_hardware",0.0259048646946727,0.0101257847134415,0.0117494968399651,5410,124,"SNDK"
"drop_STX","rel_upstream_hardware",0.0345979075174551,0.0107862997970369,0.00171284242789813,5318,124,"STX"
"drop_TXN","rel_upstream_hardware",0.0334752327280807,0.0108929391173978,0.00261711545930082,5318,124,"TXN"
"drop_WDC","rel_upstream_hardware",0.0359204377106907,0.0110490635357343,0.00149012220255706,5318,124,"WDC"
