"block","y","term","coef","se","p","n","events"
"baseline_mm","car_mm_spy_0_20","rel_upstream_hardware",0.034757587394593,0.0108269260748384,0.00169758194021975,5441,124
"baseline_mm","car_mm_spy_0_20","rel_upstream_cloud",0.0105007390074733,0.00673197512719565,0.121461981410574,5441,124
"baseline_mm","car_mm_spy_0_20","rel_downstream_integrator",0.0131537829608061,0.00741159880230109,0.0784421288974611,5441,124
"baseline_mm","car_mm_spy_0_20","rel_downstream_deployer",0.0126140572399686,0.00841855718913941,0.136625794572561,5441,124
"baseline_mm","car_mm_spy_0_20","rel_downstream_enabler",0.00251331681635826,0.00999346741037403,0.801854005737364,5441,124
"baseline_mm","car_mm_spy_0_20","rel_competitor",0.0338531159251032,0.00897418045509512,0.000258313625118681,5441,124
"baseline_mm","car_mm_spy_0_20","rel_is_investor",0.00480290141076812,0.0120192114573901,0.69119348458549,5441,124
"baseline_mm","car_mm_spy_0_20","rel_is_owner",0.0318103372663674,0.0171592494409882,0.0699012824593096,5441,124
"baseline_ff3","car_ff3_0_20","rel_upstream_hardware",0.0342834897020857,0.0109042122362475,0.00209558788158207,5441,124
"baseline_ff3","car_ff3_0_20","rel_upstream_cloud",0.0117137821186679,0.00660318847075094,0.0786338293906381,5441,124
"baseline_ff3","car_ff3_0_20","rel_downstream_integrator",0.011852647593204,0.00755448137766212,0.119258692746382,5441,124
"baseline_ff3","car_ff3_0_20","rel_downstream_deployer",0.0126653882557347,0.00852591532552799,0.139990387806786,5441,124
"baseline_ff3","car_ff3_0_20","rel_downstream_enabler",-0.00132521501928127,0.00989302522575898,0.893659397193125,5441,124
"baseline_ff3","car_ff3_0_20","rel_competitor",0.0337093340282898,0.00908420550450755,0.000321187358802123,5441,124
"baseline_ff3","car_ff3_0_20","rel_is_investor",0.0104756733924263,0.0113899155188218,0.362237284248652,5441,124
"baseline_ff3","car_ff3_0_20","rel_is_owner",0.0322899957345844,0.0172058735195478,0.0666347794657343,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_upstream_hardware",0.0336417763059168,0.0108125567222523,0.00232275245935539,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_upstream_cloud",0.0115323326933447,0.00677227442263904,0.0912134795202859,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_downstream_integrator",0.0126910711198822,0.00736377395297897,0.0873519561639634,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_downstream_deployer",0.0121829599186893,0.00833849840394342,0.146576777683292,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_downstream_enabler",0.00270513528132791,0.00991044736033136,0.785347437537801,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_competitor",0.0325861205654966,0.00899319981387234,0.000435915200477089,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_is_investor",0.00891294233940688,0.0126172910821043,0.483344207109551,5441,124
"baseline_evfe","car_mm_spy_0_20","rel_is_owner",0.0200062001025096,0.0168663583649025,0.241450506679174,5441,124
"vol_full","av_pre_m10_m2","rel_upstream_hardware",-0.0765365057810372,0.0388184264856428,0.0509276490611186,5441,124
"vol_full","av_pre_m10_m2","rel_upstream_cloud",0.0744500951998098,0.051148354198078,0.148155553232551,5441,124
"vol_full","av_pre_m10_m2","rel_downstream_integrator",-0.0411970539507311,0.0388237737393176,0.290736076911363,5441,124
"vol_full","av_pre_m10_m2","rel_downstream_deployer",-0.11161567786412,0.04140764643446,0.00802154969809999,5441,124
"vol_full","av_pre_m10_m2","rel_downstream_enabler",-0.333229288135354,0.0507562505898238,1.33647572116594e-09,5441,124
"vol_full","av_pre_m10_m2","rel_competitor",0.01238010288256,0.0467443795457881,0.791606441306104,5441,124
"vol_full","av_pre_m10_m2","rel_is_investor",-0.0967210604364076,0.0799189756159592,0.232103156758877,5441,124
"vol_full","av_pre_m10_m2","rel_is_owner",-0.0579955131726336,0.125424887455088,0.645908249648441,5441,124
"vol_2526","av_pre_m10_m2","rel_upstream_hardware",-0.0903746244794703,0.0437212900897918,0.0426060870532683,3023,68
