symbol,is_stock_universe,is_benchmark,benchmark_name
AAPL,True,False,
ABNB,True,False,
ADBE,True,False,
ADI,True,False,
ADP,True,False,
ADSK,True,False,
AEP,True,False,
ALAB,True,False,
ALNY,True,False,
AMAT,True,False,
AMD,True,False,
AMGN,True,False,
AMZN,True,False,
APP,True,False,
ARM,True,False,
ASML,True,False,
ASX,True,False,
AVGO,True,False,
AXON,True,False,
BKNG,True,False,
BKR,True,False,
CCEP,True,False,
CDNS,True,False,
CEG,True,False,
CMCSA,True,False,
COST,True,False,
CPRT,True,False,
CRDO,True,False,
CRWD,True,False,
CRWV,True,False,
CSCO,True,False,
CSX,True,False,
CTAS,True,False,
DASH,True,False,
DDOG,True,False,
DXCM,True,False,
EA,True,False,
ENTG,True,False,
EXC,True,False,
FANG,True,False,
FAST,True,False,
FER,True,False,
FTNT,True,False,
GEHC,True,False,
GILD,True,False,
GOOG,True,False,
GOOGL,True,False,
HON,True,False,
IDXX,True,False,
INTC,True,False,
INTU,True,False,
ISRG,True,False,
KDP,True,False,
KHC,True,False,
KLAC,True,False,
LIN,True,False,
LITE,True,False,
LRCX,True,False,
MAR,True,False,
MCHP,True,False,
MDLZ,True,False,
MELI,True,False,
META,True,False,
MNST,True,False,
MPWR,True,False,
MRVL,True,False,
MSFT,True,False,
MSTR,True,False,
MTSI,True,False,
MU,True,False,
NBIS,True,False,
NFLX,True,False,
NVDA,True,False,
NXPI,True,False,
ODFL,True,False,
ON,True,False,
ORLY,True,False,
PANW,True,False,
PAYX,True,False,
PCAR,True,False,
PDD,True,False,
PEP,True,False,
PLTR,True,False,
PYPL,True,False,
QCOM,True,False,
REGN,True,False,
RKLB,True,False,
ROP,True,False,
ROST,True,False,
SBUX,True,False,
SHOP,True,False,
SNDK,True,False,
SNPS,True,False,
STX,True,False,
TER,True,False,
TMUS,True,False,
TRI,True,False,
TSLA,True,False,
TSM,True,False,
TTWO,True,False,
TXN,True,False,
UMC,True,False,
VRTX,True,False,
WBD,True,False,
WDAY,True,False,
WDC,True,False,
WMT,True,False,
XEL,True,False,
SPY,False,True,SPDR S&P 500 ETF Trust
QQQ,False,True,Invesco QQQ Trust
SOXX,False,True,iShares Semiconductor ETF
^NDX,False,True,NASDAQ-100 Index
^IXIC,False,True,NASDAQ Composite Index
^GSPC,False,True,S&P 500 Index
^SOX,False,True,PHLX Semiconductor Index
