ticker,company,gics_sector,source_index,index_tag,decision,reason,is_main_nasdaq100,is_sox_robustness,download_symbol
AAPL,Apple Inc.,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,AAPL
ABNB,Airbnb,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ABNB
ADBE,Adobe Inc.,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ADBE
ADI,Analog Devices,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,ADI
ADP,Automatic Data Processing,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ADP
ADSK,Autodesk,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ADSK
AEP,American Electric Power,Utilities,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,AEP
ALAB,Astera Labs,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,ALAB
ALNY,Alnylam Pharmaceuticals,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ALNY
AMAT,Applied Materials,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,AMAT
AMD,Advanced Micro Devices,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,AMD
AMGN,Amgen,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,AMGN
AMZN,Amazon,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,AMZN
APP,AppLovin,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,APP
ARM,Arm Holdings,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ARM
ASML,ASML Holding,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,ASML
AVGO,Broadcom,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,AVGO
AXON,Axon Enterprise,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,AXON
BKNG,Booking Holdings,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,BKNG
BKR,Baker Hughes,Energy,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,BKR
CCEP,Coca-Cola Europacific Partners,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CCEP
CDNS,Cadence Design Systems,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CDNS
CEG,Constellation Energy,Utilities,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CEG
CMCSA,Comcast,Telecommunications,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CMCSA
COST,Costco,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,COST
CPRT,Copart,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CPRT
CRWD,CrowdStrike,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CRWD
CRWV,CoreWeave,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CRWV
CSCO,Cisco,Telecommunications,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CSCO
CSX,CSX Corporation,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CSX
CTAS,Cintas,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,CTAS
DASH,DoorDash,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,DASH
DDOG,Datadog,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,DDOG
DXCM,DexCom,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,DXCM
EA,Electronic Arts,Consumer Discretionary,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,EA
EXC,Exelon,Utilities,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,EXC
FANG,Diamondback Energy,Energy,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,FANG
FAST,Fastenal,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,FAST
FER,Ferrovial,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,FER
FTNT,Fortinet,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,FTNT
GEHC,GE HealthCare,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,GEHC
GILD,Gilead Sciences,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,GILD
GOOG,Alphabet Inc. (Class C),Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,GOOG
GOOGL,Alphabet Inc. (Class A),Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,GOOGL
HON,Honeywell Technologies,Industrials,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,HON
IDXX,Idexx Laboratories,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,IDXX
INTC,Intel,Technology,NASDAQ-100 + SOX (via SOXX ETF holdings),both,include,同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件,True,True,INTC
INTU,Intuit,Technology,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,INTU
ISRG,Intuitive Surgical,Health Care,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,ISRG
KDP,Keurig Dr Pepper,Consumer Staples,NASDAQ-100,ndx_only,include,纳斯达克100成分股（外生指数选样，不区分是否AI相关）,True,False,KDP
