ticker,company,gics_sector,source_index,index_tag,decision,reason,is_main_ndxt,is_sox_robustness,download_symbol
ADBE,Adobe Inc.,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ADBE
AMD,Advanced Micro Devices,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AMD
GOOGL,Alphabet Inc. (Class A),Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,GOOGL
GOOG,Alphabet Inc. (Class C),Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,GOOG
ADI,Analog Devices,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,ADI
AAPL,Apple Inc.,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,AAPL
AMAT,Applied Materials,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AMAT
APP,AppLovin,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,APP
ARM,Arm Holdings,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ARM
ASML,ASML Holding,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,ASML
ADSK,Autodesk,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ADSK
AVGO,Broadcom,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AVGO
CDNS,Cadence Design Systems,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CDNS
CTSH,Cognizant Technology Solutions Corporation,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CTSH
CRWD,CrowdStrike,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CRWD
DDOG,Datadog,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,DDOG
DASH,DoorDash,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,DASH
FTNT,Fortinet,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,FTNT
INTC,Intel,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,INTC
INTU,Intuit,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,INTU
KLAC,KLA Corporation,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,KLAC
LRCX,Lam Research,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,LRCX
MRVL,Marvell Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MRVL
META,Meta Platforms,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,META
MCHP,Microchip Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MCHP
