date,Mkt_RF,Mkt_RF_decimal,SMB,SMB_decimal,HML,HML_decimal,RF,RF_decimal
2021-01-04,-1.41,-0.0141,0.2,0.002,0.57,0.005699999999999999,0.0,0.0
2021-01-05,0.86,0.0086,1.22,0.012199999999999999,0.5,0.005,0.0,0.0
2021-01-06,0.79,0.0079,2.14,0.021400000000000002,3.94,0.0394,0.0,0.0
2021-01-07,1.76,0.0176,0.32,0.0032,-0.81,-0.008100000000000001,0.0,0.0
2021-01-08,0.51,0.0051,-0.75,-0.0075,-1.38,-0.0138,0.0,0.0
2021-01-11,-0.52,-0.0052,0.26,0.0026,1.26,0.0126,0.0,0.0
2021-01-12,0.37,0.0037,1.28,0.0128,1.24,0.0124,0.0,0.0
2021-01-13,0.06,0.0006,-0.94,-0.009399999999999999,-0.45,-0.0045000000000000005,0.0,0.0
2021-01-14,-0.12,-0.0012,2.02,0.0202,1.13,0.0113,0.0,0.0
2021-01-15,-0.86,-0.0086,-0.5,-0.005,-0.74,-0.0074,0.0,0.0
2021-01-19,0.92,0.0092,0.88,0.0088,-0.79,-0.0079,0.0,0.0
2021-01-20,1.27,0.0127,-0.39,-0.0039000000000000003,-1.1,-0.011000000000000001,0.0,0.0
2021-01-21,-0.04,-0.0004,-0.54,-0.0054,-0.96,-0.0096,0.0,0.0
2021-01-22,-0.07,-0.0007000000000000001,1.86,0.018600000000000002,-0.11,-0.0011,0.0,0.0
2021-01-25,0.29,0.0029,-0.03,-0.0003,-0.43,-0.0043,0.0,0.0
2021-01-26,-0.33,-0.0033,-0.01,-0.0001,0.04,0.0004,0.0,0.0
2021-01-27,-2.53,-0.0253,1.32,0.0132,1.55,0.0155,0.0,0.0
2021-01-28,0.93,0.009300000000000001,-1.92,-0.0192,-0.93,-0.009300000000000001,0.0,0.0
2021-01-29,-1.84,-0.0184,0.59,0.0059,0.59,0.0059,0.0,0.0
2021-02-01,1.72,0.0172,0.93,0.009300000000000001,-1.47,-0.0147,0.0,0.0
2021-02-02,1.48,0.0148,-0.88,-0.0088,-1.03,-0.0103,0.0,0.0
2021-02-03,0.14,0.0014000000000000002,0.41,0.0040999999999999995,0.73,0.0073,0.0,0.0
2021-02-04,1.22,0.012199999999999999,0.39,0.0039000000000000003,0.38,0.0038,0.0,0.0
2021-02-05,0.57,0.005699999999999999,1.07,0.010700000000000001,-0.49,-0.0049,0.0,0.0
2021-02-08,0.96,0.0096,2.1,0.021,0.39,0.0039000000000000003,0.0,0.0
2021-02-09,0.05,0.0005,0.64,0.0064,-0.06,-0.0006,0.0,0.0
2021-02-10,-0.08,-0.0008,-0.59,-0.0059,0.79,0.0079,0.0,0.0
2021-02-11,0.2,0.002,-0.05,-0.0005,-0.7,-0.006999999999999999,0.0,0.0
2021-02-12,0.49,0.0049,-0.12,-0.0012,0.46,0.0046,0.0,0.0
2021-02-16,-0.14,-0.0014000000000000002,-0.64,-0.0064,1.93,0.019299999999999998,0.0,0.0
2021-02-17,-0.2,-0.002,-0.84,-0.0084,0.6,0.006,0.0,0.0
2021-02-18,-0.63,-0.0063,-1.53,-0.015300000000000001,-0.21,-0.0021,0.0,0.0
2021-02-19,0.16,0.0016,1.77,0.0177,0.73,0.0073,0.0,0.0
2021-02-22,-1.11,-0.0111,-0.04,-0.0004,3.13,0.0313,0.0,0.0
2021-02-23,-0.11,-0.0011,-1.25,-0.0125,0.89,0.0089,0.0,0.0
2021-02-24,1.15,0.0115,1.19,0.011899999999999999,1.44,0.0144,0.0,0.0
