ticker,company,is_main_ndxt,is_sox_robustness,price_first_date,price_last_date,events_total,events_car_ready,events_missing,first_unready_event
AAPL,Apple Inc.,True,False,2021-01-04,2026-04-30,125,125,0,
ADBE,Adobe Inc.,True,False,2021-01-04,2026-04-30,125,125,0,
ADI,Analog Devices,True,True,2021-01-04,2026-04-30,125,125,0,
ADSK,Autodesk,True,False,2021-01-04,2026-04-30,125,125,0,
AMAT,Applied Materials,True,True,2021-01-04,2026-04-30,125,125,0,
AMD,Advanced Micro Devices,True,True,2021-01-04,2026-04-30,125,125,0,
APP,AppLovin,True,False,2021-04-15,2026-04-30,125,125,0,
ARM,Arm Holdings,True,False,2023-09-14,2026-04-30,125,101,24,AIT-2022-04-002
ASML,ASML Holding,True,True,2021-01-04,2026-04-30,125,125,0,
AVGO,Broadcom,True,True,2021-01-04,2026-04-30,125,125,0,
CDNS,Cadence Design Systems,True,False,2021-01-04,2026-04-30,125,125,0,
CRWD,CrowdStrike,True,False,2021-01-04,2026-04-30,125,125,0,
CTSH,Cognizant Technology Solutions Corporation,True,False,2021-01-04,2026-04-30,125,125,0,
DASH,DoorDash,True,False,2021-01-04,2026-04-30,125,125,0,
DDOG,Datadog,True,False,2021-01-04,2026-04-30,125,125,0,
FTNT,Fortinet,True,False,2021-01-04,2026-04-30,125,125,0,
GOOG,Alphabet Inc. (Class C),True,False,2021-01-04,2026-04-30,125,125,0,
GOOGL,Alphabet Inc. (Class A),True,False,2021-01-04,2026-04-30,125,125,0,
INTC,Intel,True,True,2021-01-04,2026-04-30,125,125,0,
INTU,Intuit,True,False,2021-01-04,2026-04-30,125,125,0,
KLAC,KLA Corporation,True,True,2021-01-04,2026-04-30,125,125,0,
LRCX,Lam Research,True,True,2021-01-04,2026-04-30,125,125,0,
MCHP,Microchip Technology,True,True,2021-01-04,2026-04-30,125,125,0,
META,Meta Platforms,True,False,2021-01-04,2026-04-30,125,125,0,
MPWR,Monolithic Power Systems,True,True,2021-01-04,2026-04-30,125,125,0,
MRVL,Marvell Technology,True,True,2021-01-04,2026-04-30,125,125,0,
MSFT,Microsoft,True,False,2021-01-04,2026-04-30,125,125,0,
MSTR,MicroStrategy,True,False,2021-01-04,2026-04-30,125,125,0,
MU,Micron Technology,True,True,2021-01-04,2026-04-30,125,125,0,
NVDA,Nvidia,True,True,2021-01-04,2026-04-30,125,125,0,
NXPI,NXP Semiconductors,True,True,2021-01-04,2026-04-30,125,125,0,
PANW,Palo Alto Networks,True,False,2021-01-04,2026-04-30,125,125,0,
PDD,PDD Holdings,True,False,2021-01-04,2026-04-30,125,125,0,
PLTR,Palantir Technologies,True,False,2021-01-04,2026-04-30,125,125,0,
QCOM,Qualcomm,True,True,2021-01-04,2026-04-30,125,125,0,
ROP,Roper Technologies,True,False,2021-01-04,2026-04-30,125,125,0,
SHOP,Shopify,True,False,2021-01-04,2026-04-30,125,125,0,
SNDK,Sandisk,True,False,2025-02-13,2026-04-30,125,17,108,AIT-2022-04-002
SNPS,Synopsys,True,False,2021-01-04,2026-04-30,125,125,0,
STX,Seagate Technology,True,False,2021-01-04,2026-04-30,125,125,0,
TRI,Thomson Reuters,True,False,2021-01-04,2026-04-30,125,125,0,
TXN,Texas Instruments,True,True,2021-01-04,2026-04-30,125,125,0,
WDAY,"Workday, Inc.",True,False,2021-01-04,2026-04-30,125,125,0,
WDC,Western Digital,True,False,2021-01-04,2026-04-30,125,125,0,
ZS,"Zscaler, Inc.",True,False,2021-01-04,2026-04-30,125,125,0,
