symbol,ok,rows,first_date,last_date,source,message
AAPL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ABNB,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ADBE,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ADI,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ADP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ADSK,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AEP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ALAB,True,530,2024-03-20,2026-04-30,yahoo_chart,ok
ALNY,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AMAT,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AMD,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AMGN,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AMZN,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
APP,True,1267,2021-04-15,2026-04-30,yahoo_chart,ok
ARM,True,659,2023-09-14,2026-04-30,yahoo_chart,ok
ASML,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ASX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AVGO,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
AXON,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
BKNG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
BKR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CCEP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CDNS,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CEG,True,1074,2022-01-19,2026-04-30,yahoo_chart,ok
CMCSA,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
COST,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CPRT,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CRDO,True,1068,2022-01-27,2026-04-30,yahoo_chart,ok
CRWD,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CRWV,True,274,2025-03-28,2026-04-30,yahoo_chart,ok
CSCO,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CSX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
CTAS,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
DASH,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
DDOG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
DXCM,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
EA,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ENTG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
EXC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
FANG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
FAST,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
FER,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
FTNT,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
GEHC,True,845,2022-12-15,2026-04-30,yahoo_chart,ok
GILD,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
GOOG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
GOOGL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
HON,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
IDXX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
INTC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
INTU,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ISRG,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
KDP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
KHC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
KLAC,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
LIN,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
LITE,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
LRCX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MAR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MCHP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MDLZ,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MELI,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
META,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MNST,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MPWR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MRVL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MSFT,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MSTR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MTSI,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
MU,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
NBIS,True,382,2024-10-21,2026-04-30,yahoo_chart,ok
NFLX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
NVDA,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
NXPI,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ODFL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ON,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ORLY,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PANW,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PAYX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PCAR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PDD,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PEP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PLTR,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
PYPL,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
QCOM,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
REGN,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
RKLB,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ROP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
ROST,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
SBUX,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
SHOP,True,1337,2021-01-04,2026-04-30,yahoo_chart,ok
