ticker,company,gics_sector,source_index,index_tag,decision,reason,is_main_ndxt,is_sox_robustness,download_symbol,sec_cik,sec_title
ADBE,Adobe Inc.,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ADBE,0000796343,ADOBE INC.
AMD,Advanced Micro Devices,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AMD,0000002488,ADVANCED MICRO DEVICES INC
GOOGL,Alphabet Inc. (Class A),Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,GOOGL,0001652044,Alphabet Inc.
GOOG,Alphabet Inc. (Class C),Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,GOOG,0001652044,Alphabet Inc.
ADI,Analog Devices,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,ADI,0000006281,ANALOG DEVICES INC
AAPL,Apple Inc.,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,AAPL,0000320193,Apple Inc.
AMAT,Applied Materials,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AMAT,0000006951,APPLIED MATERIALS INC /DE
APP,AppLovin,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,APP,0001751008,AppLovin Corp
ARM,Arm Holdings,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ARM,0001973239,ARM HOLDINGS PLC /UK
ASML,ASML Holding,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,ASML,0000937966,ASML HOLDING NV
ADSK,Autodesk,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ADSK,0000769397,"Autodesk, Inc."
AVGO,Broadcom,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,AVGO,0001730168,Broadcom Inc.
CDNS,Cadence Design Systems,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CDNS,0000813672,CADENCE DESIGN SYSTEMS INC
CTSH,Cognizant Technology Solutions Corporation,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CTSH,0001058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP
CRWD,CrowdStrike,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,CRWD,0001535527,"CrowdStrike Holdings, Inc."
DDOG,Datadog,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,DDOG,0001561550,"Datadog, Inc."
DASH,DoorDash,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,DASH,0001792789,"DoorDash, Inc."
FTNT,Fortinet,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,FTNT,0001262039,"Fortinet, Inc."
INTC,Intel,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,INTC,0000050863,INTEL CORP
INTU,Intuit,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,INTU,0000896878,INTUIT INC.
KLAC,KLA Corporation,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,KLAC,0000319201,KLA CORP
LRCX,Lam Research,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,LRCX,0000707549,LAM RESEARCH CORP
MRVL,Marvell Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MRVL,0001835632,"Marvell Technology, Inc."
META,Meta Platforms,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,META,0001326801,"Meta Platforms, Inc."
MCHP,Microchip Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MCHP,0000827054,MICROCHIP TECHNOLOGY INC
MU,Micron Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MU,0000723125,MICRON TECHNOLOGY INC
MSFT,Microsoft,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,MSFT,0000789019,MICROSOFT CORP
MPWR,Monolithic Power Systems,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,MPWR,0001280452,MONOLITHIC POWER SYSTEMS INC
NVDA,Nvidia,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,NVDA,0001045810,NVIDIA CORP
NXPI,NXP Semiconductors,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,NXPI,0001413447,NXP Semiconductors N.V.
PLTR,Palantir Technologies,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,PLTR,0001321655,Palantir Technologies Inc.
PANW,Palo Alto Networks,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,PANW,0001327567,Palo Alto Networks Inc
PDD,PDD Holdings,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,PDD,0001737806,PDD Holdings Inc.
QCOM,Qualcomm,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,QCOM,0000804328,QUALCOMM INC/DE
ROP,Roper Technologies,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ROP,0000882835,ROPER TECHNOLOGIES INC
SNDK,Sandisk,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,SNDK,0002023554,Sandisk Corp
STX,Seagate Technology,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,STX,0001137789,Seagate Technology Holdings plc
SHOP,Shopify,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,SHOP,0001594805,SHOPIFY INC.
MSTR,MicroStrategy,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,MSTR,0001050446,Strategy Inc
SNPS,Synopsys,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,SNPS,0000883241,SYNOPSYS INC
TXN,Texas Instruments,Technology,NASDAQ-100 Technology Sector Index (NDXT) + SOX (via SOXX ETF holdings),ndxt_sox,include,NDXT constituent as of 2026-05-01; also included in the SOX/SOXX robustness sample,True,True,TXN,0000097476,TEXAS INSTRUMENTS INC
TRI,Thomson Reuters,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,TRI,0001075124,THOMSON REUTERS CORP /CAN/
WDC,Western Digital,Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,WDC,0000106040,WESTERN DIGITAL CORP
WDAY,"Workday, Inc.",Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,WDAY,0001327811,"Workday, Inc."
ZS,"Zscaler, Inc.",Technology,NASDAQ-100 Technology Sector Index (NDXT),ndxt_only,include,NDXT constituent as of 2026-05-01,True,False,ZS,0001713683,"Zscaler, Inc."
