ticker,company,sec_cik,sec_title,gics_sector,index_tag,is_main_nasdaq100,is_sox_robustness,calendar_quarter,period_end_date,quarter_anchor_date,calendar_quarter_end_date,days_from_calendar_quarter_end,fiscal_year,fiscal_quarter,financial_currency,price_currency,total_assets,stockholders_equity,book_value,book_value_per_share,shares_basic,shares_diluted,implied_shares_from_book_value,shares_for_market_cap,shares_for_market_cap_source,quarter_price_date,quarter_end_close_usd,quarter_end_market_cap_usd,source,financial_fx_date,financial_fx_to_usd,financial_fx_symbol,total_assets_usd,stockholders_equity_usd,book_value_usd,size_log_assets,bm_ratio
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2022Q1,2022-03-26,2022-03-11,2022-03-31,5,2022,Q2,USD,USD,350662000000,67399000000.0,67399000000.0,4.10886,16278800000.0,16403300000.0,16403333284.658031,16403300000.0,shares_diluted,2022-03-25,174.72000122070312,2865984596023.5596,stockanalysis_fiscal_ai,2022-03-26,1.0,USD,350662000000.0,67399000000.0,67399000000.0,26.583088633502612,0.023516874477801958
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2022Q2,2022-06-25,2022-06-10,2022-06-30,5,2022,Q3,USD,USD,336309000000,58107000000.0,58107000000.0,3.57313,16162900000.0,16262200000.0,16262212681.878353,16262200000.0,shares_diluted,2022-06-24,141.66000366210938,2303703311553.955,stockanalysis_fiscal_ai,2022-06-25,1.0,USD,336309000000.0,58107000000.0,58107000000.0,26.541296217154347,0.025223300113591505
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2022Q3,2022-09-24,2022-09-09,2022-09-30,6,2022,Q4,USD,USD,352755000000,50672000000.0,50672000000.0,3.14372,16030400000.0,16118500000.0,16118483834.43818,16118500000.0,shares_diluted,2022-09-23,150.42999267578125,2424705836944.58,stockanalysis_fiscal_ai,2022-09-24,1.0,USD,352755000000.0,50672000000.0,50672000000.0,26.589039601923314,0.020898205146341706
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2022Q4,2022-12-31,2022-12-16,2022-12-31,0,2023,Q1,USD,USD,346747000000,56727000000.0,56727000000.0,3.55528,15892700000.0,15955700000.0,15955705317.162079,15955700000.0,shares_diluted,2022-12-30,129.92999267578125,2073123984136.963,stockanalysis_fiscal_ai,2022-12-31,1.0,USD,346747000000.0,56727000000.0,56727000000.0,26.571861244337523,0.027363052298878945
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2023Q1,2023-04-01,2023-03-17,2023-03-31,1,2023,Q2,USD,USD,332160000000,62158000000.0,62158000000.0,3.92237,15787200000.0,15847100000.0,15847051654.994303,15847100000.0,shares_diluted,2023-03-31,164.89999389648438,2613186693276.9775,stockanalysis_fiscal_ai,2023-04-01,1.0,USD,332160000000.0,62158000000.0,62158000000.0,26.52888261748388,0.02378628368187995
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2023Q2,2023-07-01,2023-06-16,2023-06-30,1,2023,Q3,USD,USD,335038000000,60274000000.0,60274000000.0,3.82085,15697600000.0,15775000000.0,15775023882.12047,15775000000.0,shares_diluted,2023-06-30,193.97000122070312,3059876769256.592,stockanalysis_fiscal_ai,2023-07-01,1.0,USD,335038000000.0,60274000000.0,60274000000.0,26.53750979517428,0.01969817889582651
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2023Q3,2023-09-30,2023-09-15,2023-09-30,0,2023,Q4,USD,USD,352583000000,62146000000.0,62146000000.0,3.96531,15599400000.0,15672400000.0,15672419054.247965,15672400000.0,shares_diluted,2023-09-29,171.2100067138672,2683271709222.412,stockanalysis_fiscal_ai,2023-09-30,1.0,USD,352583000000.0,62146000000.0,62146000000.0,26.588551892475053,0.023160531893361386
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2023Q4,2023-12-30,2023-12-15,2023-12-31,1,2024,Q1,USD,USD,353514000000,74100000000.0,74100000000.0,4.75712,15509800000.0,15576600000.0,15576651419.34616,15576600000.0,shares_diluted,2023-12-29,192.52999877929688,2998962778985.5957,stockanalysis_fiscal_ai,2023-12-30,1.0,USD,353514000000.0,74100000000.0,74100000000.0,26.591188925459218,0.024708542739921718
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2024Q1,2024-03-30,2024-03-15,2024-03-31,1,2024,Q2,USD,USD,337411000000,74194000000.0,74194000000.0,4.79763,15405900000.0,15464700000.0,15464719038.358524,15464700000.0,shares_diluted,2024-03-28,171.47999572753906,2651886689927.6733,stockanalysis_fiscal_ai,2024-03-30,1.0,USD,337411000000.0,74194000000.0,74194000000.0,26.544567608779357,0.02797781680559796
AAPL,Apple Inc.,0000320193,Apple Inc.,Technology,ndx_only,True,False,2024Q2,2024-06-29,2024-06-14,2024-06-30,1,2024,Q3,USD,USD,331612000000,66708000000.0,66708000000.0,4.34631,15287500000.0,15348200000.0,15348191914.520594,15348200000.0,shares_diluted,2024-06-28,210.6199951171875,3232637809057.617,stockanalysis_fiscal_ai,2024-06-29,1.0,USD,331612000000.0,66708000000.0,66708000000.0,26.527231447731303,0.020635779181041876
