ticker,period_end_date,fiscal_year,fiscal_quarter,assets,equity,bookValue,bookValuePerShare,sharesBasic,sharesDiluted,main_currency,price_currency,financial_currency,source,quarter_anchor_date,calendar_quarter,calendar_quarter_end_date,days_from_calendar_quarter_end
AAPL,2022-03-26,2022,Q2,350662000000,67399000000.0,67399000000,4.10886,16278800000.0,16403300000.0,USD,USD,USD,stockanalysis_fiscal_ai,2022-03-11,2022Q1,2022-03-31,5
AAPL,2022-06-25,2022,Q3,336309000000,58107000000.0,58107000000,3.57313,16162900000.0,16262200000.0,USD,USD,USD,stockanalysis_fiscal_ai,2022-06-10,2022Q2,2022-06-30,5
AAPL,2022-09-24,2022,Q4,352755000000,50672000000.0,50672000000,3.14372,16030400000.0,16118500000.0,USD,USD,USD,stockanalysis_fiscal_ai,2022-09-09,2022Q3,2022-09-30,6
AAPL,2022-12-31,2023,Q1,346747000000,56727000000.0,56727000000,3.55528,15892700000.0,15955700000.0,USD,USD,USD,stockanalysis_fiscal_ai,2022-12-16,2022Q4,2022-12-31,0
AAPL,2023-04-01,2023,Q2,332160000000,62158000000.0,62158000000,3.92237,15787200000.0,15847100000.0,USD,USD,USD,stockanalysis_fiscal_ai,2023-03-17,2023Q1,2023-03-31,1
AAPL,2023-07-01,2023,Q3,335038000000,60274000000.0,60274000000,3.82085,15697600000.0,15775000000.0,USD,USD,USD,stockanalysis_fiscal_ai,2023-06-16,2023Q2,2023-06-30,1
AAPL,2023-09-30,2023,Q4,352583000000,62146000000.0,62146000000,3.96531,15599400000.0,15672400000.0,USD,USD,USD,stockanalysis_fiscal_ai,2023-09-15,2023Q3,2023-09-30,0
AAPL,2023-12-30,2024,Q1,353514000000,74100000000.0,74100000000,4.75712,15509800000.0,15576600000.0,USD,USD,USD,stockanalysis_fiscal_ai,2023-12-15,2023Q4,2023-12-31,1
AAPL,2024-03-30,2024,Q2,337411000000,74194000000.0,74194000000,4.79763,15405900000.0,15464700000.0,USD,USD,USD,stockanalysis_fiscal_ai,2024-03-15,2024Q1,2024-03-31,1
AAPL,2024-06-29,2024,Q3,331612000000,66708000000.0,66708000000,4.34631,15287500000.0,15348200000.0,USD,USD,USD,stockanalysis_fiscal_ai,2024-06-14,2024Q2,2024-06-30,1
AAPL,2024-09-28,2024,Q4,364980000000,56950000000.0,56950000000,3.73618,15172000000.0,15242900000.0,USD,USD,USD,stockanalysis_fiscal_ai,2024-09-13,2024Q3,2024-09-30,2
