date,financial_currency,fx_symbol,fx_to_usd
2022-01-03,EUR,EURUSD=X,1.1373459100723267
2022-01-04,EUR,EURUSD=X,1.1302244663238525
2022-01-05,EUR,EURUSD=X,1.1283625364303589
2022-01-06,EUR,EURUSD=X,1.1313496828079224
2022-01-07,EUR,EURUSD=X,1.1296881437301636
2022-01-10,EUR,EURUSD=X,1.1353960037231445
2022-01-11,EUR,EURUSD=X,1.1330417394638062
2022-01-12,EUR,EURUSD=X,1.1366478204727173
2022-01-13,EUR,EURUSD=X,1.144164800643921
2022-01-14,EUR,EURUSD=X,1.1457115411758423
2022-01-17,EUR,EURUSD=X,1.1410704851150513
2022-01-18,EUR,EURUSD=X,1.1410574913024902
2022-01-19,EUR,EURUSD=X,1.1329647302627563
2022-01-20,EUR,EURUSD=X,1.1343399286270142
2022-01-21,EUR,EURUSD=X,1.1313753128051758
2022-01-24,EUR,EURUSD=X,1.1341469287872314
2022-01-25,EUR,EURUSD=X,1.1324130296707153
2022-01-26,EUR,EURUSD=X,1.130454421043396
2022-01-27,EUR,EURUSD=X,1.1243535280227661
2022-01-28,EUR,EURUSD=X,1.1147029399871826
2022-01-31,EUR,EURUSD=X,1.1152374744415283
2022-02-01,EUR,EURUSD=X,1.12296462059021
2022-02-02,EUR,EURUSD=X,1.1273956298828125
2022-02-03,EUR,EURUSD=X,1.1299946308135986
2022-02-04,EUR,EURUSD=X,1.14357590675354
2022-02-07,EUR,EURUSD=X,1.145514726638794
2022-02-08,EUR,EURUSD=X,1.1442956924438477
2022-02-09,EUR,EURUSD=X,1.142126202583313
2022-02-10,EUR,EURUSD=X,1.142152190208435
2022-02-11,EUR,EURUSD=X,1.1415525674819946
2022-02-14,EUR,EURUSD=X,1.1365057229995728
2022-02-15,EUR,EURUSD=X,1.1306334733963013
2022-02-16,EUR,EURUSD=X,1.1356796026229858
2022-02-17,EUR,EURUSD=X,1.1375269889831543
2022-02-18,EUR,EURUSD=X,1.1366478204727173
2022-02-21,EUR,EURUSD=X,1.131721019744873
2022-02-22,EUR,EURUSD=X,1.1309658288955688
2022-02-23,EUR,EURUSD=X,1.13291335105896
2022-02-24,EUR,EURUSD=X,1.1305694580078125
2022-02-25,EUR,EURUSD=X,1.11906898021698
2022-02-28,EUR,EURUSD=X,1.118105411529541
2022-03-01,EUR,EURUSD=X,1.1215918064117432
2022-03-02,EUR,EURUSD=X,1.1132758855819702
2022-03-03,EUR,EURUSD=X,1.1112345457077026
2022-03-04,EUR,EURUSD=X,1.1066844463348389
