ticker,company,rows,first_quarter,last_quarter,total_assets_nonmissing,equity_nonmissing,shares_nonmissing,market_cap_nonmissing,total_assets_usd_nonmissing,equity_usd_nonmissing,bm_ratio_nonmissing,financial_currency,expected_quarters,missing_quarters
AAPL,Apple Inc.,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ABNB,Airbnb,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ADBE,Adobe Inc.,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ADI,Analog Devices,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ADP,Automatic Data Processing,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ADSK,Autodesk,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AEP,American Electric Power,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ALAB,Astera Labs,13,2022Q3,2026Q1,13,13,12,9,13,13,9,USD,17,4
ALNY,Alnylam Pharmaceuticals,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AMAT,Applied Materials,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AMD,Advanced Micro Devices,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AMGN,Amgen,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AMZN,Amazon,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
APP,AppLovin,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ARM,Arm Holdings,15,2022Q1,2026Q1,15,15,15,11,15,15,11,USD,17,2
ASML,ASML Holding,17,2022Q1,2026Q1,17,17,17,17,17,17,17,EUR,17,0
ASX,"ASE Technology Holding Co., Ltd.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,TWD,17,0
AVGO,Broadcom,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
AXON,Axon Enterprise,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
BKNG,Booking Holdings,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
BKR,Baker Hughes,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CCEP,Coca-Cola Europacific Partners,8,2022Q2,2025Q4,8,8,8,8,8,8,8,EUR,17,9
CDNS,Cadence Design Systems,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CEG,Constellation Energy,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CMCSA,Comcast,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
COST,Costco,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CPRT,Copart,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CRDO,Credo Technology Group Holding Ltd,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CRWD,CrowdStrike,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CRWV,CoreWeave,9,2023Q3,2026Q1,9,9,9,5,9,9,5,USD,17,8
CSCO,Cisco,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CSX,CSX Corporation,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
CTAS,Cintas,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
DASH,DoorDash,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
DDOG,Datadog,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
DXCM,DexCom,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
EA,Electronic Arts,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ENTG,"Entegris, Inc.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
EXC,Exelon,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
FANG,Diamondback Energy,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
FAST,Fastenal,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
FER,Ferrovial,8,2022Q2,2025Q4,8,8,8,8,8,8,8,EUR,17,9
FTNT,Fortinet,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
GEHC,GE HealthCare,15,2022Q3,2026Q1,15,15,15,14,15,15,14,USD,17,2
GILD,Gilead Sciences,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
GOOG,Alphabet Inc. (Class C),17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
GOOGL,Alphabet Inc. (Class A),17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
HON,Honeywell Technologies,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
IDXX,Idexx Laboratories,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
INTC,Intel,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
INTU,Intuit,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ISRG,Intuitive Surgical,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
KDP,Keurig Dr Pepper,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
KHC,Kraft Heinz,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
KLAC,KLA Corporation,17,2022Q1,2026Q1,17,16,17,17,17,16,16,USD,17,0
LIN,Linde plc,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
LITE,Lumentum,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
LRCX,Lam Research,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MAR,Marriott International,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MCHP,Microchip Technology,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MDLZ,Mondelez International,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MELI,Mercado Libre,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
META,Meta Platforms,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MNST,Monster Beverage,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MPWR,Monolithic Power Systems,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MRVL,Marvell Technology,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MSFT,Microsoft,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MSTR,MicroStrategy,16,2022Q1,2026Q1,16,16,16,16,16,16,16,USD,17,1
MTSI,"MACOM Technology Solutions Holdings, Inc.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
MU,Micron Technology,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
NBIS,Nebius Group,17,2022Q1,2026Q1,17,17,17,6,17,17,6,USD,17,0
NFLX,"Netflix, Inc.",17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
NVDA,Nvidia,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
NXPI,NXP Semiconductors,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ODFL,Old Dominion Freight Line,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ON,ON Semiconductor Corporation,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ORLY,O'Reilly Automotive,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PANW,Palo Alto Networks,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PAYX,Paychex,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PCAR,Paccar,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PDD,PDD Holdings,17,2022Q1,2026Q1,17,17,17,17,17,17,17,CNY,17,0
PEP,PepsiCo,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PLTR,Palantir Technologies,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
PYPL,PayPal,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
QCOM,Qualcomm,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
REGN,Regeneron Pharmaceuticals,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
RKLB,Rocket Lab,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ROP,Roper Technologies,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
ROST,Ross Stores,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
SBUX,Starbucks,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
SHOP,Shopify,17,2022Q1,2026Q1,17,17,17,17,17,17,17,USD,17,0
