ticker,ok_balance_sheet,ok_income_statement,rows_quarterly,first_quarter,last_quarter,message
AAPL,True,True,17,2022Q1,2026Q1,ok
ABNB,True,True,17,2022Q1,2026Q1,ok
ADBE,True,True,17,2022Q1,2026Q1,ok
ADI,True,True,17,2022Q1,2026Q1,ok
ADP,True,True,17,2022Q1,2026Q1,ok
ADSK,True,True,17,2022Q1,2026Q1,ok
AEP,True,True,17,2022Q1,2026Q1,ok
ALAB,True,True,13,2022Q3,2026Q1,ok
ALNY,True,True,17,2022Q1,2026Q1,ok
AMAT,True,True,17,2022Q1,2026Q1,ok
AMD,True,True,17,2022Q1,2026Q1,ok
AMGN,True,True,17,2022Q1,2026Q1,ok
AMZN,True,True,17,2022Q1,2026Q1,ok
APP,True,True,17,2022Q1,2026Q1,ok
ARM,True,True,15,2022Q1,2026Q1,ok
ASML,True,True,17,2022Q1,2026Q1,ok
ASX,True,True,17,2022Q1,2026Q1,ok
AVGO,True,True,17,2022Q1,2026Q1,ok
AXON,True,True,17,2022Q1,2026Q1,ok
BKNG,True,True,17,2022Q1,2026Q1,ok
BKR,True,True,17,2022Q1,2026Q1,ok
CCEP,True,True,8,2022Q2,2025Q4,ok
CDNS,True,True,17,2022Q1,2026Q1,ok
CEG,True,True,17,2022Q1,2026Q1,ok
CMCSA,True,True,17,2022Q1,2026Q1,ok
COST,True,True,17,2022Q1,2026Q1,ok
CPRT,True,True,17,2022Q1,2026Q1,ok
CRDO,True,True,17,2022Q1,2026Q1,ok
CRWD,True,True,17,2022Q1,2026Q1,ok
CRWV,True,True,9,2023Q3,2026Q1,ok
CSCO,True,True,17,2022Q1,2026Q1,ok
CSX,True,True,17,2022Q1,2026Q1,ok
CTAS,True,True,17,2022Q1,2026Q1,ok
DASH,True,True,17,2022Q1,2026Q1,ok
DDOG,True,True,17,2022Q1,2026Q1,ok
DXCM,True,True,17,2022Q1,2026Q1,ok
EA,True,True,17,2022Q1,2026Q1,ok
ENTG,True,True,17,2022Q1,2026Q1,ok
EXC,True,True,17,2022Q1,2026Q1,ok
FANG,True,True,17,2022Q1,2026Q1,ok
FAST,True,True,17,2022Q1,2026Q1,ok
FER,True,True,8,2022Q2,2025Q4,ok
FTNT,True,True,17,2022Q1,2026Q1,ok
GEHC,True,True,15,2022Q3,2026Q1,ok
GILD,True,True,17,2022Q1,2026Q1,ok
GOOG,True,True,17,2022Q1,2026Q1,ok
GOOGL,True,True,17,2022Q1,2026Q1,ok
HON,True,True,17,2022Q1,2026Q1,ok
IDXX,True,True,17,2022Q1,2026Q1,ok
INTC,True,True,17,2022Q1,2026Q1,ok
INTU,True,True,17,2022Q1,2026Q1,ok
ISRG,True,True,17,2022Q1,2026Q1,ok
KDP,True,True,17,2022Q1,2026Q1,ok
KHC,True,True,17,2022Q1,2026Q1,ok
KLAC,True,True,17,2022Q1,2026Q1,ok
LIN,True,True,17,2022Q1,2026Q1,ok
LITE,True,True,17,2022Q1,2026Q1,ok
LRCX,True,True,17,2022Q1,2026Q1,ok
MAR,True,True,17,2022Q1,2026Q1,ok
MCHP,True,True,17,2022Q1,2026Q1,ok
MDLZ,True,True,17,2022Q1,2026Q1,ok
MELI,True,True,17,2022Q1,2026Q1,ok
META,True,True,17,2022Q1,2026Q1,ok
MNST,True,True,17,2022Q1,2026Q1,ok
MPWR,True,True,17,2022Q1,2026Q1,ok
MRVL,True,True,17,2022Q1,2026Q1,ok
MSFT,True,True,17,2022Q1,2026Q1,ok
MSTR,True,True,16,2022Q1,2026Q1,ok
MTSI,True,True,17,2022Q1,2026Q1,ok
MU,True,True,17,2022Q1,2026Q1,ok
NBIS,True,True,17,2022Q1,2026Q1,ok
NFLX,True,True,17,2022Q1,2026Q1,ok
NVDA,True,True,17,2022Q1,2026Q1,ok
NXPI,True,True,17,2022Q1,2026Q1,ok
ODFL,True,True,17,2022Q1,2026Q1,ok
ON,True,True,17,2022Q1,2026Q1,ok
ORLY,True,True,17,2022Q1,2026Q1,ok
PANW,True,True,17,2022Q1,2026Q1,ok
PAYX,True,True,17,2022Q1,2026Q1,ok
PCAR,True,True,17,2022Q1,2026Q1,ok
PDD,True,True,17,2022Q1,2026Q1,ok
PEP,True,True,17,2022Q1,2026Q1,ok
PLTR,True,True,17,2022Q1,2026Q1,ok
PYPL,True,True,17,2022Q1,2026Q1,ok
QCOM,True,True,17,2022Q1,2026Q1,ok
REGN,True,True,17,2022Q1,2026Q1,ok
RKLB,True,True,17,2022Q1,2026Q1,ok
ROP,True,True,17,2022Q1,2026Q1,ok
ROST,True,True,17,2022Q1,2026Q1,ok
SBUX,True,True,17,2022Q1,2026Q1,ok
SHOP,True,True,17,2022Q1,2026Q1,ok
SNDK,True,True,15,2022Q1,2026Q1,ok
SNPS,True,True,17,2022Q1,2026Q1,ok
STX,True,True,17,2022Q1,2026Q1,ok
TER,True,True,17,2022Q1,2026Q1,ok
TMUS,True,True,17,2022Q1,2026Q1,ok
TRI,True,True,17,2022Q1,2026Q1,ok
TSLA,True,True,17,2022Q1,2026Q1,ok
TSM,True,True,17,2022Q1,2026Q1,ok
TTWO,True,True,17,2022Q1,2026Q1,ok
TXN,True,True,17,2022Q1,2026Q1,ok
UMC,True,True,17,2022Q1,2026Q1,ok
VRTX,True,True,17,2022Q1,2026Q1,ok
WBD,True,True,17,2022Q1,2026Q1,ok
WDAY,True,True,17,2022Q1,2026Q1,ok
WDC,True,True,17,2022Q1,2026Q1,ok
WMT,True,True,17,2022Q1,2026Q1,ok
XEL,True,True,17,2022Q1,2026Q1,ok
