event_id,event_date,query,title,url,domain,language,sourcecountry,seendate,socialimage
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI Launches GPT - 5 : All You Need To Know About The AI Chatbot,https://www.news18.com/photogallery/tech/openai-launches-gpt-5-all-you-need-to-know-about-the-ai-chatbot-ws-el-9492700.html,news18.com,English,India,20250808T103000Z,https://images.news18.com/ibnlive/uploads/2025/06/Untitled-design-2025-06-30T121403.507-2025-06-a9df1c4f0abd8c9f8001834baf4bc159-16x9.png
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI releases new model with health focus - Becker Hospital Review,https://www.beckershospitalreview.com/healthcare-information-technology/ai/openai-releases-new-model-with-health-focus/,beckershospitalreview.com,English,United States,20250808T021500Z,https://www.beckershospitalreview.com/wp-content/uploads/sites/9/2025/03/BeckersHospitalReview.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI GPT - 5 release raises revenue risk for Indian IT firms,https://economictimes.indiatimes.com/tech/information-tech/openais-gpt-5-release-raises-revenue-risk-for-indian-it-firms/articleshow/123244589.cms,economictimes.indiatimes.com,English,India,20250812T041500Z,"https://img.etimg.com/thumb/width-1200,height-900,imgsize-63738,resizemode-75,msid-123244589/tech/information-tech/openais-gpt-5-release-raises-revenue-risk-for-indian-it-firms.jpg"
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"Here everything that new and different in GPT - 5 , OpenAI long - awaited flagship AI model",https://fortune.com/2025/08/07/gpt-5-everything-new-different-hallucinations-personalities-vibecoding-agents-openai/,fortune.com,English,United States,20250808T001500Z,https://fortune.com/img-assets/wp-content/uploads/2025/08/GettyImages-2228187875-e1754606583378.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"Elon Musk string of warnings for OpenAI , Satya Nadella after GPT - 5 release :  Grok will …",https://www.hindustantimes.com/trending/us/elon-musks-string-of-warnings-for-openai-satya-nadella-after-gpt-5-release-grok-will-101754596632162.html,hindustantimes.com,English,India,20250807T211500Z,https://www.hindustantimes.com/ht-img/img/2025/08/07/1600x900/TESLA-MUSK-PAY-0_1754596987942_1754597004152.JPG
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Here everything in GPT - 5 that new and different than OpenAI previous AI models,https://www.asiaone.com/digital/heres-everything-gpt-5-thats-new-and-different-openais-previous-ai-models,asiaone.com,English,Singapore,20250808T051500Z,https://media.asiaone.com/sites/default/files/styles/article_top_image/public/original_images/Aug2025/0808_gpt-5.jpg?itok=fl6xav6G
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI Launches GPT - 5 With Smarter Thinking and New Features,https://www.gizchina.com/2025/08/11/openai-launches-gpt-5-with-smarter-thinking-and-new-features/,gizchina.com,English,China,20250811T083000Z,https://www.gizchina.com/wp-content/uploads/images/2024/05/gpt-5-maxresdefault-1200x675.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,OpenAI big GPT - 5 launch gets bumpy | Editor and Publisher,"http://www.editorandpublisher.com/stories/openais-big-gpt-5-launch-gets-bumpy,257171",editorandpublisher.com,English,United States,20250812T153000Z,
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,Unequivocal antitrust violation : Elon Musk threatens to sue Apple over App Store bias favoring OpenAI - Technology News,https://www.financialexpress.com/life/technology-unequivocal-antitrust-violation-elon-musk-threatens-to-sue-apple-over-app-store-bias-favoring-openai-3944040/,financialexpress.com,English,India,20250812T080000Z,https://www.financialexpress.com/wp-content/uploads/2025/08/diya-0001-2025-08-12T121357.937.jpg
AIT-2025-08-005,2025-08-07,OpenAI GPT-5,"GPT - 5 launched : Elon Musk says Grok 5 will release soon and be crushingly good , warns Microsoft :  OpenAI will eat you alive  - Technology News",https://www.financialexpress.com/life/technology-gpt-5-launched-elon-musk-says-grok-5-will-release-soon-and-be-crushingly-good-warns-microsoft-openai-will-eat-you-alive-3940359/,financialexpress.com,English,India,20250808T081500Z,https://www.financialexpress.com/wp-content/uploads/2025/07/FEATURE-IMAGE-2025-06-29T081453.543_20250709162650_20250711015045.jpg
