final_event_id,release_date,event_name,true_model_creator,creator_country,creator_type,model_modality,candidate_tier,is_open_weight_or_open_source,is_chinese_model,is_model_family,is_reasoning_model,is_coding_model,is_media_generation_model,llm_capability_sample_flag,media_capability_sample_flag,aa_intelligence_index,aa_coding_index,price_1m_blended_3_to_1,median_output_tokens_per_second,aa_media_elo,aa_media_rank,trend_month_since_2022_11,mean_car_1,mean_car_3,mean_car_5,n_company
FMR-0001,2024/4/18,LLaMA 3,Meta,United States,listed_us_company,text_llm,Tier 2,1,0,1,0,0,0,1,0,8.9,6.8,1.175,46.417,,,17,-0.01316519496385542,-0.012463961422891566,-0.012829003975903615,86
FMR-0002,2024/5/14,Imagen 3,Google,United States,listed_us_company,image_generation,Tier 2,0,0,1,0,0,1,0,1,,,,,1117.0,38.0,18,0.006496392085365853,0.0015531018658536586,-0.006274856734939759,86
FMR-0003,2024/5/30,Gemini Flash 1.5,Google,United States,listed_us_company,multimodal_llm,Tier 2,0,0,1,0,0,0,1,0,10.5,,0.0,0.0,,,18,-0.016788651695180724,-0.016983054626506025,-0.018569260409638553,86
FMR-0004,2024/6/12,Stable Diffusion 3,Stability AI,United Kingdom,private_non_us_company,image_generation,Tier 1,0,0,0,0,0,1,0,1,,,,,917.0,109.0,19,-0.0003739809390243897,0.0018220087939024383,-3.2825963414634194e-05,86
FMR-0005,2024/8/8,Gemini 1.5 Flash,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,13.8,,0.0,0.0,,,21,0.01148042089390244,0.02053870981707317,0.020681205548780487,86
FMR-0006,2024/8/13,Grok 2,xAI,United States,private_us_company,text_llm,Tier 1,0,0,1,0,0,0,1,0,13.9,,0.0,0.0,,,21,0.0003071280481927712,0.002918491174698795,0.010893526674698796,86
FMR-0007,2024/8/28,Imagen 3,Google,United States,listed_us_company,image_generation,Tier 1,0,0,0,0,0,1,0,1,,,,,1117.0,38.0,21,-0.004182710695180723,-0.008032666554216868,-0.0067889582650602414,86
FMR-0008,2024/9/12,o1 preview,OpenAI,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,1,1,0,1,0,23.7,34.0,28.875,0.0,,,22,0.009777358843373494,0.008774060457831325,0.011741400108433735,86
FMR-0009,2024/9/12,o1 mini,OpenAI,United States,private_us_company,reasoning_llm,Tier 2,0,0,1,1,1,0,1,0,20.4,,0.0,0.0,,,22,0.009824294170731707,0.00880902636585366,0.011931989463414634,86
FMR-0010,2024/9/24,Gemini 1.5 002 family,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,16.0,23.6,0.0,0.0,,,22,0.008451549768292682,0.011853933591463415,0.014574179707317074,86
FMR-0011,2024/10/3,Gemini 1.5 Pro,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,16.0,23.6,0.0,0.0,,,23,0.00917222164390244,-0.0010049408609756096,0.005468648536585366,86
FMR-0012,2024/10/3,Gemini 1.5 Flash8B,Google,United States,listed_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,11.1,,0.0,0.0,,,23,0.00917222164390244,-0.0010049408609756096,0.005468648536585366,86
FMR-0013,2024/10/22,Claude 3.5 Sonnet New / Haiku family,Anthropic,United States,private_us_company,text_llm,Tier 2,0,0,1,0,0,0,1,0,18.7,10.7,1.6,0.0,,,23,0.0009548635853658536,0.008000131499999999,0.010122419341463415,86
FMR-0014,2024/11/12,Qwen2.5 Coder 32B,Alibaba,China,public_non_us_company,coding_llm,Tier 2,1,1,1,0,1,0,1,0,12.9,,0.0,0.0,,,24,0.015250194475609756,0.015130399865853657,0.031854402024390244,86
FMR-0015,2024/12/6,Llama 3.3 70B,Meta,United States,listed_us_company,text_llm,Tier 1,0,0,1,0,0,0,1,0,14.5,10.7,0.675,95.3,,,25,0.008661815674698795,0.020139987710843375,0.007760745590361445,86
FMR-0016,2024/12/9,SORA,OpenAI,United States,private_us_company,video_generation,Tier 1,0,0,0,1,0,1,0,1,,,,,978.0,73.0,25,-0.010678054459036145,-0.0010108632795180728,0.012728827228915662,86
FMR-0017,2024/12/11,Gemini-2.0-Flash-Thinking,Google,United States,listed_us_company,reasoning_llm,Tier 1,0,0,0,1,0,0,1,0,12.3,,0.0,0.0,,,25,-0.011196552682926828,-0.011228282926829267,0.011622053060975608,86
FMR-0018,2024/12/17,o1,OpenAI,United States,private_us_company,reasoning_llm,Tier 1,0,0,0,1,0,0,1,0,30.8,20.5,26.25,105.718,,,25,0.02875401330864197,0.01892869998780488,0.024293254341463413,86
FMR-0019,2024/12/17,o1 Pro,OpenAI,United States,private_us_company,reasoning_llm,Tier 1,0,0,0,1,0,0,1,0,25.8,,262.5,0.0,,,25,0.02875401330864197,0.01892869998780488,0.024293254341463413,86
FMR-0020,2024/12/20,o3 family announcement,OpenAI,United States,private_us_company,reasoning_llm,Tier 3,0,0,1,1,0,0,1,0,38.4,38.4,3.5,104.719,,,25,-0.009349701277108434,0.00014794238554216777,0.0035623264614457837,86
FMR-0021,2025/1/22,DeepSeek R1,DeepSeek,China,private_non_us_company,reasoning_llm,Tier 1,1,1,1,1,0,0,1,0,18.8,15.9,2.362,0.0,,,26,0.004000709607142857,0.003413301678571428,-0.01653643083333333,86
FMR-0022,2025/1/28,Qwen2.5-Max,Alibaba,China,public_non_us_company,text_llm,Tier 1,1,1,1,0,0,0,1,0,16.3,,2.8,48.809,,,26,-0.009359268848101265,-0.008701213,-0.01484905225925926,86
FMR-0023,2025/1/31,o3 mini,OpenAI,United States,private_us_company,reasoning_llm,Tier 2,0,0,0,1,1,0,1,0,25.9,17.9,1.925,150.402,,,26,0.00030029831645569656,0.003003502764705882,-0.0028703376588235297,86
