company_id,creator,upstream_hardware,upstream_cloud,downstream_integrator,downstream_deployer,downstream_enabler,competitor,is_investor,is_owner,confidence,justification
2353 TT,Alibaba,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Anthropic,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,DeepSeek,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Google,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Kuaishou,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Meta,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Microsoft,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Mistral AI,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,OpenAI,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Runway,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,ShengShu Technology,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Stability AI,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,Zhipu AI,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2353 TT,xAI,1,0,0,0,0,0,0,0,L,Acer is a PC/hardware maker with minimal AI infrastructure role; generic hardware supply chain relationship to all LLM creators
2395 TT,Alibaba,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Anthropic,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,DeepSeek,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Google,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Kuaishou,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Meta,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Microsoft,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
2395 TT,Mistral AI,1,0,0,0,0,0,0,0,L,Advantech provides industrial computing platforms for edge AI; indirect upstream hardware relationship to all LLM creators
