final_event_id,release_date,event_name,true_model_creator,events_within_20_calendar_days,prior_events_within_20_calendar_days,next_events_within_20_calendar_days
FMR-0001,2024-04-18,LLaMA 3,Meta,0,0,0
FMR-0003,2024-05-30,Gemini Flash 1.5,Google,0,0,0
FMR-0005,2024-08-08,Gemini 1.5 Flash,Google,1,0,1
FMR-0006,2024-08-13,Grok 2,xAI,1,1,0
FMR-0008,2024-09-12,o1 preview,OpenAI,2,0,1
FMR-0009,2024-09-12,o1 mini,OpenAI,2,0,1
FMR-0010,2024-09-24,Gemini 1.5 002 family,Google,4,2,2
FMR-0011,2024-10-03,Gemini 1.5 Pro,Google,3,1,1
FMR-0012,2024-10-03,Gemini 1.5 Flash8B,Google,3,1,1
FMR-0013,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Anthropic,2,2,0
FMR-0014,2024-11-12,Qwen2.5 Coder 32B,Alibaba,0,0,0
FMR-0015,2024-12-06,Llama 3.3 70B,Meta,4,0,4
FMR-0017,2024-12-11,Gemini-2.0-Flash-Thinking,Google,4,1,3
FMR-0018,2024-12-17,o1,OpenAI,4,2,1
FMR-0019,2024-12-17,o1 Pro,OpenAI,4,2,1
FMR-0020,2024-12-20,o3 family announcement,OpenAI,4,4,0
FMR-0021,2025-01-22,DeepSeek R1,DeepSeek,3,0,3
FMR-0022,2025-01-28,Qwen2.5-Max,Alibaba,4,1,3
FMR-0023,2025-01-31,o3 mini,OpenAI,5,2,3
FMR-0024,2025-02-05,Gemini 2.0 family,Google,6,3,3
FMR-0025,2025-02-17,Grok 3 family,xAI,6,3,3
FMR-0026,2025-02-18,Claude 3.7,Anthropic,5,3,2
FMR-0027,2025-02-25,Gemini 2.0 Flash-Lite Preview,Google,5,3,2
FMR-0028,2025-02-26,Phi-4 mini / multimodal family,Microsoft,4,3,1
FMR-0029,2025-03-12,Gemini 2.0 Flash Experimental,Google,2,2,0
FMR-0033,2025-04-16,o3 full,OpenAI,2,0,1
FMR-0034,2025-04-16,o4 mini,OpenAI,2,0,1
FMR-0036,2025-05-06,Gemini 2.5 Pro,Google,5,2,3
FMR-0037,2025-05-20,Gemma 3n,Google,3,1,2
FMR-0038,2025-05-21,Claude Sonnet 4,Anthropic,3,2,1
FMR-0040,2025-05-22,Claude 4 Opus,Anthropic,3,3,0
FMR-0041,2025-06-17,Gemini 2.5 Flash,Google,1,0,0
FMR-0042,2025-06-17,Gemini 2.5 Pro,Google,1,0,0
FMR-0043,2025-07-21,Qwen3-235B-A22B-Instruct-2507,Alibaba,3,0,3
FMR-0044,2025-07-22,Qwen3-Coder,Alibaba,3,1,2
FMR-0045,2025-07-28,GLM-4.5,Zhipu AI,3,2,1
FMR-0046,2025-08-05,gpt-oss family,OpenAI,3,3,0
FMR-0048,2025-09-05,Qwen-3-Max,Alibaba,1,0,1
FMR-0049,2025-09-25,Claude Sonnet 4.5,Anthropic,2,1,1
FMR-0050,2025-10-14,Claude 4.5 Haiku,Anthropic,1,1,0
FMR-0051,2025-12-02,Mistral 3,Mistral AI,2,0,2
FMR-0052,2025-12-09,Devstral 2,Mistral AI,2,1,1
FMR-0054,2025-12-18,GPT-5.2,OpenAI,2,2,0
FMR-0056,2026-02-05,Claude Opus 4.6,Anthropic,2,0,2
FMR-0057,2026-02-12,GPT-5.3-Codex,OpenAI,2,1,1
FMR-0058,2026-02-16,Claude Sonnet 4.6,Anthropic,2,2,0
FMR-0060,2026-03-17,GPT-5.4 family,OpenAI,0,0,0
