ticker,company,cik,taxonomy,tag,group,present,units,fact_count,quarterly_2022_2026_count,forms,has_frame,recent_fact
AAPL,Apple Inc.,0000320193,us-gaap,Assets,assets,True,USD,144,36,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 371082000000 USD
AAPL,Apple Inc.,0000320193,us-gaap,AssetsCurrent,assets,True,USD,142,36,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 144114000000 USD
AAPL,Apple Inc.,0000320193,us-gaap,StockholdersEquity,equity,True,USD,258,90,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 106491000000 USD
AAPL,Apple Inc.,0000320193,dei,EntityCommonStockSharesOutstanding,shares,True,shares,69,18,10-Q;10-K;10-K/A,True,2026-04-17 filed 2026-05-01 10-Q 2026Q2 14687356000 shares
AAPL,Apple Inc.,0000320193,us-gaap,CommonStockSharesOutstanding,shares,True,shares,142,36,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 14667688000 shares
AAPL,Apple Inc.,0000320193,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,True,shares,230,58,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 14710718000 shares
AAPL,Apple Inc.,0000320193,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,True,shares,230,58,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 14768115000 shares
AAPL,Apple Inc.,0000320193,us-gaap,Assets,required_exact,True,USD,144,36,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 371082000000 USD
AAPL,Apple Inc.,0000320193,us-gaap,StockholdersEquity,required_exact,True,USD,258,90,10-Q;10-K;8-K;10-K/A,True,2026-03-28 filed 2026-05-01 10-Q 2026Q2 106491000000 USD
AAPL,Apple Inc.,0000320193,dei,EntityCommonStockSharesOutstanding,required_exact,True,shares,69,18,10-Q;10-K;10-K/A,True,2026-04-17 filed 2026-05-01 10-Q 2026Q2 14687356000 shares
AAPL,Apple Inc.,0000320193,dei,DocumentFiscalYearFocus,required_exact,False,,0,0,,False,
AAPL,Apple Inc.,0000320193,dei,DocumentFiscalPeriodFocus,required_exact,False,,0,0,,False,
ABNB,Airbnb,0001559720,us-gaap,Assets,assets,True,USD,42,34,10-Q;10-K,True,2026-03-31 filed 2026-05-07 10-Q 2026Q1 26828000000 USD
ABNB,Airbnb,0001559720,us-gaap,AssetsCurrent,assets,True,USD,42,34,10-Q;10-K,True,2026-03-31 filed 2026-05-07 10-Q 2026Q1 23601000000 USD
ABNB,Airbnb,0001559720,us-gaap,StockholdersEquity,equity,True,USD,110,90,10-Q;10-K,True,2026-03-31 filed 2026-05-07 10-Q 2026Q1 7636000000 USD
ABNB,Airbnb,0001559720,us-gaap,WeightedAverageNumberOfSharesOutstandingBasic,shares,True,shares,67,54,10-Q;10-K,True,2026-03-31 filed 2026-05-07 10-Q 2026Q1 598000000 shares
ABNB,Airbnb,0001559720,us-gaap,WeightedAverageNumberOfDilutedSharesOutstanding,shares,True,shares,67,54,10-Q;10-K,True,2026-03-31 filed 2026-05-07 10-Q 2026Q1 608000000 shares
