ticker,company,source_index,index_tag,is_main_nasdaq100,is_sox_robustness,cik,sec_title,companyfacts_status,companyfacts_error,entity_name,taxonomy_namespaces,assets_any,equity_any,shares_any,document_focus_any,assets_primary,equity_primary,shares_primary,document_focus_tags
AAPL,Apple Inc.,NASDAQ-100,ndx_only,True,False,0000320193,Apple Inc.,200,,Apple Inc.,dei;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ABNB,Airbnb,NASDAQ-100,ndx_only,True,False,0001559720,"Airbnb, Inc.",200,,"Airbnb, Inc.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,us-gaap:WeightedAverageNumberOfSharesOutstandingBasic,
ADBE,Adobe Inc.,NASDAQ-100,ndx_only,True,False,0000796343,ADOBE INC.,200,,ADOBE INC.,dei;ffd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ADI,Analog Devices,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000006281,ANALOG DEVICES INC,200,,"Analog Devices, Inc.",dei;ffd;invest;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ADP,Automatic Data Processing,NASDAQ-100,ndx_only,True,False,0000008670,AUTOMATIC DATA PROCESSING INC,200,,AUTOMATIC DATA PROCESSING INC,dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ADSK,Autodesk,NASDAQ-100,ndx_only,True,False,0000769397,"Autodesk, Inc.",200,,"AUTODESK, INC.",dei;ecd;invest;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
AEP,American Electric Power,NASDAQ-100,ndx_only,True,False,0000004904,AMERICAN ELECTRIC POWER CO INC,200,,"American Electric Power Company, Inc.",dei;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ALAB,Astera Labs,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0001736297,"Astera Labs, Inc.",200,,"Astera Labs, Inc.",dei;ecd;ffd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
ALNY,Alnylam Pharmaceuticals,NASDAQ-100,ndx_only,True,False,0001178670,"ALNYLAM PHARMACEUTICALS, INC.",200,,"ALNYLAM PHARMACEUTICALS, INC.",dei;ecd;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
AMAT,Applied Materials,NASDAQ-100 + SOX (via SOXX ETF holdings),both,True,True,0000006951,APPLIED MATERIALS INC /DE,200,,APPLIED MATERIALS INC /DE,dei;srt;us-gaap,True,True,True,False,us-gaap:Assets,us-gaap:StockholdersEquity,dei:EntityCommonStockSharesOutstanding,
