"spec","term","coef","se","p","n","events","dropped_ticker"
"drop_ADI","rel_upstream_hardware",0.0152933110286946,0.00668593192993584,0.0239159017697452,11988,124,"ADI"
"drop_ALAB","rel_upstream_hardware",0.0163133870231437,0.0066072628031992,0.014948296230006,12029,124,"ALAB"
"drop_AMAT","rel_upstream_hardware",0.0154134398748847,0.0065450889428792,0.0201378054910249,11988,124,"AMAT"
"drop_AMD","rel_upstream_hardware",0.0155612187781643,0.00657458224447163,0.0195297276780265,11989,124,"AMD"
"drop_ARM","rel_upstream_hardware",0.0157582605380081,0.00653683946250148,0.0174303687233064,12003,124,"ARM"
"drop_ASML","rel_upstream_hardware",0.0154632697983496,0.00651173212077912,0.0191395496184093,11989,124,"ASML"
"drop_AVGO","rel_upstream_hardware",0.0149635937116026,0.00655593913359263,0.0242141252967716,11988,124,"AVGO"
"drop_INTC","rel_upstream_hardware",0.0154375444261095,0.00658592595988847,0.0207094116473173,11989,124,"INTC"
"drop_KLAC","rel_upstream_hardware",0.0150116422354871,0.00652446820238292,0.0231173410206174,11989,124,"KLAC"
"drop_LITE","rel_upstream_hardware",0.0137869149496912,0.00680353917418489,0.0449230647303493,11989,124,"LITE"
"drop_LRCX","rel_upstream_hardware",0.0150698874294671,0.00650638201609273,0.0222353723455796,11989,124,"LRCX"
"drop_MCHP","rel_upstream_hardware",0.0159900302502676,0.00649447090104113,0.0152222502270558,11989,124,"MCHP"
"drop_MPWR","rel_upstream_hardware",0.0162589279739159,0.00638455434426681,0.0121330416017701,11989,124,"MPWR"
"drop_MRVL","rel_upstream_hardware",0.0155974153706959,0.00656027846862572,0.0189969408215216,11988,124,"MRVL"
"drop_MU","rel_upstream_hardware",0.0144149572775506,0.00652281677336082,0.0289944238016571,11989,124,"MU"
"drop_NVDA","rel_upstream_hardware",0.0153309163253849,0.0066352351048513,0.0225582122320908,11988,124,"NVDA"
"drop_NXPI","rel_upstream_hardware",0.0161230113004769,0.00664850578200568,0.0167863867981611,11989,124,"NXPI"
"drop_QCOM","rel_upstream_hardware",0.016328014545903,0.00667168253648394,0.0158303764909306,11989,124,"QCOM"
"drop_SNDK","rel_upstream_hardware",0.0118248500259289,0.00635015893333519,0.0650207485824047,12081,124,"SNDK"
"drop_STX","rel_upstream_hardware",0.0154389414046784,0.00654641921764309,0.0199656726571175,11989,124,"STX"
"drop_TER","rel_upstream_hardware",0.0153889301068389,0.00642195327465289,0.0180950254963638,11989,124,"TER"
"drop_TXN","rel_upstream_hardware",0.0155275285458864,0.00668594584221307,0.0218865245807105,11989,124,"TXN"
"drop_WDC","rel_upstream_hardware",0.0149217438416913,0.0065435310840893,0.0243418085430359,11989,124,"WDC"
