"table","variable","mm_outcome","ff3_outcome","mm_beta_pp","mm_p","mm_n","ff3_beta_pp","ff3_p","ff3_n","mm_sig","ff3_sig","same_sign"
"Table 2 (single-position)","upstream_hardware","car_10","ff3_car_10",0.686230338259209,0.249362005804984,4829,-0.66839062283704,0.257220029295003,4831,FALSE,FALSE,FALSE
"Table 2 (single-position)","upstream_hardware","car_15","ff3_car_15",1.65374864875278,0.0281792742705819,4829,-0.178986880363848,0.82162192912608,4831,TRUE,FALSE,FALSE
"Table 2 (single-position)","upstream_hardware","car_20","ff3_car_20",2.27637564746788,0.00896875247845804,4829,0.145047400379857,0.879440196235757,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","upstream_cloud","car_10","ff3_car_10",0.969020486611528,0.0707553049234143,4829,0.728614253758015,0.165136657928219,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","upstream_cloud","car_15","ff3_car_15",1.61139342447715,0.0041457416333888,4829,1.26354664294107,0.0215428246336744,4831,TRUE,TRUE,TRUE
"Table 2 (single-position)","upstream_cloud","car_20","ff3_car_20",1.13229859410032,0.0663373410779436,4829,0.770412246281247,0.183221004319653,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_integrator","car_10","ff3_car_10",-0.0673617703926916,0.910068987596081,4829,0.471450983699705,0.454705724570713,4831,FALSE,FALSE,FALSE
"Table 2 (single-position)","downstream_integrator","car_15","ff3_car_15",-0.416891564834014,0.545697126246175,4829,0.19877634617354,0.798115692112417,4831,FALSE,FALSE,FALSE
"Table 2 (single-position)","downstream_integrator","car_20","ff3_car_20",-0.68752877132289,0.415117511723419,4829,0.136885227726911,0.88703352586478,4831,FALSE,FALSE,FALSE
"Table 2 (single-position)","downstream_deployer","car_10","ff3_car_10",-0.985103376900081,0.00771865966888296,4829,-0.319672601733875,0.414103969009376,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_deployer","car_15","ff3_car_15",-1.42911757853336,0.00155512061099056,4829,-0.531200298895966,0.23948388318498,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_deployer","car_20","ff3_car_20",-1.90156167630144,0.000403839450563957,4829,-0.763040608787804,0.133444576833248,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_enabler","car_10","ff3_car_10",-1.0913783899773,0.0440373612870922,4829,-0.717951573425619,0.21349340714332,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_enabler","car_15","ff3_car_15",-1.72640107938929,0.0051097932883723,4829,-1.06289629954361,0.114708779015696,4831,TRUE,FALSE,TRUE
"Table 2 (single-position)","downstream_enabler","car_20","ff3_car_20",-1.06524028979373,0.115768689245941,4829,-0.680899495129485,0.367841705051682,4831,FALSE,FALSE,TRUE
"Table 2 (single-position)","competitor","car_10","ff3_car_10",0.386216635216714,0.439570701899545,4829,0.148312143567916,0.754807601522,4831,FALSE,FALSE,TRUE
"Table 2 (single-position)","competitor","car_15","ff3_car_15",0.495150874137309,0.375695417046042,4829,0.379629087744258,0.461896103335501,4831,FALSE,FALSE,TRUE
"Table 2 (single-position)","competitor","car_20","ff3_car_20",-0.0502260902795108,0.940602310938097,4829,-0.183358305993329,0.761655258213246,4831,FALSE,FALSE,TRUE
"Table 3 (bundle-position)","upstream_any","car_10","ff3_car_10",0.820411936892869,0.125840812810502,4829,-0.398016968341043,0.455571655730952,4831,FALSE,FALSE,FALSE
"Table 3 (bundle-position)","upstream_any","car_15","ff3_car_15",1.80346681276035,0.00879921482446212,4829,0.149628760844695,0.834924395671526,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","upstream_any","car_20","ff3_car_20",2.22199278795867,0.00616908332218114,4829,0.309037201584418,0.72383313454287,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_any","car_10","ff3_car_10",-1.22185535230755,0.0269865774927531,4829,-0.0507735329549153,0.928764328402104,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_any","car_15","ff3_car_15",-2.14608504318825,0.00214201030113348,4829,-0.613151242569254,0.420169754832045,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_any","car_20","ff3_car_20",-2.49871043340417,0.00345758289322202,4829,-0.693001982284042,0.458575599823595,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_deployer","car_10","ff3_car_10",-0.985103376900081,0.00771865966888296,4829,-0.319672601733875,0.414103969009376,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_deployer","car_15","ff3_car_15",-1.42911757853336,0.00155512061099056,4829,-0.531200298895966,0.23948388318498,4831,TRUE,FALSE,TRUE
"Table 3 (bundle-position)","downstream_deployer","car_20","ff3_car_20",-1.90156167630144,0.000403839450563957,4829,-0.763040608787804,0.133444576833248,4831,TRUE,FALSE,TRUE
