"table_source","variable","outcome","beta","se","p_cr0","p_cr2","p_wild","n","n_events"
"baseline_single","upstream_hardware","car_20",0.0227637564746788,0.00842259450072066,0.00896875247845804,0.00953341013057097,0.0236047209441888,4829,60
"baseline_single","upstream_cloud","car_20",0.0113229859410032,0.00605254213529698,0.0663373410779436,0.0687981334650488,0.0648129625925185,4829,60
"baseline_single","downstream_integrator","car_20",-0.0068752877132289,0.00837728546752623,0.415117511723419,0.419343687287505,0.407881576315263,4829,60
"baseline_single","downstream_deployer","car_20",-0.0190156167630144,0.00506948462013039,0.000403839450563957,0.000455156173100006,0.002000400080016,4829,60
"baseline_single","downstream_enabler","car_20",-0.0106524028979373,0.00667325697738381,0.115768689245941,0.118328492490156,0.104820964192839,4829,60
"baseline_single","competitor","car_20",-0.000502260902795108,0.00671193470622643,0.940602310938097,0.941266483191576,0.94878975795159,4829,60
"bundle","upstream_any","car_20",0.0222199278795867,0.00782199919895445,0.00616908332218114,0.00660122914151195,0.0142028405681136,4829,60
"bundle","downstream_any","car_20",-0.0249871043340417,0.00820143511846387,0.00345758289322202,0.0037108754703317,0.00520104020804161,4829,60
"joint","upstream_hardware","car_20",-0.00825532427949658,0.0138475273304451,0.553349627131598,0.557141304203309,0.613322664532907,4829,60
"joint","upstream_cloud","car_20",0.00535717348281569,0.00715959547980937,0.457281264728116,0.460864638582942,0.458091618323665,4829,60
"joint","downstream_integrator","car_20",-0.030886408350823,0.013308546577996,0.0237735978246277,0.0250696255336813,0.0224044808961792,4829,60
"joint","downstream_deployer","car_20",-0.042362004655416,0.0144520159994178,0.00479733829703547,0.00522577541819535,0.0034006801360272,4829,60
"joint","downstream_enabler","car_20",-0.0325148176377713,0.0114609214723471,0.00623186999850266,0.00668601792405674,0.00520104020804161,4829,60
"joint","competitor","car_20",-0.0236921522150394,0.00872223598393981,0.00864854357785787,0.00932812285070203,0.00640128025605121,4829,60
"open_interaction","upstream_hardware:is_open_weight","car_20",-0.0365807565907445,0.0150100953573524,0.0178410799384741,0.0283674229169786,0.0256051210242048,4829,60
"open_interaction","downstream_deployer:is_open_weight","car_20",0.0106249132141615,0.0107982687906508,0.329159952346028,0.351959006493773,0.355871174234847,4829,60
