term,estimate,std.error,p.value,conf.low,conf.high,variable,variable_label,y_var,n,n_events,moderator
Baseline (mod=0),0.016083686542866987,0.010005109922010837,0.10793438182190487,-0.003526328904274255,0.03569370199000823,upstream_hardware,Upstream hardware,car_20,4829,60,is_reasoning_model
Mod=1,0.039595534355324175,0.014262608796177554,0.005500216287168705,0.01164082111481617,0.06755024759583218,upstream_hardware,Upstream hardware,car_20,4829,60,is_reasoning_model
Interaction (mod=1 minus mod=0),0.023511847812457184,0.017241246156361092,0.1726627267091688,-0.01028099465401056,0.05730469027892493,upstream_hardware,Upstream hardware,car_20,4829,60,is_reasoning_model
Baseline (mod=0),0.01488608541128803,0.009352210250022586,0.11144798546309301,-0.0034442466787562385,0.0332164175013323,upstream_any,Any upstream,car_20,4829,60,is_reasoning_model
Mod=1,0.04045371739512984,0.013747244000336894,0.0032538629066460735,0.013509119154469527,0.06739831563579016,upstream_any,Any upstream,car_20,4829,60,is_reasoning_model
Interaction (mod=1 minus mod=0),0.02556763198384181,0.016795159985114196,0.12792856072488898,-0.007350881586982012,0.058486145554665636,upstream_any,Any upstream,car_20,4829,60,is_reasoning_model
Baseline (mod=0),-0.017665981642627435,0.00919915814820587,0.05480851404529358,-0.035696331613110935,3.64368327856069e-4,downstream_any,Any downstream,car_20,4829,60,is_reasoning_model
Mod=1,-0.04341350624630033,0.01594496078531761,0.006474884205575041,-0.07466562938552285,-0.012161383107077817,downstream_any,Any downstream,car_20,4829,60,is_reasoning_model
Interaction (mod=1 minus mod=0),-0.025747524603672894,0.018341501472421702,0.16038288265445552,-0.06169686748961943,0.01020181828227364,downstream_any,Any downstream,car_20,4829,60,is_reasoning_model
Baseline (mod=0),-0.016717529804374076,0.0056720453757221605,0.0032050529754280217,-0.02783473874078951,-0.005600320867958641,downstream_deployer,Downstream deployer,car_20,4829,60,is_reasoning_model
Mod=1,-0.02469539906857953,0.010911595611114294,0.023621805411897793,-0.046082126466363546,-0.0033086716707955155,downstream_deployer,Downstream deployer,car_20,4829,60,is_reasoning_model
Interaction (mod=1 minus mod=0),-0.007977869264205453,0.012468035164749362,0.5222598514561216,-0.0324152181871142,0.0164594796587033,downstream_deployer,Downstream deployer,car_20,4829,60,is_reasoning_model
