"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared"
"AA intelligence","mkt_car_1","all event-firm panel","z_intelligence",0.00443695243479487,0.00233859909479391,0.0640801104798851,-0.000270403390752752,0.0091443082603425,3763,47,0.0150149400967561
"AA coding","mkt_car_1","all event-firm panel","z_coding",0.0017884546401369,0.00201355968842478,0.380671002142327,-0.00230359098084785,0.00588050026112165,2801,35,0.0110751110897332
"AA math","mkt_car_1","all event-firm panel","z_math",-0.000159603740858406,0.00191006209661118,0.934162380455394,-0.00412083008104463,0.00380162259932782,1858,23,0.00916672207982838
"MMLU-Pro","mkt_car_1","all event-firm panel","z_mmlu",0.00464889645467821,0.00172276092981207,0.0103335061365025,0.00116134928255111,0.00813644362680532,3141,39,0.0162842697780751
"GPQA","mkt_car_1","all event-firm panel","z_gpqa",0.00508000200302512,0.00208995316625205,0.0193155062903444,0.000865209755893122,0.00929479425015712,3523,44,0.0191295911792783
"HLE","mkt_car_1","all event-firm panel","z_hle",0.00228935565467511,0.00227237875535559,0.319344359029413,-0.00229333285494155,0.00687204416429176,3523,44,0.01423628774763
"LiveCodeBench","mkt_car_1","all event-firm panel","z_livecode",0.0039554064481027,0.00203491620522245,0.0591639227121419,-0.000160600083236405,0.0080714129794418,3220,40,0.0167975416474406
"Lower blended price","mkt_car_1","all event-firm panel","z_low_price",-0.00389874023788513,0.0014310841625822,0.00907884739471739,-0.00677936325043014,-0.00101811722534011,3763,47,0.0162724723203023
"Output speed","mkt_car_1","all event-firm panel","z_speed",0.00160860653163775,0.00163561847126223,0.330513460685489,-0.00168372269067731,0.0049009357539528,3763,47,0.0129084324686567
"Lower TTFT","mkt_car_1","all event-firm panel","z_low_ttft",-0.00364417593696108,0.00191990090417757,0.0639671335743869,-0.00750873601734153,0.000220384143419379,3763,47,0.0144044147072301
"Media Elo","mkt_car_1","all event-firm panel","z_media_elo",0.00372953376905075,0.00170472207483835,0.0492044547234202,1.52634413760114e-05,0.00744380409672549,1046,13,0.112284755834126
"Better media rank","mkt_car_1","all event-firm panel","z_media_rank_good",0.00291423572482862,0.00183600625564844,0.138437074887976,-0.00108607826032748,0.00691454970998473,1046,13,0.110399622937139
"Media sentiment w5","mkt_car_1","all event-firm panel","z_sent_w5",-0.00137280126881869,0.00144231999280366,0.346172647210843,-0.00427604083456668,0.0015304382969293,3692,47,0.0104380838399944
"Media sentiment w20","mkt_car_1","all event-firm panel","z_sent_w20",-0.00146390304280917,0.00126289458477429,0.251584944799604,-0.00399694879872883,0.00106914271311049,4178,54,0.0107629499681645
"Creator intelligence leap","mkt_car_1","all event-firm panel","z_leap_intelligence",0.000394993335786126,0.00138477727784066,0.777298689379653,-0.00242570567471342,0.00321569234628567,2630,33,0.0143941575184598
"Creator coding leap","mkt_car_1","all event-firm panel","z_leap_coding",0.0012555079784207,0.00133773141656739,0.359166526883593,-0.00153495085879807,0.00404596681563946,1670,21,0.0129952648809746
"Creator price-efficiency leap","mkt_car_1","all event-firm panel","z_leap_low_price",-0.0036094203330404,0.00160110319211862,0.0311537209446556,-0.00687076081138721,-0.000348079854693577,2630,33,0.0182449510424898
"Creator speed leap","mkt_car_1","all event-firm panel","z_leap_speed",-0.0024339369761405,0.00167920172540154,0.156939334512866,-0.00585435896100664,0.000986485008725633,2630,33,0.0162177616572974
"AA intelligence","mkt_car_5","all event-firm panel","z_intelligence",0.00457930821132827,0.00369685291121256,0.221738859440061,-0.00286207074350397,0.0120206871661605,3778,47,0.0318767689233637
"AA coding","mkt_car_5","all event-firm panel","z_coding",0.00191763321751667,0.00180232172417308,0.294836458415492,-0.00174512521045812,0.00558039164549147,2813,35,0.0233426878734695
"AA math","mkt_car_5","all event-firm panel","z_math",-0.00315269477260396,0.00309899552104965,0.320055563598449,-0.00957961812126403,0.0032742285760561,1859,23,0.0174400177842027
"MMLU-Pro","mkt_car_5","all event-firm panel","z_mmlu",0.00600592244498736,0.00326116287823726,0.0733416777473534,-0.00059595665328251,0.0126078015432572,3152,39,0.0330507983742556
"GPQA","mkt_car_5","all event-firm panel","z_gpqa",0.00613492052223162,0.00355621695276534,0.0916864498588845,-0.00103687446517199,0.0133067155096352,3537,44,0.0350772754382405
"HLE","mkt_car_5","all event-firm panel","z_hle",0.0017884334912273,0.00402127260323032,0.658736015634442,-0.00632123559867586,0.00989810258113046,3537,44,0.0319165142691378
