"label","outcome","sample","term","coef","se","p_value","ci_lo","ci_hi","n","n_events","r_squared","start_event_order","end_event_order","start_date","end_date"
"events 4-21","mkt_car_20","rolling 18-event window","z_intelligence",-0.0141482987230092,0.00813535571311277,0.103944695355587,-0.0315969013579696,0.00330030391195107,1204,18,0.12551123229025,4,21,"2024-06-12","2025-01-22"
"events 5-22","mkt_car_20","rolling 18-event window","z_intelligence",-0.0129245708616343,0.00825933614781026,0.138468473058139,-0.0305289291405099,0.00467978741724135,1283,18,0.17032624554199,5,22,"2024-08-08","2025-01-28"
"events 6-23","mkt_car_20","rolling 18-event window","z_intelligence",-0.0163369975763375,0.00801090043140116,0.0594374086788464,-0.0334118276603721,0.000737832507697142,1287,18,0.203423342167855,6,23,"2024-08-13","2025-01-31"
"events 7-24","mkt_car_20","rolling 18-event window","z_intelligence",-0.0198069957462408,0.00745651519984586,0.0179625155013679,-0.0357001816804118,-0.00391380981206977,1287,18,0.27546087652067,7,24,"2024-08-28","2025-02-05"
"events 8-25","mkt_car_20","rolling 18-event window","z_intelligence",-0.0231887345496667,0.00754760512010457,0.00729019546684236,-0.0391889426402058,-0.00718852645912752,1370,18,0.269676106324974,8,25,"2024-09-12","2025-02-17"
"events 9-26","mkt_car_20","rolling 18-event window","z_intelligence",-0.0252500816327936,0.00717678684521231,0.00285119008915186,-0.0404641900973406,-0.0100359731682466,1366,18,0.28930354621976,9,26,"2024-09-12","2025-02-18"
"events 10-27","mkt_car_20","rolling 18-event window","z_intelligence",-0.0205818659772957,0.00682341764352432,0.00819494068438043,-0.0350468651986028,-0.00611686675598874,1363,18,0.303760707701205,10,27,"2024-09-24","2025-02-25"
"events 11-28","mkt_car_20","rolling 18-event window","z_intelligence",-0.0142999054728742,0.0077381886543788,0.0831782306850334,-0.0307041326076656,0.00210432166191722,1367,18,0.316740490220904,11,28,"2024-10-03","2025-02-26"
"events 12-29","mkt_car_20","rolling 18-event window","z_intelligence",-0.0134507372363767,0.00729619025837027,0.0838537329717365,-0.0289179696292223,0.00201649515646897,1371,18,0.322387749449918,12,29,"2024-10-03","2025-03-12"
"events 13-30","mkt_car_20","rolling 18-event window","z_intelligence",-0.0169687751380449,0.00737755958575824,0.0362206145604293,-0.0326936711644495,-0.00124387911164038,1292,18,0.32626539623986,13,30,"2024-10-22","2025-03-31"
"events 14-31","mkt_car_20","rolling 18-event window","z_intelligence",-0.016742810805899,0.00749980841034558,0.0424352174416793,-0.0328283000463422,-0.000657321565455851,1213,18,0.333490333783571,14,31,"2024-11-12","2025-04-15"
"events 15-32","mkt_car_20","rolling 18-event window","z_intelligence",-0.0127372319768318,0.00744390358075778,0.110802878093263,-0.028818807954432,0.00334434400076847,1134,18,0.35676068107263,15,32,"2024-12-06","2025-04-15"
"events 16-33","mkt_car_20","rolling 18-event window","z_intelligence",0.00222692335789237,0.0125910193267861,0.862339414533849,-0.0249743201486135,0.0294281668643982,1132,18,0.383125748802708,16,33,"2024-12-09","2025-04-16"
"events 17-34","mkt_car_20","rolling 18-event window","z_intelligence",0.00670017253766327,0.0120839347580448,0.58800639320985,-0.0192172898690584,0.0326176349443849,1215,18,0.376139667753276,17,34,"2024-12-11","2025-04-16"
"events 18-35","mkt_car_20","rolling 18-event window","z_intelligence",0.0127299265935329,0.0138999542368226,0.376434607241097,-0.0172990988659659,0.0427589520530317,1136,18,0.408922714996592,18,35,"2024-12-17","2025-04-21"
"events 19-36","mkt_car_20","rolling 18-event window","z_intelligence",0.0189868818972507,0.0131092664857368,0.171204864132365,-0.00933396652775311,0.0473077303222546,1140,18,0.401672238096842,19,36,"2024-12-17","2025-05-06"
"events 20-37","mkt_car_20","rolling 18-event window","z_intelligence",0.00816291222931336,0.014875770561392,0.592484713692191,-0.0239742362322499,0.0403000606908766,1144,18,0.392410299594422,20,37,"2024-12-20","2025-05-20"
"events 39-56","mkt_car_20","rolling 18-event window","z_intelligence",0.0320936663269925,0.0133010466081956,0.0313210468350411,0.00335850213649611,0.0608288305174889,1120,18,0.0837377180693565,39,56,"2025-05-21","2026-02-05"
"events 40-57","mkt_car_20","rolling 18-event window","z_intelligence",0.0322223499661648,0.0132961321047091,0.0295124409904618,0.00370498282718827,0.0607397171051413,1197,18,0.0759710720376059,40,57,"2025-05-22","2026-02-12"
"events 41-58","mkt_car_20","rolling 18-event window","z_intelligence",0.0301605205677781,0.0135275904099618,0.0426654383687256,0.00114672473688744,0.0591743163986688,1194,18,0.0554903448890526,41,58,"2025-06-17","2026-02-16"
"events 42-59","mkt_car_20","rolling 18-event window","z_intelligence",0.0321068145294942,0.0140917039365707,0.0402365518957315,0.00166353902877354,0.062550090030215,1111,18,0.0588089778306676,42,59,"2025-06-17","2026-02-26"
"events 43-60","mkt_car_20","rolling 18-event window","z_intelligence",0.0362824457480553,0.0152229875004454,0.0330970209707688,0.00339518069436824,0.0691697108017424,1104,18,0.0648962501979033,43,60,"2025-07-21","2026-03-17"
