"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct","ci_lo_pct","ci_hi_pct","stars"
"exclusive","business_downstream","互斥 商业下游","controls_intelligence","mkt_car_20","z_intelligence",0.0231873597650887,0.00896215473279745,0.0129007123013591,0.00514747794660577,0.0412272415835716,1015,47,0.349901550773832,2.31873597650887,0.896215473279745,0.514747794660577,4.12272415835716,"**"
"exclusive","competitor","互斥 直接竞争者","controls_intelligence","mkt_car_20","z_intelligence",0.0025238866020724,0.00412527091680429,0.543674964597855,-0.00577985307071328,0.0108276262748581,338,47,0.463672767901318,0.25238866020724,0.412527091680429,-0.577985307071328,1.08276262748581,""
"exclusive","other_or_no_flag","互斥 其他或无关系旗标","controls_intelligence","mkt_car_20","z_intelligence",0.0167868049899371,0.00753868812352791,0.0309001418467249,0.00161221284446155,0.0319613971354126,2194,47,0.287786551311929,1.67868049899371,0.753868812352791,0.161221284446155,3.19613971354126,"**"
"exclusive","real_upstream","互斥 真实上游","controls_intelligence","mkt_car_20","z_intelligence",0.0213423703080437,0.0163552135317013,0.199374988753338,-0.011712749264082,0.0543974898801694,103,41,0.274235950267575,2.13423703080437,1.63552135317013,-1.1712749264082,5.43974898801694,""
"exclusive","owner","互斥 发布方或所有者","controls_intelligence","mkt_car_20","z_intelligence",-0.000466047129931817,0.0266799080070941,0.986236275988808,-0.056119360009146,0.0551872657492823,21,21,0.60218300456035,-0.0466047129931817,2.66799080070941,-5.6119360009146,5.51872657492823,""
"exclusive","investor","互斥 主要投资者","controls_intelligence","mkt_car_20","z_intelligence",0.0154594966225643,0.025592163143906,0.552941256806997,-0.0381055164419727,0.0690245096871012,36,20,0.542619818357618,1.54594966225643,2.5592163143906,-3.81055164419727,6.90245096871012,""
"exclusive","real_downstream","互斥 真实下游","controls_intelligence","mkt_car_20","z_intelligence",0.0199564941477069,0.0245255492219746,0.433076510228997,-0.0340238757329563,0.07393686402837,36,12,0.691383608627999,1.99564941477069,2.45255492219746,-3.40238757329563,7.393686402837,""
"exclusive","business_downstream","互斥 商业下游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0106748548874642,0.0124626820568807,0.39613632688102,-0.0144112229755632,0.0357609327504915,1015,47,0.00377842278797813,1.06748548874642,1.24626820568807,-1.44112229755632,3.57609327504915,""
"exclusive","competitor","互斥 直接竞争者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.005079420866525,0.00689343126118262,0.464955624336318,-0.0189551783136131,0.00879633658056311,338,47,0.00240825249838672,-0.5079420866525,0.689343126118262,-1.89551783136131,0.879633658056311,""
"exclusive","other_or_no_flag","互斥 其他或无关系旗标","no_controls_intelligence","mkt_car_20","z_intelligence",0.00738661625611726,0.00708344670116709,0.302490673339886,-0.00687162243384232,0.0216448549460768,2194,47,0.00139146358906372,0.738661625611726,0.708344670116709,-0.687162243384232,2.16448549460768,""
"exclusive","real_upstream","互斥 真实上游","no_controls_intelligence","mkt_car_20","z_intelligence",0.00175530095903024,0.011097497236806,0.875117976191021,-0.0206735776002703,0.0241841795183308,103,41,0.000320318904814432,0.175530095903024,1.1097497236806,-2.06735776002703,2.41841795183308,""
"exclusive","owner","互斥 发布方或所有者","no_controls_intelligence","mkt_car_20","z_intelligence",0.0496033791292857,0.0349375598046924,0.171074189720687,-0.0232750935599677,0.122481851818539,21,21,0.0652548657499732,4.96033791292857,3.49375598046924,-2.32750935599677,12.2481851818539,""
"exclusive","investor","互斥 主要投资者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.0405808959498435,0.0183214002440406,0.0391810023659538,-0.0789280273710627,-0.00223376452862423,36,20,0.1169022322863,-4.05808959498435,1.83214002440406,-7.89280273710627,-0.223376452862423,"**"
"exclusive","business_upstream","互斥 商业上游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0124545039820549,0.0327556736514759,0.711018358458418,-0.0596402476336481,0.084549255597758,19,12,0.00891745357639062,1.24545039820549,3.27556736514759,-5.96402476336481,8.4549255597758,""
"exclusive","real_downstream","互斥 真实下游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0321858992705602,0.0139621698055008,0.0416474950746722,0.00145537072597335,0.0629164278151471,36,12,0.0724263851431165,3.21858992705602,1.39621698055008,0.145537072597335,6.29164278151471,"**"
"flag","any_relation","任一关系","controls_intelligence","mkt_car_20","z_intelligence",0.0189644445741754,0.0063776023338137,0.00467360227463295,0.00612699690478348,0.0318018922435672,1568,47,0.338831546841265,1.89644445741754,0.63776023338137,0.612699690478348,3.18018922435672,"***"
"flag","broad_downstream","下游合并","controls_intelligence","mkt_car_20","z_intelligence",0.0238663511037357,0.00872812136998301,0.00884345955235703,0.00629755401126228,0.0414351481962091,1072,47,0.347409296112346,2.38663511037357,0.872812136998301,0.629755401126228,4.14351481962091,"***"
"flag","broad_upstream","上游合并","controls_intelligence","mkt_car_20","z_intelligence",0.0236069981279222,0.0163365625939949,0.15522464843428,-0.00927679681900196,0.0564907930748463,122,47,0.26693527577727,2.36069981279222,1.63365625939949,-0.927679681900196,5.64907930748463,""
"flag","business_downstream","商业下游","controls_intelligence","mkt_car_20","z_intelligence",0.0238663511037357,0.00872812136998301,0.00884345955235703,0.00629755401126228,0.0414351481962091,1072,47,0.347409296112346,2.38663511037357,0.872812136998301,0.629755401126228,4.14351481962091,"***"
"flag","business_upstream","商业上游","controls_intelligence","mkt_car_20","z_intelligence",0.0236069981279222,0.0163365625939949,0.15522464843428,-0.00927679681900196,0.0564907930748463,122,47,0.26693527577727,2.36069981279222,1.63365625939949,-0.927679681900196,5.64907930748463,""
"flag","competitor","直接竞争者","controls_intelligence","mkt_car_20","z_intelligence",0.00240110504280293,0.00396690581483951,0.547964974518347,-0.00558386221321542,0.0103860722988213,366,47,0.456635642530448,0.240110504280293,0.396690581483951,-0.558386221321542,1.03860722988213,""
"flag","positive_exposure","正向商业暴露","controls_intelligence","mkt_car_20","z_intelligence",0.0176888474851194,0.0113696583374633,0.126762796997525,-0.00521081990278283,0.0405885148730217,196,46,0.24089009705609,1.76888474851194,1.13696583374633,-0.521081990278283,4.05885148730217,""
"flag","real_upstream","真实上游","controls_intelligence","mkt_car_20","z_intelligence",0.0213423703080437,0.0163552135317013,0.199374988753338,-0.011712749264082,0.0543974898801694,103,41,0.274235950267575,2.13423703080437,1.63552135317013,-1.1712749264082,5.43974898801694,""
"flag","owner","发布方或所有者","controls_intelligence","mkt_car_20","z_intelligence",-0.000466047129931817,0.0266799080070941,0.986236275988808,-0.056119360009146,0.0551872657492823,21,21,0.60218300456035,-0.0466047129931817,2.66799080070941,-5.6119360009146,5.51872657492823,""
"flag","cloud","云服务方","controls_intelligence","mkt_car_20","z_intelligence",0.00880695918590258,0.0277450613087633,0.754383437901311,-0.0492641215243723,0.0668780398961774,28,20,0.535444279765444,0.880695918590258,2.77450613087633,-4.92641215243723,6.68780398961774,""
"flag","investor","主要投资者","controls_intelligence","mkt_car_20","z_intelligence",0.0154594966225643,0.025592163143906,0.552941256806997,-0.0381055164419727,0.0690245096871012,36,20,0.542619818357618,1.54594966225643,2.5592163143906,-3.81055164419727,6.90245096871012,""
"flag","real_downstream","真实下游","controls_intelligence","mkt_car_20","z_intelligence",0.0496790191266572,0.0200409489770738,0.0227290487056367,0.00773283084447213,0.0916252074088422,56,20,0.394667529034277,4.96790191266572,2.00409489770738,0.773283084447213,9.16252074088422,"**"
"flag","any_relation","任一关系","no_controls_intelligence","mkt_car_20","z_intelligence",0.00622152908688841,0.00891249779113503,0.488648628551326,-0.0117183984922664,0.0241614566660433,1568,47,0.00169768034405837,0.622152908688841,0.891249779113503,-1.17183984922664,2.41614566660433,""
"flag","broad_downstream","下游合并","no_controls_intelligence","mkt_car_20","z_intelligence",0.0109904810662772,0.0121129209684,0.368958338948562,-0.013391564241074,0.0353725263736284,1072,47,0.00424364769643881,1.09904810662772,1.21129209684,-1.3391564241074,3.53725263736284,""
"flag","broad_upstream","上游合并","no_controls_intelligence","mkt_car_20","z_intelligence",0.0054366500782423,0.0109021167647808,0.62038229799353,-0.0165081727764908,0.0273814729329754,122,47,0.00290780401235768,0.54366500782423,1.09021167647808,-1.65081727764908,2.73814729329754,""
"flag","business_downstream","商业下游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0109904810662772,0.0121129209684,0.368958338948562,-0.013391564241074,0.0353725263736284,1072,47,0.00424364769643881,1.09904810662772,1.21129209684,-1.3391564241074,3.53725263736284,""
"flag","business_upstream","商业上游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0054366500782423,0.0109021167647808,0.62038229799353,-0.0165081727764908,0.0273814729329754,122,47,0.00290780401235768,0.54366500782423,1.09021167647808,-1.65081727764908,2.73814729329754,""
"flag","competitor","直接竞争者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.00616626521624762,0.0069139254420468,0.377108762128937,-0.0200832753098007,0.00775074487730545,366,47,0.00371343155425818,-0.616626521624762,0.69139254420468,-2.00832753098007,0.775074487730545,""
"flag","positive_exposure","正向商业暴露","no_controls_intelligence","mkt_car_20","z_intelligence",-0.00241875513459949,0.00860660559264903,0.779971937222,-0.0197533486255148,0.0149158383563158,196,46,0.000586968083960082,-0.241875513459949,0.860660559264903,-1.97533486255148,1.49158383563158,""
"flag","real_upstream","真实上游","no_controls_intelligence","mkt_car_20","z_intelligence",0.00175530095903024,0.011097497236806,0.875117976191021,-0.0206735776002703,0.0241841795183308,103,41,0.000320318904814432,0.175530095903024,1.1097497236806,-2.06735776002703,2.41841795183308,""
"flag","owner","发布方或所有者","no_controls_intelligence","mkt_car_20","z_intelligence",0.0496033791292857,0.0349375598046924,0.171074189720687,-0.0232750935599677,0.122481851818539,21,21,0.0652548657499732,4.96033791292857,3.49375598046924,-2.32750935599677,12.2481851818539,""
"flag","cloud","云服务方","no_controls_intelligence","mkt_car_20","z_intelligence",-0.0344949577606191,0.0185185131183561,0.0780364197991849,-0.0732546511692142,0.00426473564797601,28,20,0.0990294188587473,-3.44949577606191,1.85185131183561,-7.32546511692142,0.426473564797601,"*"
"flag","investor","主要投资者","no_controls_intelligence","mkt_car_20","z_intelligence",-0.0405808959498435,0.0183214002440406,0.0391810023659538,-0.0789280273710627,-0.00223376452862423,36,20,0.1169022322863,-4.05808959498435,1.83214002440406,-7.89280273710627,-0.223376452862423,"**"
"flag","real_downstream","真实下游","no_controls_intelligence","mkt_car_20","z_intelligence",0.0154945200102692,0.0135008398028022,0.265350535720351,-0.0127630624517089,0.0437521024722474,56,20,0.0180737031618627,1.54945200102692,1.35008398028022,-1.27630624517089,4.37521024722474,""
