"family","sample","outcome","benchmark","window","fe","control_variant","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","q_family_term","sig_p05","sig_q10_family","direction"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_upstream_hardware",0.0033810889660527,0.00346709250609141,0.331377892945916,12112,124,101,2688,124,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.609421250442316,0.528639295405856,0.396922458621495,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_upstream_cloud",0.00244835127315426,0.00361415469019985,0.499402854349719,12112,124,101,562,123,6,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.739394027301677,0.670771669139915,0.989904161947785,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_downstream_integrator",-0.00172286690316605,0.00315027731946176,0.585442568998687,12112,124,101,1971,124,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.795782052811267,0.732962098494862,0.681770305453471,FALSE,FALSE,"negative"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_downstream_deployer",-0.00245558464845117,0.00137495544701035,0.0765733215403828,12112,124,101,2949,124,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.297094719186978,0.245619437112827,0.155266595290791,FALSE,FALSE,"negative"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_competitor",0.00373467787453973,0.0030325235728938,0.22046990614895,12112,124,101,746,123,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.499673981044267,0.420747680318337,0.439075188179727,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_is_investor",0.000136678483422205,0.00581301723506653,0.981279581208812,12112,124,101,89,45,5,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.991421069913748,0.988265085908313,0.994935992890979,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","rel_is_owner",0.0102151001488905,0.010427134202836,0.329174401714981,12112,124,101,53,32,5,"rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.607062577796417,0.526052789423228,0.978468674672536,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","upstream_any",0.00368421529025756,0.00308133033092992,0.234130314670647,12112,124,101,3250,124,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.511562294132953,0.431437744504501,0.304545195508029,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","downstream_any",-0.00276563979250902,0.00213604067864333,0.197831547013891,12112,124,101,4920,124,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.471599740530174,0.396992309349264,0.286665671647462,FALSE,FALSE,"negative"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","capital_link",0.00406939812936532,0.00554753413139659,0.464618426010736,12112,124,101,142,77,6,"capital_link + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.714280700139224,0.643262595476105,0.634600776990274,FALSE,FALSE,"positive"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","related_any",-0.000298146193008156,0.00163317045590098,0.855446419590156,12112,124,101,8173,124,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.938968849170009,0.924397980244558,0.984116812339239,FALSE,FALSE,"negative"
"single_extended","main","car_mm_spy_0_5","car_mm_spy","0_5","year","year_core","platform_bigtech",0.00238459631760254,0.00300643595015263,0.429209713625463,12112,124,101,896,124,10,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)","",0.687168334893355,0.615331685616257,0.83895717014135,FALSE,FALSE,"positive"
