"term","family","n_specs","median_coef","positive_share","p05_share","q10_family_share","event_p05_share","year_p05_share","sector_p05_share","creator_p05_share","min_p","min_q_family","min_q_family_term","min_q_global","median_n","median_events","min_treated","min_treated_events","min_treated_tickers","best_sample","best_outcome","best_benchmark","best_window","best_fe","best_control_variant","best_coef","best_se","best_p","best_q_family","best_q_family_term","best_n","best_events","best_treated","best_treated_events","best_treated_tickers","best_rhs","placebo_min_p","placebo_p05_share","risk_flag"
"rel_upstream_hardware","joint_extended",364,0.0139810266388175,0.912087912087912,0.489010989010989,0.137362637362637,0.395604395604396,0.494505494505495,0.604395604395604,0.461538461538462,1.69652445279761e-08,3.96392784689119e-05,5.79000696736915e-06,0.000140951397726346,7497,77,556,25,22,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year_sector","year_sector",0.0525147026887664,0.00819264564660206,1.69652445279761e-08,3.96392784689119e-05,5.79000696736915e-06,6765,68,1527,68,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year) + factor(gics_sector)",0.00038976544589818,0.25,"pre_window_signal"
"rel_upstream_hardware","single_extended",364,0.0130136139157083,0.901098901098901,0.381868131868132,0.148351648351648,0.340659340659341,0.428571428571429,0.340659340659341,0.417582417582418,8.39752962483157e-08,0.000209857646841789,1.89432949647935e-05,0.000140951397726346,7497,77,556,25,22,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.0455929486301932,0.00758151474418215,8.39752962483157e-08,0.000209857646841789,1.89432949647935e-05,6765,68,1527,68,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.00038976544589818,0.25,"pre_window_signal"
"strategic_any","single_extended",364,0.0140876019575635,0.912087912087912,0.601648351648352,0.299450549450549,0.527472527472527,0.637362637362637,0.604395604395604,0.637362637362637,2.1453021839075e-07,0.000209857646841789,4.83877527326671e-05,0.000149949491447025,7497,77,726,25,29,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.0435628924900724,0.00753901296011242,2.1453021839075e-07,0.000209857646841789,4.83877527326671e-05,6765,68,2035,68,32,"strategic_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.00140438491786897,0.25,"pre_window_signal"
"upstream_any","single_extended",364,0.0132653404916943,0.912087912087912,0.497252747252747,0.21978021978022,0.406593406593407,0.54945054945055,0.516483516483517,0.516483516483517,3.71281080145107e-07,0.000209857646841789,8.52546690294768e-05,0.000169381522771199,7497,77,674,25,26,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.0433937756949762,0.00769469922798983,3.71281080145107e-07,0.000209857646841789,8.52546690294768e-05,6765,68,1869,68,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.00136269055800713,0.25,"pre_window_signal"
"hardware_sox","single_extended",364,0.0093295489169219,0.909340659340659,0.203296703296703,0.126373626373626,0.175824175824176,0.241758241758242,0.175824175824176,0.21978021978022,3.93277743636605e-06,0.00044979841201892,0.00079845977968465,0.000641255574634786,7497,77,448,25,18,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.0335577783557529,0.00667364227294435,3.93277743636605e-06,0.00044979841201892,0.00079845977968465,6765,68,1224,68,18,"hardware_sox + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.00761839121168283,0.09375,"pre_window_signal"
"hardware_nonsox","single_extended",364,0.0227422340717476,0.901098901098901,0.598901098901099,0.340659340659341,0.593406593406593,0.615384615384615,0.571428571428571,0.615384615384615,4.00203843796192e-06,0.00044979841201892,0.000295862686582717,0.000641255574634786,7497,77,108,25,4,"late_2025_2026","car_ff3_0_20","car_ff3","0_20","year","year_core",0.061431243463507,0.012228071160031,4.00203843796192e-06,0.00044979841201892,0.000295862686582717,6765,68,303,68,5,"hardware_nonsox + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.000134287012120862,0.5625,"low_support;pre_window_signal"
"downstream_any","single_extended",364,-0.00687525778646369,0.0796703296703297,0.335164835164835,0.112637362637363,0.307692307692308,0.307692307692308,0.417582417582418,0.307692307692308,9.47143840515989e-05,0.00404114705286822,0.0132700406884033,0.00576126550544976,7497,77,1000,25,40,"late_2025_2026","car_mm_spy_0_10","car_mm_spy","0_10","year_sector","year_sector",-0.0174880788356134,0.00421036374332764,9.47143840515989e-05,0.00404114705286822,0.0132700406884033,6765,68,2719,68,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year) + factor(gics_sector)",0.0316785381688869,0.125,"pre_window_signal"
"rel_downstream_deployer","single_extended",364,-0.00512659375223083,0.0274725274725275,0.384615384615385,0.115384615384615,0.406593406593407,0.406593406593407,0.318681318681319,0.406593406593407,0.000102702609437382,0.00428007153748345,0.00895303363733948,0.00611136342787986,7497,77,600,25,24,"late_2025_2026","car_mm_spy_0_10","car_mm_spy","0_10","year","year_core",-0.0104719942399266,0.00253545045028218,0.000102702609437382,0.00428007153748345,0.00895303363733948,6765,68,1632,68,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year)",0.016770397370459,0.0625,"pre_window_signal"
"downstream_any:post_2024","interaction_wide",24,0.0274323674694128,1,0.958333333333333,0.875,0.958333333333333,NA,NA,NA,2.06385567147713e-06,0.00490372107542967,4.95325361154512e-05,0.000426361429188738,10860,111,3197,80,40,"high_date","car_mm_soxx_0_20","car_mm_soxx","0_20","event","event_core",0.0355397135663027,0.00706234754258871,2.06385567147713e-06,0.00490372107542967,4.95325361154512e-05,10209,104,3717,93,40,"downstream_any*post_2024 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",NA,NA,""
"rel_is_investor","single_extended",336,0.011785973031219,0.794642857142857,0.116071428571429,0.0357142857142857,0.0952380952380952,0.130952380952381,0.119047619047619,0.119047619047619,0.000137196608027394,0.0051941476391216,0.0265982663729579,0.0074734610014524,8029.5,82,8,5,2,"open_events","car_mm_spy_0_5","car_mm_spy","0_5","year_creator","year_creator",-0.0210688478007276,0.00506350633465681,0.000137196608027394,0.0051941476391216,0.0265982663729579,4615,47,8,7,2,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum +  + factor(release_year) + factor(aa_creators)",0.0903086186534252,0,"low_support;low_support_relation"
