"family","sample","outcome","fe","term","coef","se","p","n","n_events","n_tickers","n_treated","treated_events","treated_tickers","rhs","note","q_global","q_family","sig_p05","sig_q10_family","direction"
"joint_core","main","car_mm_spy_0_20","event","rel_upstream_hardware",0.0153564799938574,0.00653574823995939,0.0203858492159221,12112,124,101,2688,124,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.203319069267633,0.269585184537959,TRUE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","event","rel_upstream_cloud",-0.00132593332365907,0.00786709052642026,0.866433926675498,12112,124,101,562,123,6,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.95331733259419,0.976916450117548,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","event","rel_downstream_integrator",-0.0056020928992542,0.00488851067262963,0.254031655130701,12112,124,101,1971,124,16,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.644246062685501,0.777902812787407,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","event","rel_downstream_deployer",-0.00114546999237121,0.00246945880116442,0.643571725997545,12112,124,101,2949,124,24,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.88236054978241,0.942392890119232,FALSE,FALSE,"negative"
"joint_core","main","car_mm_spy_0_20","event","rel_competitor",0.0158247878692276,0.00644119473483861,0.0154126157095169,12112,124,101,746,123,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.178701096578548,0.239751799925818,TRUE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","event","rel_is_investor",0.010888987494924,0.0121938787893192,0.373607403735807,12112,124,101,89,45,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.735719195048975,0.804112433670259,FALSE,FALSE,"positive"
"joint_core","main","car_mm_spy_0_20","event","rel_is_owner",0.0132811553195273,0.0142672055979114,0.353735535863376,12112,124,101,53,32,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.722051812129635,0.792812333180208,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","event","rel_upstream_hardware",0.0161445102711516,0.0068494287295016,0.0199993755072379,12112,124,101,2688,124,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.203319069267633,0.160023442226449,TRUE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","event","rel_upstream_cloud",0.00453566743291764,0.0060679596951584,0.456201599915587,12112,124,101,562,123,6,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.796361477559674,0.727261472154822,FALSE,FALSE,"positive"
"single_or_bundle","main","car_mm_spy_0_20","event","rel_downstream_integrator",-0.00895080698363822,0.00545052842598454,0.103104786662137,12112,124,101,1971,124,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","",0.432018329808049,0.349872994299943,FALSE,FALSE,"negative"
