"family","term","n_specs","median_coef","positive_share","p05_share","q10_family_share","min_p","min_q_family","min_q_global","median_n","median_events","min_treated","min_treated_events","min_treated_tickers","best_sample","best_outcome","best_fe","best_coef","best_se","best_p","best_q_family","best_n","best_events","best_treated","best_treated_events","best_treated_tickers","best_rhs","risk_flag"
"joint_core","rel_upstream_hardware",140,0.0103493203538286,0.871428571428571,0.471428571428571,0.171428571428571,3.51456305316865e-08,3.44427179210527e-05,8.95736493315367e-05,8298.5,85,741,35,22,"late_2025_2026","car_ff3_0_20","year",0.0472077788393003,0.00757722906259547,3.51456305316865e-08,3.44427179210527e-05,6765,68,1527,68,23,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","rel_upstream_hardware",140,0.0102944466767481,0.871428571428571,0.435714285714286,0.178571428571429,8.39752962483157e-08,0.000114354572684693,8.95736493315367e-05,8298.5,85,741,35,22,"late_2025_2026","car_ff3_0_20","year",0.0455929486301932,0.00758151474418215,8.39752962483157e-08,0.000114354572684693,6765,68,1527,68,23,"rel_upstream_hardware + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","upstream_any",140,0.0105348594406208,0.885714285714286,0.492857142857143,0.185714285714286,3.71281080145107e-07,0.000114354572684693,9.90082880386953e-05,8298.5,85,895,35,26,"late_2025_2026","car_ff3_0_20","year",0.0433937756949762,0.00769469922798983,3.71281080145107e-07,0.000114354572684693,6765,68,1869,68,29,"upstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","rel_downstream_deployer",140,-0.00473693038636985,0.0428571428571429,0.428571428571429,0.0714285714285714,0.000102702609437382,0.0048881045804084,0.00608608055925226,8298.5,85,816,35,24,"late_2025_2026","car_mm_spy_0_10","year",-0.0104719942399266,0.00253545045028218,0.000102702609437382,0.0048881045804084,6765,68,1632,68,24,"rel_downstream_deployer + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","downstream_any",140,-0.00546747586714035,0.128571428571429,0.371428571428571,0.114285714285714,0.000205209541652136,0.00718233395782477,0.00965691960715936,8298.5,85,1366,35,40,"late_2025_2026","car_mm_spy_0_10","year",-0.015015086683503,0.00382278193802124,0.000205209541652136,0.00718233395782477,6765,68,2719,68,40,"downstream_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"rel_x_intelligence","downstream_any:intel_c",16,-0.000583628332378792,0,0.4375,0.125,0.000237965541811745,0.00951862167246981,0.0105762463027442,6766.5,68.5,0,0,0,"main","car_mm_spy_0_10","event",-0.000813819517326252,0.000212161476264205,0.000237965541811745,0.00951862167246981,8562,87,0,0,0,"downstream_any*intel_c + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"single_or_bundle","rel_is_investor",140,0.0132015278787962,0.864285714285714,0.142857142857143,0.0214285714285714,0.00193753832705148,0.0420254792064687,0.0563647513324066,8298.5,85,8,5,2,"nonreasoning_events","car_mm_soxx_0_20","year",0.0380413454220739,0.0118770637440659,0.00193753832705148,0.0420254792064687,8035,83,42,23,5,"rel_is_investor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","low_support_relation"
"single_or_bundle","related_any",140,0.0019990845279481,0.814285714285714,0.0857142857142857,0.0142857142857143,0.00211486231884674,0.0452345551531109,0.0601614008047742,8298.5,85,2261,35,66,"late_2025_2026","car_ff3_0_20","year",0.0128873544151473,0.00403003827639366,0.00211486231884674,0.0452345551531109,6765,68,4589,68,69,"related_any + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"rel_x_event","rel_upstream_hardware:post_2025",20,0.0354250887033022,1,0.85,0.5,0.0001865677965824,0.0605342987975831,0.00922570282993487,10860,111,1121,50,23,"no_multi_component","car_ff3_0_20","event",0.0459953529955721,0.011917475739834,0.0001865677965824,0.0605342987975831,11511,118,1413,63,23,"rel_upstream_hardware*post_2025 + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"joint_core","rel_competitor",140,0.0105496145213112,0.964285714285714,0.35,0.0214285714285714,0.00202582068784577,0.0794121709635544,0.0584020378478061,8298.5,85,219,34,7,"post_2024","car_mm_spy_0_20","year",0.0210493236963869,0.00665568137242736,0.00202582068784577,0.0794121709635544,10853,110,665,110,7,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"rel_x_event","downstream_any:post_2025",20,-0.017965114702338,0,0.8,0.1,0.00156925248104876,0.0844466741618102,0.0473736598052454,10860,111,1999,50,40,"main","car_mm_spy_0_10","event",-0.0185125167980219,0.00572490111952561,0.00156925248104876,0.0844466741618102,12112,124,2719,68,40,"downstream_any*post_2025 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","rel_downstream_deployer:post_2025",20,-0.00914272330146355,0,0.6,0.1,0.00182967794017255,0.0844466741618102,0.0537153156747906,10860,111,1200,50,24,"no_multi_component","car_mm_spy_0_10","event",-0.0124363366833811,0.00389923398912053,0.00182967794017255,0.0844466741618102,11511,118,1512,63,24,"rel_downstream_deployer*post_2025 + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"single_or_bundle","rel_downstream_integrator",140,-0.0043934778856903,0.242857142857143,0.157142857142857,0.0142857142857143,0.00500579695922023,0.0923689348723502,0.116830273356332,8298.5,85,550,35,16,"reasoning_events","car_mm_spy_0_15","year",-0.0226648239476149,0.00762936427248765,0.00500579695922023,0.0923689348723502,4077,41,656,41,16,"rel_downstream_integrator + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","rel_competitor",140,0.00802815738172849,0.985714285714286,0.15,0,0.0141864163541364,0.138950971794954,0.1754091474495,8298.5,85,219,34,7,"high_date","car_ff3_0_20","year",0.0138063461784808,0.00553372093975071,0.0141864163541364,0.138950971794954,10209,104,623,104,7,"rel_competitor + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"joint_core","rel_is_investor",140,0.00802136501550806,0.735714285714286,0.05,0,0.00474969661949336,0.152051766186443,0.115144160472566,8298.5,85,8,5,2,"nonreasoning_events","car_mm_soxx_0_20","year",0.0357246583400717,0.0123070766591647,0.00474969661949336,0.152051766186443,8035,83,42,23,5,"rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)","low_support_relation"
"rel_x_event","rel_upstream_hardware:is_reasoning_model",25,0.0260164168393873,0.92,0.6,0,0.00633663292760183,0.165303467676569,0.139842933574661,10209,104,761,34,23,"main","car_mm_spy_0_15","event",0.0260164168393873,0.00936688136690062,0.00633663292760183,0.165303467676569,12112,124,919,41,23,"rel_upstream_hardware*is_reasoning_model + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"rel_x_event","rel_downstream_deployer:is_chinese_model",25,-0.00594661793839391,0,0.16,0,0.0107236885449569,0.188031652190251,0.169880214573575,10209,104,408,17,24,"llm_events","car_mm_spy_0_10","event",-0.0127997897283016,0.00490704877401234,0.0107236885449569,0.188031652190251,8562,87,528,22,24,"rel_downstream_deployer*is_chinese_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_intelligence","rel_upstream_cloud:intel_c",16,-0.000536039998741403,0.0625,0.25,0,0.0250842173584591,0.189444717712496,0.219062089279693,6766.5,68.5,0,0,0,"main","car_mm_spy_0_15","event",-0.000960517944997008,0.000421286990447811,0.0250842173584591,0.189444717712496,8562,87,0,0,0,"rel_upstream_cloud*intel_c + rel_upstream_hardware + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_intelligence","rel_upstream_hardware:intel_c",16,0.000859350038992682,1,0.3125,0,0.0258757987631824,0.189444717712496,0.220696180274169,6766.5,68.5,0,0,0,"main","car_mm_spy_0_10","event",0.000859350038992682,0.00037900994318573,0.0258757987631824,0.189444717712496,8562,87,0,0,0,"rel_upstream_hardware*intel_c + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_intelligence","rel_competitor:intel_c",16,-0.00052103640735833,0,0.125,0,0.0419253613926337,0.189444717712496,0.275503927506987,6766.5,68.5,0,0,0,"main","car_mm_spy_0_15","event",-0.000716852715991566,0.000347128381475094,0.0419253613926337,0.189444717712496,8562,87,0,0,0,"rel_competitor*intel_c + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","downstream_any:is_reasoning_model",25,-0.0132046800733232,0.08,0.24,0,0.0127537819915093,0.189942944280616,0.1754091474495,10209,104,1360,34,40,"high_date","car_mm_spy_0_15","event",-0.0192725119465545,0.00760303789963809,0.0127537819915093,0.189942944280616,10209,104,1360,34,40,"downstream_any*is_reasoning_model + rel_upstream_hardware + rel_upstream_cloud + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
"single_or_bundle","platform_bigtech",140,0.00464831260296756,0.907142857142857,0.0142857142857143,0,0.0437967576818921,0.227967423558642,0.280255910578637,8298.5,85,249,34,7,"high_date","car_mm_qqq_0_20","year",0.0108514400780801,0.00531643249303957,0.0437967576818921,0.227967423558642,10209,104,723,104,9,"platform_bigtech + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(release_year)",""
"single_or_bundle","rel_upstream_cloud",140,0.00371725089039133,0.8,0.0214285714285714,0,0.0438237223649492,0.227967423558642,0.280255910578637,8298.5,85,154,34,4,"early_2022_2024","car_ff3_0_20","event",0.017843925958417,0.00864854084036782,0.0438237223649492,0.227967423558642,5347,56,220,55,4,"rel_upstream_cloud + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)","low_support"
"rel_x_event","rel_upstream_cloud:is_open_weight_or_open_source",25,0.0151375184617977,0.8,0.12,0,0.0234042837607858,0.260934787020039,0.211093310847672,10209,104,116,23,6,"llm_events","car_ff3_0_20","event",0.0304292735703273,0.0131847161737,0.0234042837607858,0.260934787020039,8562,87,170,37,6,"rel_upstream_cloud*is_open_weight_or_open_source + rel_upstream_hardware + rel_downstream_integrator + rel_downstream_deployer + rel_competitor + rel_is_investor + rel_is_owner + size_log_assets + bm_ratio + bm_missing + volatility + momentum + factor(event_id)",""
