"relation","year","sample","outcome","coef","se","p","n","n_events","year_events","treated","treated_tickers","q_relation"
"rel_upstream_hardware","2022","main","car_mm_spy_0_10",0.0157104819848134,0.0095282688714824,0.101734633961256,12112,124,3,45,20,0.180980283254123
"rel_upstream_hardware","2023","main","car_mm_spy_0_10",0.00472639257864037,0.00977073382766129,0.629437902778453,12112,124,8,160,20,0.665571173799044
"rel_upstream_hardware","2024","main","car_mm_spy_0_10",-0.00597287755240663,0.00827759242701537,0.471927188980912,12112,124,45,956,22,0.527448034743372
"rel_upstream_hardware","2025","main","car_mm_spy_0_10",0.0167616496567787,0.00508051944935145,0.00126854347068097,12112,124,59,1320,23,0.0049866881261252
"rel_upstream_hardware","2026","main","car_mm_spy_0_10",0.051059165215848,0.0162792340661643,0.00213972715003547,12112,124,9,207,23,0.00786867403561432
"upstream_any","2022","main","car_mm_spy_0_10",-0.00479932566318243,0.0102757395724414,0.641287513545497,12112,124,3,53,24,0.69625501470654
"upstream_any","2023","main","car_mm_spy_0_10",0.00998936083894438,0.0100140016916932,0.32046118616841,12112,124,8,192,24,0.395429213269318
"upstream_any","2024","main","car_mm_spy_0_10",-0.00245513075587779,0.00767095134866293,0.749469235198101,12112,124,45,1136,26,0.783186190719561
"upstream_any","2025","main","car_mm_spy_0_10",0.0158460282232489,0.00503591882047542,0.00207227886967747,12112,124,59,1608,29,0.00762063842397521
"upstream_any","2026","main","car_mm_spy_0_10",0.0406595919546393,0.0142638807730626,0.00511978405309442,12112,124,9,261,29,0.0157744697852098
"strategic_any","2022","main","car_mm_spy_0_10",-0.0119618893709874,0.0185555856044525,0.520353425530653,12112,124,3,59,27,0.587329609014796
"strategic_any","2023","main","car_mm_spy_0_10",0.00985261096801398,0.0100443763856287,0.328563481074816,12112,124,8,214,27,0.419454379298374
"strategic_any","2024","main","car_mm_spy_0_10",-0.00108202809863143,0.00715589259293303,0.880059365198704,12112,124,45,1249,29,0.912061523933203
"strategic_any","2025","main","car_mm_spy_0_10",0.0156638392131866,0.00462984990153618,0.000961397374772804,12112,124,59,1753,32,0.00342497814762811
"strategic_any","2026","main","car_mm_spy_0_10",0.0387222698151528,0.0135054325808288,0.00487439204410337,12112,124,9,282,32,0.0158765912293652
"downstream_any","2022","main","car_mm_spy_0_10",-0.0251993487695908,0.00787358702620426,0.00174580319639548,12112,124,3,86,39,0.0043265557475888
"downstream_any","2023","main","car_mm_spy_0_10",-0.0157221621359569,0.00480765853326172,0.00139416754980058,12112,124,8,317,40,0.00407525899172478
"downstream_any","2024","main","car_mm_spy_0_10",0.00813979348518588,0.00470592405859319,0.0861940705417087,12112,124,45,1798,40,0.132445907193145
"downstream_any","2025","main","car_mm_spy_0_10",-0.0106613604327606,0.00332312279432349,0.00170303209831927,12112,124,59,2359,40,0.0043265557475888
"downstream_any","2026","main","car_mm_spy_0_10",-0.0412985537064578,0.0175337157844233,0.0200859977225821,12112,124,9,360,40,0.0375377662356452
"rel_downstream_deployer","2022","main","car_mm_spy_0_10",-0.0100069229378645,0.00860578188330331,0.247156064656911,12112,124,3,48,23,0.323859670929746
"rel_downstream_deployer","2023","main","car_mm_spy_0_10",-0.00742311384358508,0.00557709224405705,0.185650698657855,12112,124,8,189,24,0.278476047986783
"rel_downstream_deployer","2024","main","car_mm_spy_0_10",0.0037283580689549,0.0030689615480348,0.2267465578929,12112,124,45,1080,24,0.315233019509641
"rel_downstream_deployer","2025","main","car_mm_spy_0_10",-0.00863208854027065,0.00300246767025437,0.00476257549150969,12112,124,59,1416,24,0.0142877264745291
"rel_downstream_deployer","2026","main","car_mm_spy_0_10",-0.0200621640975029,0.00428502690395283,7.38310037993943e-06,12112,124,9,216,24,7.01394536094245e-05
"rel_downstream_integrator","2022","main","car_mm_spy_0_10",-0.0296829623804132,0.0225097716078291,0.189729456534245,12112,124,3,38,16,0.337955594451625
"rel_downstream_integrator","2023","main","car_mm_spy_0_10",-0.0177674805142441,0.0113610380639594,0.120411265756073,12112,124,8,128,16,0.290016893825337
"rel_downstream_integrator","2024","main","car_mm_spy_0_10",0.00903174833791393,0.00600958968951242,0.135430736930102,12112,124,45,718,16,0.29130384924588
"rel_downstream_integrator","2025","main","car_mm_spy_0_10",-0.0075169042987402,0.00425864798946251,0.0800301526608922,12112,124,59,943,16,0.240090457982677
"rel_downstream_integrator","2026","main","car_mm_spy_0_10",-0.0466762500723811,0.0297867259015311,0.119680287234297,12112,124,9,144,16,0.290016893825337
"rel_competitor","2022","main","car_mm_spy_0_10",-0.083489289950774,0.0707301258876294,0.240121950527724,12112,124,3,14,7,0.280679401212639
"rel_competitor","2023","main","car_mm_spy_0_10",0.0122734693587044,0.0116463764669596,0.294019895109508,12112,124,8,49,7,0.331864040024594
"rel_competitor","2024","main","car_mm_spy_0_10",0.0107904691133473,0.00519045697678315,0.0397044339371207,12112,124,45,270,7,0.179103334539915
"rel_competitor","2025","main","car_mm_spy_0_10",0.00670748041124526,0.00424162333836751,0.116366710845544,12112,124,59,358,7,0.213196099002632
"rel_competitor","2026","main","car_mm_spy_0_10",-0.0259960648203899,0.0136943167606279,0.0599983696995508,12112,124,9,55,7,0.179103334539915
"platform_bigtech","2022","main","car_mm_spy_0_10",-0.0909928146893129,0.0664755309951176,0.173551251308409,12112,124,3,15,8,0.355239540719667
"platform_bigtech","2023","main","car_mm_spy_0_10",0.0161234581750468,0.0124089800320808,0.196258156435682,12112,124,8,56,8,0.369861981926961
