"relation","year","median_coef.median","median_coef.mean","p05_share.median","p05_share.mean","positive_share.median","positive_share.mean"
"downstream_any","2022",-0.032725759,-0.033403686,1.00000000,1.00000000,0.00000000,0.00000000
"platform_bigtech","2022",-0.056690457,-0.040185026,0.00000000,0.11111111,0.00000000,0.33333333
"rel_competitor","2022",-0.051591378,-0.035559194,0.00000000,0.11111111,0.00000000,0.33333333
"rel_downstream_deployer","2022",-0.010107253,-0.009780959,0.00000000,0.38888889,0.00000000,0.22222222
"rel_downstream_integrator","2022",-0.046906521,-0.043860734,1.00000000,0.77777778,0.00000000,0.11111111
"rel_upstream_hardware","2022", 0.034333529, 0.038606074,1.00000000,0.77777778,1.00000000,1.00000000
"strategic_any","2022", 0.025672291, 0.021591073,1.00000000,0.77777778,1.00000000,0.88888889
"upstream_any","2022", 0.019031134, 0.021819149,1.00000000,0.77777778,1.00000000,0.88888889
"downstream_any","2023",-0.023646749,-0.023262477,1.00000000,1.00000000,0.00000000,0.00000000
"platform_bigtech","2023", 0.030610280, 0.031206757,1.00000000,0.58333333,1.00000000,1.00000000
"rel_competitor","2023", 0.033427035, 0.031960215,1.00000000,0.62500000,1.00000000,1.00000000
"rel_downstream_deployer","2023",-0.019461759,-0.018805334,1.00000000,0.83333333,0.00000000,0.00000000
"rel_downstream_integrator","2023",-0.016992454,-0.015837091,0.00000000,0.00000000,0.00000000,0.00000000
"rel_upstream_hardware","2023", 0.019105691, 0.018310844,0.00000000,0.12500000,1.00000000,1.00000000
"strategic_any","2023", 0.026345389, 0.026184055,0.50000000,0.50000000,1.00000000,1.00000000
"upstream_any","2023", 0.026948281, 0.026176639,0.50000000,0.50000000,1.00000000,1.00000000
"downstream_any","2024", 0.008346067, 0.007687744,0.00000000,0.00000000,1.00000000,1.00000000
"platform_bigtech","2024", 0.010335017, 0.010211015,0.00000000,0.08333333,1.00000000,1.00000000
"rel_competitor","2024", 0.010538712, 0.010654817,0.00000000,0.04166667,1.00000000,1.00000000
"rel_downstream_deployer","2024", 0.002407758, 0.002523306,0.00000000,0.00000000,1.00000000,0.95833333
"rel_downstream_integrator","2024", 0.011092706, 0.009653119,0.00000000,0.04166667,1.00000000,0.95833333
"rel_upstream_hardware","2024",-0.008888852,-0.008786691,0.00000000,0.00000000,0.00000000,0.12500000
"strategic_any","2024",-0.003885336,-0.003600413,0.00000000,0.00000000,0.00000000,0.29166667
"upstream_any","2024",-0.005490183,-0.004792382,0.00000000,0.00000000,0.00000000,0.25000000
"downstream_any","2025",-0.013356194,-0.013397608,1.00000000,0.95833333,0.00000000,0.00000000
"platform_bigtech","2025", 0.002335300, 0.002978921,0.00000000,0.00000000,1.00000000,0.87500000
"rel_competitor","2025", 0.013238733, 0.012111507,0.00000000,0.29166667,1.00000000,1.00000000
"rel_downstream_deployer","2025",-0.007118927,-0.006545827,1.00000000,0.54166667,0.00000000,0.00000000
"rel_downstream_integrator","2025",-0.017767175,-0.015351720,1.00000000,0.79166667,0.00000000,0.00000000
"rel_upstream_hardware","2025", 0.024273278, 0.023571863,1.00000000,0.95833333,1.00000000,1.00000000
"strategic_any","2025", 0.022758250, 0.022130393,1.00000000,0.95833333,1.00000000,1.00000000
"upstream_any","2025", 0.023198119, 0.022096489,1.00000000,0.95833333,1.00000000,1.00000000
"downstream_any","2026",-0.033270163,-0.034634604,0.00000000,0.08333333,0.00000000,0.00000000
"platform_bigtech","2026",-0.009566302,-0.010761698,0.00000000,0.04166667,0.00000000,0.04166667
"rel_competitor","2026",-0.023050110,-0.025346417,0.00000000,0.12500000,0.00000000,0.00000000
"rel_downstream_deployer","2026",-0.024170380,-0.024641934,1.00000000,1.00000000,0.00000000,0.00000000
"rel_downstream_integrator","2026",-0.028860330,-0.028625863,0.00000000,0.04166667,0.00000000,0.00000000
"rel_upstream_hardware","2026", 0.050636872, 0.050997331,1.00000000,0.58333333,1.00000000,1.00000000
"strategic_any","2026", 0.038265335, 0.039237857,0.00000000,0.29166667,1.00000000,1.00000000
"upstream_any","2026", 0.041075987, 0.041712800,0.00000000,0.33333333,1.00000000,1.00000000
