"family","sample","outcome","term","phase","fe_type","coef","se","p","n","n_events","phase_events","treated_events","treated_tickers","q_family","q_term"
"relation_phase_level","main","car_mm_spy_0_10","rel_upstream_hardware__p2022_2023","p2022_2023","event",0.00595406737671296,0.00845217682916971,0.482489274569708,12112,124,11,11,20,0.574880837785184,0.523424309980133
"relation_phase_level","main","car_mm_spy_0_10","rel_upstream_hardware__p2024","p2024","event",-0.00710515145837845,0.00808622433437117,0.381291575595686,12112,124,45,45,22,0.502407723137845,0.571937363393529
"relation_phase_level","main","car_mm_spy_0_10","rel_upstream_hardware__p2025","p2025","event",0.0153350220958119,0.0050638848985319,0.00299710937615185,12112,124,59,59,23,0.036242794870537,0.00399614583486913
"relation_phase_level","main","car_mm_spy_0_10","rel_upstream_hardware__p2026","p2026","event",0.0499863340808261,0.0159081380143911,0.0021013951438231,12112,124,9,9,23,0.0288191334010025,0.0126083708629386
"relation_phase_level","main","car_mm_spy_0_10","upstream_any__p2022_2023","p2022_2023","event",-0.00763029525270947,0.00988459004843691,0.441631482004915,12112,124,11,11,24,0.54978914821146,0.724216397524904
"relation_phase_level","main","car_mm_spy_0_10","upstream_any__p2024","p2024","event",-0.0170407755335385,0.00855871636477867,0.0486924524982111,12112,124,45,45,26,0.147060357395727,0.0849515231639222
"relation_phase_level","main","car_mm_spy_0_10","upstream_any__p2025","p2025","event",0.00140305175685386,0.00775036826598118,0.856641726240899,12112,124,59,59,29,0.892501147339355,0.893887018686155
"relation_phase_level","main","car_mm_spy_0_10","upstream_any__p2026","p2026","event",0.0267457380347784,0.0146451110794112,0.0702367867727113,12112,124,9,9,29,0.165610949864077,0.466645907082347
"relation_phase_level","main","car_mm_spy_0_10","strategic_any__p2022_2023","p2022_2023","event",-0.0304774144982862,0.0205469931940142,0.140551819662149,12112,124,11,11,27,0.263829114002693,0.640972488188995
"relation_phase_level","main","car_mm_spy_0_10","strategic_any__p2024","p2024","event",-0.0370886781648978,0.0192548440680752,0.0563867732199584,12112,124,45,45,29,0.149854822698538,0.0774052866732582
"relation_phase_level","main","car_mm_spy_0_10","strategic_any__p2025","p2025","event",-0.0198580824187142,0.0200240948460415,0.323286237113245,12112,124,59,59,32,0.452600731958543,0.531033457914835
"relation_phase_level","main","car_mm_spy_0_10","strategic_any__p2026","p2026","event",0.0042968424345902,0.0218170276087527,0.844192492724852,12112,124,9,9,32,0.880896514147672,0.991300286729348
"relation_phase_level","main","car_mm_spy_0_10","downstream_any__p2022_2023","p2022_2023","event",-0.0132360360789774,0.0048764917021731,0.00759702227890136,12112,124,11,11,40,0.0593627787374618,0.0140252718995102
"relation_phase_level","main","car_mm_spy_0_10","downstream_any__p2024","p2024","event",0.0121124939338071,0.00420758283885689,0.00471015173658618,12112,124,45,45,40,0.0472421189102375,0.0189208623680483
"relation_phase_level","main","car_mm_spy_0_10","downstream_any__p2025","p2025","event",-0.00686245176542198,0.00344835127775193,0.0488012793143558,12112,124,59,59,40,0.147060357395727,0.152376351749091
"relation_phase_level","main","car_mm_spy_0_10","downstream_any__p2026","p2026","event",-0.0372345598588983,0.016819195198926,0.0286850605703705,12112,124,9,9,40,0.116826428504782,0.344220726844446
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_deployer__p2022_2023","p2022_2023","event",-0.00509971332811571,0.00465307125336394,0.275225010676448,12112,124,11,11,24,0.413761089876002,0.287191315488467
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_deployer__p2024","p2024","event",0.0062559025326791,0.00303228868667704,0.0412077905509923,12112,124,45,45,24,0.138644254490566,0.131225621961001
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_deployer__p2025","p2025","event",-0.00634830454270012,0.00325579652661047,0.0534697360480768,12112,124,59,59,24,0.1486337791019,0.463147674887652
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_deployer__p2026","p2026","event",-0.0177514246024322,0.00434055841293761,7.747772493385e-05,12112,124,9,9,24,0.0037189307968248,0.00037189307968248
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_integrator__p2022_2023","p2022_2023","event",-0.0186163277585,0.0104774106120575,0.078072100367396,12112,124,11,11,16,0.178450515125477,0.234216301102188
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_integrator__p2024","p2024","event",0.0104802701875493,0.00575497510898053,0.0710252099908638,12112,124,45,45,16,0.165854605534043,0.176293526017203
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_integrator__p2025","p2025","event",-0.00602642998835473,0.00423993496240243,0.157745602069331,12112,124,59,59,16,0.282680118908241,0.180280688079235
"relation_phase_level","main","car_mm_spy_0_10","rel_downstream_integrator__p2026","p2026","event",-0.0449244945875111,0.0296959794061347,0.13289211899004,12112,124,9,9,16,0.257680505986625,0.883589702482704
"relation_phase_level","main","car_mm_spy_0_10","rel_competitor__p2022_2023","p2022_2023","event",-0.00390554745847342,0.0223835829068587,0.861773014093493,12112,124,11,10,7,0.894451457110552,0.861773014093493
"relation_phase_level","main","car_mm_spy_0_10","rel_competitor__p2024","p2024","event",0.0153291901820907,0.00584903160908811,0.0098782739405522,12112,124,45,45,7,0.0663988179368149,0.0824154683982445
"relation_phase_level","main","car_mm_spy_0_10","rel_competitor__p2025","p2025","event",0.0110311812394375,0.00525138176581574,0.0377160983577473,12112,124,59,59,7,0.134982821453668,0.0607432488151834
