"subsample","n","n_events","estimate","std.error","p.value","conf.low","conf.high"
"us_creator",1304,16,0.0024489634672974,0.0013104390663093,0.0813033620229219,-0.000344171285071328,0.00524209821966613
"closed_source",2899,36,0.00231685171499661,0.000617903042692735,0.000640025239612529,0.00106244184913608,0.00357126158085714
"real_downstream",62,20,0.00200440274107318,0.00163547892671915,0.235333855772402,-0.00141869399302789,0.00542749947517425
"business_downstream",1090,47,0.00184372113253372,0.000914207942147031,0.0495817262400041,3.51598928877497e-06,0.00368392627577867
"broad_downstream",1090,47,0.00184372113253372,0.000914207942147031,0.0495817262400041,3.51598928877497e-06,0.00368392627577867
"business_upstream",122,47,0.00165593721859756,0.00133354262812983,0.220620214078426,-0.00102834486853643,0.00434021930573155
"broad_upstream",122,47,0.00165593721859756,0.00133354262812983,0.220620214078426,-0.00102834486853643,0.00434021930573155
"all",3780,47,0.00152142459374605,0.000666637236649811,0.0271477709018823,0.000179553434017832,0.00286329575347426
"text_or_reason",3780,47,0.00152142459374605,0.000666637236649811,0.0271477709018823,0.000179553434017832,0.00286329575347426
"real_upstream",103,41,0.00150151687100215,0.0013815103795257,0.283602221789629,-0.00129061975850991,0.00429365350051422
"downstream_comp",1444,47,0.00149839958037712,0.000666795955945993,0.0294694379936955,0.00015620893527616,0.00284059022547809
"non_us_creator",2476,31,0.00136708636732369,0.00069836211766106,0.0596411227993067,-5.91593500996951e-05,0.00279333208474708
"positive_rel",179,47,0.00109827969402556,0.00113388980772313,0.337812797612085,-0.00118412210959993,0.00338068149765105
"investor",36,20,0.00100788128912289,0.00191103456645698,0.604019891749145,-0.00299196002727732,0.0050077226055231
"competitor",366,47,0.000515050855456507,0.000548227276440859,0.352389501206545,-0.000588473416498884,0.0016185751274119
"owner",21,21,0.000470882303779885,0.00285438361784878,0.870625078711964,-0.00548325758752716,0.00642502219508693
"cloud",28,20,0.000441004248784198,0.00210951439251002,0.836630434981696,-0.00397426011785981,0.00485626861542821
"open_source",881,11,-0.00209719602227408,0.000577850060041886,0.00461785918574876,-0.00338472619167601,-0.000809665852872154
