"subsample","n","n_events","estimate","std.error","p.value","conf.low","conf.high"
"us_creator",1304,16,0.0024489634672974,0.0013104390663093,0.0813033620229219,-0.000344171285071328,0.00524209821966613
"closed_source",2899,36,0.00231685171499661,0.000617903042692735,0.000640025239612529,0.00106244184913608,0.00357126158085714
"downstream_integrator",1373,47,0.00183670637882846,0.000980940103832597,0.0675166826396221,-0.000137823638979744,0.00381123639663666
"all",3780,47,0.00152142459374605,0.000666637236649811,0.0271477709018823,0.000179553434017832,0.00286329575347426
"text_or_reason",3780,47,0.00152142459374605,0.000666637236649811,0.0271477709018823,0.000179553434017832,0.00286329575347426
"broad_downstream",2490,47,0.00138682826241751,0.000729171800985545,0.0634541095279097,-8.09184466424473e-05,0.00285457497147747
"non_us_creator",2476,31,0.00136708636732369,0.00069836211766106,0.0596411227993067,-5.91593500996951e-05,0.00279333208474708
"downstream_comp",2801,47,0.00127905760639414,0.00062167787841137,0.0453392644578573,2.76849409943229e-05,0.00253043027179395
"is_investor",38,22,0.0010933707808393,0.00135891017424144,0.430069470011515,-0.0017326376312545,0.0039193791929331
"upstream_hardware",907,47,0.00106689758084454,0.000755624017195963,0.164696188415643,-0.000454094677807034,0.00258788983949611
"broad_upstream",1142,47,0.000874021985835638,0.00064689487691859,0.183270563927673,-0.000428109864877318,0.00217615383654859
"positive_rel",1152,47,0.000860709791432071,0.000642829409043041,0.187169715138703,-0.000433238696886643,0.00215465827975079
"downstream_enabler",372,47,0.000756946332231187,0.000690229620462004,0.278498659762201,-0.000632413833040609,0.00214630649750298
"downstream_deployer",745,47,0.000736443998634084,0.000540691567768338,0.179817970639793,-0.00035191167849965,0.00182479967576782
"is_owner",21,21,0.000470882303779885,0.00285438361784878,0.870625078711964,-0.00548325758752716,0.00642502219508693
"competitor",402,47,0.000420596697159901,0.000466689074851738,0.372157766649535,-0.000518799687672943,0.00135999308199274
"upstream_cloud",235,47,0.000241921114618552,0.000430180750214686,0.576593827777101,-0.000623987824228448,0.00110783005346555
"open_source",881,11,-0.00209719602227408,0.000577850060041886,0.00461785918574876,-0.00338472619167601,-0.000809665852872154
