family,spec_label,term,x_var,y_var,controls,estimate,std.error,p.value,stars,n,n_events,treated_n,treated_events,mean_y_treated,mean_y_untreated
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_20,firm_year_intel,-0.03801367751888377,0.007820590606830935,1.400644333140999e-5,***,3780,60,NA,NA,NA,NA
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_15,firm_year_intel,-0.03117334433473588,0.006553671749237529,1.979658933943978e-5,***,3780,60,NA,NA,NA,NA
joint_relationship_model,downstream_three_way,downstream_enabler,NA,car_15,firm_year_intel,-0.035630132540069664,0.0075054483130876995,2.0422005694281864e-5,***,3780,60,NA,NA,NA,NA
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_10,firm_year_intel,-0.020233538771429707,0.004795113320305762,1.1380730382332955e-4,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_any,downstream_any,car_15,firm_year_intel,-0.0281827475816408,0.00704720422422534,2.2849875548143855e-4,***,3780,60,3330,60,-0.00431143854846846,0.008028038816018565
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_20,firm_year,-0.019015616763014366,0.005069484620130385,4.03839450563957e-4,***,4829,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_20,firm_year,-0.019015616763014366,0.005069484620130385,4.03839450563957e-4,***,4829,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_20,firm,-0.019150842693518737,0.005109367899704403,4.0750930466553625e-4,***,4829,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_20,firm,-0.019150842693518737,0.005109367899704403,4.0750930466553625e-4,***,4829,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,downstream_any,downstream_any,car_20,firm_year_intel,-0.03304765624928023,0.008711718076246905,4.31999976572806e-4,***,3780,60,3330,60,-0.004866762464864856,0.008997935324143941
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_20,firm_year_intel,-0.020202667042562496,0.005395031462979562,5.014329735655962e-4,***,3780,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_20,firm_year_intel,-0.020202667042562496,0.005395031462979562,5.014329735655962e-4,***,3780,60,1090,60,-0.013454031315596334,0.0035230930329296006
joint_relationship_model,downstream_three_way,downstream_enabler,NA,car_10,firm_year_intel,-0.02428024744286334,0.006777620147590432,8.181786066582937e-4,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_15,firm_year,-0.014291175785333614,0.004306722091504974,0.0015551206109905556,***,4829,60,1090,60,-0.010631211951284405,0.002791632990285129
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_15,firm_year,-0.014291175785333614,0.004306722091504974,0.0015551206109905556,***,4829,60,1090,60,-0.010631211951284405,0.002791632990285129
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_15,firm,-0.014338800550629584,0.004345080633696159,0.001643267817543822,***,4829,60,1090,60,-0.010631211951284405,0.002791632990285129
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_15,firm,-0.014338800550629584,0.004345080633696159,0.001643267817543822,***,4829,60,1090,60,-0.010631211951284405,0.002791632990285129
joint_relationship_model,downstream_three_way,downstream_enabler,NA,car_20,firm_year_intel,-0.03150354719943933,0.009422266837184851,0.0016519036643928213,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_any,downstream_any,car_15,firm,-0.021617470648045936,0.00671945736180927,0.0021037549300721324,***,4829,60,3330,60,-0.00431143854846846,0.008028038816018565
main_effect_single,single_flag,downstream_any,downstream_any,car_10,firm_year_intel,-0.01861850903478788,0.005719144358617017,0.002127611868071775,***,3780,60,3330,60,-0.003268814669909909,0.0029583773791642333
main_effect_single,single_flag,downstream_any,downstream_any,car_15,firm_year,-0.021460850431882547,0.006683429723066297,0.0021420103011334807,***,4829,60,3330,60,-0.00431143854846846,0.008028038816018565
joint_relationship_model,joint_all_eight,downstream_enabler,NA,car_15,firm_year_intel,-0.041966833231882814,0.01290976681758989,0.0021562813840303088,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,strategic_any,strategic_any,car_20,firm_year_intel,0.02802586865340145,0.008757604361864199,0.0024898417621092538,***,3780,60,1503,60,0.014371049774451094,-0.006282412466338032
main_effect_single,single_flag,upstream_any,upstream_any,car_20,firm_year_intel,0.02870666730916057,0.0090276396747382,0.0026369670975721388,***,3780,60,1474,60,0.014833073424694716,-0.006305344138725921
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,NA,car_20,firm_year_intel,0.03149025074751171,0.009929735373425907,0.002701367193141329,***,3780,60,NA,NA,NA,NA
joint_relationship_model,joint_bundles,downstream_any,NA,car_20,firm_year_intel,-0.0387417776466269,0.012245046712551722,0.0027585302793300026,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_20,firm_year_intel,0.030522800297261083,0.009668845848652598,0.00281381901924943,***,3780,60,1200,60,0.016729212896666665,-0.0053926633585517705
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_15,firm_year_intel,-0.015771404267049538,0.005011245183610697,0.002890879240099837,***,3780,60,1090,60,-0.010631211951284405,0.002791632990285129
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_15,firm_year_intel,-0.015771404267049538,0.005011245183610697,0.002890879240099837,***,3780,60,1090,60,-0.010631211951284405,0.002791632990285129
main_effect_single,single_flag,downstream_any,downstream_any,car_20,firm,-0.02528847640644531,0.008240960116961328,0.0032460917585981765,***,4829,60,3330,60,-0.004866762464864856,0.008997935324143941
main_effect_single,single_flag,downstream_any,downstream_any,car_20,firm_year,-0.0249871043340417,0.008201435118463865,0.0034575828932220205,***,4829,60,3330,60,-0.004866762464864856,0.008997935324143941
joint_relationship_model,joint_all_eight,downstream_enabler,NA,car_10,firm_year_intel,-0.0358777168261204,0.011638777887175676,0.003462399344538818,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_15,firm_year_intel,-0.019952680093700086,0.006478892925062459,0.00349096041538771,***,3780,60,480,60,-0.009394923084374998,8.713718771266198e-4
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_20,none,-0.022451966639740122,0.007383419113115919,0.003515673113442179,***,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_15,firm,0.016397519194724215,0.0054641787790384476,0.00394032646702407,***,4829,60,274,60,0.009236242270072994,-6.393617636325489e-4
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_15,firm_year,0.016113934244771547,0.0054019093664904125,0.004145741633388804,***,4829,60,274,60,0.009236242270072994,-6.393617636325489e-4
main_effect_single,single_flag,upstream_any,upstream_any,car_15,firm_year_intel,0.023021229155017125,0.007725261572058474,0.004592821702339892,***,3780,60,1474,60,0.012121854355495256,-0.005138975358032991
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_15,firm,-0.01745142539798218,0.005938055329327531,0.004694854909119985,***,4829,60,480,60,-0.009394923084374998,8.713718771266198e-4
main_effect_single,single_flag,strategic_any,strategic_any,car_15,firm_year_intel,0.022432175461162298,0.007622305039078189,0.005079510918387604,***,3780,60,1503,60,0.011640385530272789,-0.005076134912225349
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_15,firm_year,-0.01726401079389292,0.0059353742519895865,0.005109793288372299,***,4829,60,480,60,-0.009394923084374998,8.713718771266198e-4
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,NA,car_15,firm_year_intel,0.019966724678777036,0.00684649238570788,0.00545870744508817,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_20,none,0.022121876255218956,0.007702833228038073,0.005659594624547724,***,5053,60,1200,60,0.016729212896666665,-0.0053926633585517705
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_15,none,-0.018659250767302876,0.006544258041595328,0.0059924539620514845,***,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,strategic_any,strategic_any,car_20,firm_year,0.02170198657633163,0.00763421464446528,0.006134705439016576,***,4829,60,1503,60,0.014371049774451094,-0.006282412466338032
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,NA,car_20,none,0.023034557035392984,0.008104405125461272,0.006143157196178815,***,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_any,upstream_any,car_20,firm_year,0.02221992787958668,0.00782199919895445,0.006169083322181144,***,4829,60,1474,60,0.014833073424694716,-0.006305344138725921
main_effect_single,single_flag,strategic_any,strategic_any,car_20,firm,0.021768869372014808,0.0076866195674180696,0.006317564029702564,***,4829,60,1503,60,0.014371049774451094,-0.006282412466338032
main_effect_single,single_flag,upstream_any,upstream_any,car_20,firm,0.02223190673170461,0.007872724494210896,0.006460160261783881,***,4829,60,1474,60,0.014833073424694716,-0.006305344138725921
joint_relationship_model,downstream_three_way,downstream_integrator,NA,car_20,firm_year_intel,-0.030621013594152254,0.010945735986667204,0.007494958616512992,***,3780,60,NA,NA,NA,NA
joint_relationship_model,joint_all_eight,downstream_enabler,NA,car_20,firm_year_intel,-0.03972843626675689,0.014243254661798958,0.0076596920521527015,***,3780,60,NA,NA,NA,NA
joint_relationship_model,joint_bundles,downstream_any,NA,car_15,firm_year_intel,-0.032083922851174944,0.011510604804515209,0.007699018658983852,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_10,firm_year,-0.009851033769000811,0.0035710818213252195,0.007718659668882963,***,4829,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_10,firm_year,-0.009851033769000811,0.0035710818213252195,0.007718659668882963,***,4829,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_10,firm,-0.00989348741160297,0.003589064421856408,0.007760355585804021,***,4829,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_10,firm,-0.00989348741160297,0.003589064421856408,0.007760355585804021,***,4829,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,upstream_any,upstream_any,car_15,firm_year,0.018034668127603525,0.00665524879492851,0.008799214824462118,***,4829,60,1474,60,0.012121854355495256,-0.005138975358032991
main_effect_single,single_flag,upstream_any,upstream_any,car_15,firm,0.01812296063563563,0.00669027514128765,0.008822545076715382,***,4829,60,1474,60,0.012121854355495256,-0.005138975358032991
main_effect_single,single_flag,upstream_any,upstream_any,car_20,none,0.02113841756342077,0.007807656028152471,0.008856941460856462,***,5053,60,1474,60,0.014833073424694716,-0.006305344138725921
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_20,firm_year,0.02276375647467883,0.00842259450072066,0.008968752478458042,***,4829,60,1200,60,0.016729212896666665,-0.0053926633585517705
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,NA,car_15,firm_year_intel,0.023751951233559256,0.008736170462505502,0.009210014803932465,***,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,strategic_any,strategic_any,car_20,none,0.020653462240789126,0.0076817708453434325,0.009311579464057782,***,5053,60,1503,60,0.014371049774451094,-0.006282412466338032
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_20,firm,0.02270752260976122,0.008452688154665473,0.009366431495643325,***,4829,60,1200,60,0.016729212896666665,-0.0053926633585517705
main_effect_single,single_flag,strategic_any,strategic_any,car_15,firm,0.017648455014373607,0.006601103866624668,0.009692130562648496,***,4829,60,1503,60,0.011640385530272789,-0.005076134912225349
main_effect_single,single_flag,strategic_any,strategic_any,car_15,firm_year,0.017528473480966596,0.0065678094659374865,0.009814067187572174,***,4829,60,1503,60,0.011640385530272789,-0.005076134912225349
joint_relationship_model,joint_all_eight,downstream_deployer,NA,car_20,firm_year_intel,-0.049911829312073004,0.018925248462271504,0.01136054336019989,**,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_15,firm_year_intel,0.022620391172724262,0.008578465860420189,0.011373127918241799,**,3780,60,1200,60,0.012780735781666663,-0.004116704496340516
joint_relationship_model,joint_all_eight,downstream_integrator,NA,car_20,firm_year_intel,-0.04159639546515392,0.015843682356590578,0.011710255985584705,**,3780,60,NA,NA,NA,NA
joint_relationship_model,joint_bundles,downstream_any,NA,car_10,firm_year_intel,-0.027169684310206433,0.01037351452846087,0.011899076257353139,**,3780,60,NA,NA,NA,NA
joint_relationship_model,downstream_three_way,downstream_integrator,NA,car_15,firm_year_intel,-0.024076888736106722,0.00919854285141166,0.011949777630388472,**,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_any,upstream_any,car_15,none,0.017260829713528356,0.006679135447898404,0.012252492375621133,**,5053,60,1474,60,0.012121854355495256,-0.005138975358032991
joint_relationship_model,upstream_hardware_vs_cloud,upstream_hardware,NA,car_15,none,0.01791971113969995,0.007013443659847696,0.013216207584296489,**,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_15,none,0.01689744027800757,0.006697124571889672,0.014347889623537193,**,5053,60,1200,60,0.012780735781666663,-0.004116704496340516
main_effect_single,single_flag,strategic_any,strategic_any,car_15,none,0.01671652044249813,0.006643570505884734,0.014603173251954557,**,5053,60,1503,60,0.011640385530272789,-0.005076134912225349
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_10,firm_year_intel,-0.014016524478245118,0.005699131238780131,0.017736507454415393,**,3780,60,480,60,-0.00725537076875,-5.04109043844305e-4
main_effect_single,single_flag,upstream_cloud,upstream_cloud,car_15,firm_year_intel,0.01519918894545646,0.006275601219814527,0.019436695076235105,**,3780,60,274,60,0.009236242270072994,-6.393617636325489e-4
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_10,firm_year_intel,-0.00997314439306413,0.004199631227314243,0.02178645349002464,**,3780,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_10,firm_year_intel,-0.00997314439306413,0.004199631227314243,0.02178645349002464,**,3780,60,1090,60,-0.009594623916513766,0.0011784686960635996
main_effect_single,single_flag,appropriable_any,appropriable_any,car_20,none,0.018299518622629,0.007881485153075893,0.023713480243073393,**,5053,60,3618,60,0.005057774149806514,-0.0132417444728223
joint_relationship_model,downstream_three_way,downstream_deployer,NA,car_10,none,-0.012553001295677865,0.005472316707054105,0.02537336509375114,**,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_any,downstream_any,car_10,firm,-0.012359874543957382,0.0054011002826453505,0.025712820066289877,**,4829,60,3330,60,-0.003268814669909909,0.0029583773791642333
main_effect_single,single_flag,downstream_any,downstream_any,car_10,firm_year,-0.012218553523075467,0.0053867015021736315,0.02698657749275314,**,4829,60,3330,60,-0.003268814669909909,0.0029583773791642333
main_effect_single,single_flag,downstream_deployer,downstream_deployer,car_20,none,-0.01697712434852634,0.007491850182883544,0.027129341793029293,**,5053,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,non_ai_deployer_only,non_ai_deployer_only,car_20,none,-0.01697712434852634,0.007491850182883544,0.027129341793029293,**,5053,60,1090,60,-0.013454031315596334,0.0035230930329296006
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_15,firm_year,0.01653748648752783,0.007349368712249434,0.028179274270581874,**,4829,60,1200,60,0.012780735781666663,-0.004116704496340516
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_15,firm,0.016562284438887506,0.007371842042593541,0.028415066643641178,**,4829,60,1200,60,0.012780735781666663,-0.004116704496340516
joint_relationship_model,joint_bundles,competitor,NA,car_20,firm_year_intel,-0.019284953295496617,0.00859722733579786,0.029745385643867535,**,3780,60,NA,NA,NA,NA
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,NA,car_10,firm_year_intel,0.014256681285646278,0.006548807411745189,0.03464972471649214,**,3780,60,NA,NA,NA,NA
joint_relationship_model,joint_all_eight,downstream_deployer,NA,car_15,firm_year_intel,-0.04023504746716836,0.0185785168868552,0.035556147361782135,**,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,strategic_any,strategic_any,car_10,firm_year_intel,0.012622545005963532,0.005876961111792204,0.03703090544945709,**,3780,60,1503,60,0.005089033511177641,-0.0037849819700845186
main_effect_single,single_flag,upstream_any,upstream_any,car_10,firm_year_intel,0.012720329108880928,0.005965988928663238,0.038366916808474344,**,3780,60,1474,60,0.005132418767503392,-0.003730945484716401
joint_relationship_model,joint_all_eight,downstream_deployer,NA,car_10,firm_year_intel,-0.0357405188738209,0.016914495514022968,0.04005616489446095,**,3780,60,NA,NA,NA,NA
main_effect_single,single_flag,downstream_enabler,downstream_enabler,car_10,firm,-0.01108156984658354,0.005286922001813411,0.04037784724645175,**,4829,60,480,60,-0.00725537076875,-5.04109043844305e-4
joint_relationship_model,upstream_hardware_vs_cloud,upstream_cloud,NA,car_20,firm_year_intel,0.017070960215986253,0.008142429491024155,0.04156214991760296,**,3780,60,NA,NA,NA,NA
joint_relationship_model,downstream_three_way,downstream_enabler,NA,car_15,none,-0.017422961900393746,0.008387939765900163,0.042150889154720615,**,5053,60,NA,NA,NA,NA
main_effect_single,single_flag,appropriable_any,appropriable_any,car_20,firm,0.008600642889961164,0.004152797243107663,0.042737336093980866,**,4829,60,3618,60,0.005057774149806514,-0.0132417444728223
