family,spec_label,term,x_var,y_var,outcome_model,controls,estimate,std.error,statistic,p.value,conf.low,conf.high,stars,significant_05,significant_10,sign,n,n_events,treated_n,untreated_n,treated_events,untreated_events,mean_y_treated,mean_y_untreated,r_squared,df,outcome,subsample_flag,is_long_window,is_primary_window
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_1,market,none,6.205754436275821e-4,0.0026726999541092198,0.23219046443034522,0.8171935969835971,-0.00472748481156169,0.005968635698816855,,FALSE,FALSE,positive,5030,60,1187,3843,60,60,0.002424432209435552,0.0018038567658079604,1.985005129812034e-5,59,car_1,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_1,market,firm,-6.520870423353541e-5,0.0030707535354103977,-0.021235408013564477,0.9831295240092476,-0.006209772335837947,0.006079354927370876,,FALSE,FALSE,negative,4809,60,1187,3843,60,60,0.002424432209435552,0.0018038567658079604,0.009264955498830774,59,car_1,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_1,market,firm_year,-7.506889270676511e-5,0.0030608506534917012,-0.02452550000148795,0.9805162066454736,-0.006199816903362111,0.00604967911794858,,FALSE,FALSE,negative,4809,60,1187,3843,60,60,0.002424432209435552,0.0018038567658079604,0.009728011254110491,59,car_1,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_1,market,firm_year_intel,-6.940723850434795e-4,0.00364995909941015,-0.19015894867305355,0.8500212789900571,-0.008041058992482093,0.006652914222395135,,FALSE,FALSE,negative,3763,60,1187,3843,60,60,0.002424432209435552,0.0018038567658079604,0.015037641702619342,46,car_1,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_2,market,none,0.002184063913521745,0.0032574006480922757,0.6704928713024174,0.5051598487993447,-0.004333979727892624,0.008702107554936115,,FALSE,FALSE,positive,5036,60,1187,3849,60,60,0.0022734663345661352,8.940242104442354e-5,2.0015633128411814e-4,59,car_2,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_2,market,firm,0.001575481246618249,0.0035497509956952454,0.44382866531450305,0.6587899703353204,-0.0055275540891321605,0.00867851658236866,,FALSE,FALSE,positive,4815,60,1187,3849,60,60,0.0022734663345661352,8.940242104442354e-5,0.01236576035952075,59,car_2,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_2,market,firm_year,0.0015632247340053422,0.003535804777903914,0.4421128518673615,0.6600239566550516,-0.005511904284402801,0.008638353752413485,,FALSE,FALSE,positive,4815,60,1187,3849,60,60,0.0022734663345661352,8.940242104442354e-5,0.013379086644470073,59,car_2,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_2,market,firm_year_intel,7.767446796606984e-4,0.004185984071174444,0.18555844132554722,0.8536068505327568,-0.007649204234353174,0.009202693593674571,,FALSE,FALSE,positive,3768,60,1187,3849,60,60,0.0022734663345661352,8.940242104442354e-5,0.02154501998841274,46,car_2,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_3,market,none,0.0028090537900860996,0.0032540794872209103,0.8632406802346192,0.39150080217556094,-0.0037023442237747797,0.009320451803946979,,FALSE,FALSE,positive,5045,60,1194,3851,60,60,0.0021464517519765506,-6.626020381095839e-4,2.7551242042467283e-4,59,car_3,NA,FALSE,FALSE
main_effect_single,single_flag,upstream_hardware,upstream_hardware,car_3,market,firm,0.002069425560683821,0.0036194097922239306,0.5717577393777983,0.5696580991658406,-0.005172996704963679,0.009311847826331321,,FALSE,FALSE,positive,4823,60,1194,3851,60,60,0.0021464517519765506,-6.626020381095839e-4,0.016350817778685522,59,car_3,NA,FALSE,FALSE
