family,spec_label,term,x_var,outcome_model,n_specs,n_sig_05,pct_sig_05,n_sig_10,pct_sig_10,pct_positive,median_est,mean_est,min_p,primary_car20_est
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,is_owner,market,12,5,41.7,7,58.3,41.7,-0.0011804030113944765,-1.8790653642703452e-4,1.804682403131323e-4,4.708823037798851e-4
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,is_owner,ff3,12,6,50,7,58.3,41.7,-0.0010775207422275002,-2.4270126881988467e-5,2.6197078474782406e-4,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,is_investor,market,12,2,16.7,3,25,33.3,-8.730055553862785e-4,-8.058725057632427e-4,0.001994569110048424,0.0010933707808392977
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,is_investor,ff3,12,2,16.7,3,25,33.3,-8.067247005481418e-4,-8.674134287236705e-4,0.008368288988422562,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,upstream_any,ff3,12,2,16.7,3,25,58.3,9.866980443411959e-5,-2.3698767050215128e-4,0.011773538414077559,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,strategic_any,ff3,12,2,16.7,3,25,58.3,9.810814556204442e-5,-2.358897450738113e-4,0.012381626524439544,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,upstream_hardware,ff3,12,2,16.7,3,25,66.7,2.0829141592801126e-4,-1.8756629351281706e-4,0.012638070308637311,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,competitor,ff3,12,2,16.7,3,25,50,-1.3674511509726426e-4,-3.8510135883599325e-4,0.018522464552728334,NA
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,appropriable_any,market,12,1,8.3,3,25,83.3,1.4610716224656585e-4,2.7145746870259726e-4,0.022055150707627195,0.0013213793917350553
capability_slope_in_relation_subsample,subsample_flag_eq_1,aa_intelligence_index,any_relationship,market,12,1,8.3,2,16.7,83.3,1.1811857855103798e-4,2.389991893517063e-4,0.027175231964463073,0.0011645182916553637
