"relationship","outcome","spec","coef","se","p_value","stars","n","n_events","r2"
"competitor","car_1","base",9e-05,0.000133,0.5011,"",401,47,0.0436
"competitor","car_1","base+VIX+news",0.000144,0.000128,0.2662,"",401,47,0.0593
"competitor","car_5","base",0.000156,0.000285,0.5863,"",402,47,0.0709
"competitor","car_5","base+VIX+news",0.000249,0.000274,0.3677,"",402,47,0.1014
"competitor","car_20","base",0.000421,0.000467,0.3722,"",402,47,0.1037
"competitor","car_20","base+VIX+news",0.000588,0.00044,0.1876,"",402,47,0.1342
"downstream","car_1","base",0.000202,0.000162,0.2178,"",1912,47,0.0209
"downstream","car_1","base+VIX+news",0.000125,0.000161,0.443,"",1912,47,0.0311
"downstream","car_5","base",-0.000118,0.000357,0.7416,"",1917,47,0.0178
"downstream","car_5","base+VIX+news",-0.000187,0.00037,0.6153,"",1917,47,0.0212
"downstream","car_20","base",0.001448,0.000772,0.0672,"*",1917,47,0.088
"downstream","car_20","base+VIX+news",0.001266,0.000793,0.117,"",1917,47,0.0975
"downstream_integrator","car_1","base",0.000182,0.000202,0.3745,"",1356,47,0.0235
"downstream_integrator","car_1","base+VIX+news",0.000105,0.000203,0.607,"",1356,47,0.0323
"downstream_integrator","car_5","base",-0.000214,0.00042,0.6124,"",1361,47,0.0241
"downstream_integrator","car_5","base+VIX+news",-0.000266,0.00044,0.548,"",1361,47,0.0255
"downstream_integrator","car_20","base",0.001826,0.000981,0.06904,"*",1361,47,0.1089
"downstream_integrator","car_20","base+VIX+news",0.001622,0.000995,0.1097,"",1361,47,0.1247
"downstream_deployer","car_1","base",0.000159,0.000263,0.5495,"",184,47,0.0163
"downstream_deployer","car_1","base+VIX+news",9.4e-05,0.000265,0.7241,"",184,47,0.0389
"downstream_deployer","car_5","base",0.000398,0.00036,0.2753,"",184,47,0.0164
"downstream_deployer","car_5","base+VIX+news",3e-04,0.00038,0.4341,"",184,47,0.0359
"downstream_deployer","car_20","base",-0.000434,0.000822,0.5997,"",184,47,0.1648
"downstream_deployer","car_20","base+VIX+news",-0.000592,0.000847,0.4884,"",184,47,0.1743
"downstream_enabler","car_1","base",0.000257,0.000163,0.1211,"",372,47,0.0454
"downstream_enabler","car_1","base+VIX+news",0.000169,0.000159,0.295,"",372,47,0.0694
"downstream_enabler","car_5","base",-7.9e-05,0.000339,0.8179,"",372,47,0.087
"downstream_enabler","car_5","base+VIX+news",-0.000218,0.000326,0.507,"",372,47,0.1178
"downstream_enabler","car_20","base",0.000757,0.00069,0.2785,"",372,47,0.1135
"downstream_enabler","car_20","base+VIX+news",0.000649,0.000754,0.3941,"",372,47,0.1183
"upstream","car_1","base",0.000154,0.000246,0.5348,"",404,47,0.0156
"upstream","car_1","base+VIX+news",0.000152,0.000257,0.5573,"",404,47,0.0158
"upstream","car_5","base",0.000781,0.000249,0.002965,"***",404,47,0.0563
"upstream","car_5","base+VIX+news",0.000839,0.000273,0.003569,"***",404,47,0.0599
"upstream","car_20","base",0.000923,0.00058,0.1182,"",404,47,0.0575
"upstream","car_20","base+VIX+news",0.000918,0.000594,0.1294,"",404,47,0.0587
"upstream_hardware","car_1","base",0.000448,0.000415,0.2865,"",169,47,0.0266
"upstream_hardware","car_1","base+VIX+news",0.000345,0.000425,0.4216,"",169,47,0.0505
"upstream_hardware","car_5","base",0.001391,0.000474,0.005193,"***",169,47,0.1436
"upstream_hardware","car_5","base+VIX+news",0.001334,0.000485,0.008458,"***",169,47,0.1472
"upstream_hardware","car_20","base",0.001775,0.001096,0.1121,"",169,47,0.1485
"upstream_hardware","car_20","base+VIX+news",0.001655,0.001077,0.1312,"",169,47,0.1559
"upstream_cloud","car_1","base",-9.8e-05,0.000182,0.593,"",235,47,0.0436
"upstream_cloud","car_1","base+VIX+news",-2.2e-05,0.000187,0.9088,"",235,47,0.0678
"upstream_cloud","car_5","base",0.000255,0.000298,0.3966,"",235,47,0.0467
"upstream_cloud","car_5","base+VIX+news",0.000395,0.000326,0.2317,"",235,47,0.0731
"upstream_cloud","car_20","base",0.000242,0.00043,0.5766,"",235,47,0.1861
"upstream_cloud","car_20","base+VIX+news",0.000365,0.000467,0.4389,"",235,47,0.1956
"owner_invest","car_1","base",4.8e-05,0.000473,0.9193,"",59,43,0.1814
"owner_invest","car_1","base+VIX+news",4e-05,0.00045,0.9304,"",59,43,0.2142
"owner_invest","car_5","base",-8.8e-05,0.000677,0.8972,"",59,43,0.2446
"owner_invest","car_5","base+VIX+news",-9.9e-05,0.000661,0.8819,"",59,43,0.2713
"owner_invest","car_20","base",0.00118,0.001224,0.3405,"",59,43,0.3677
"owner_invest","car_20","base+VIX+news",0.001271,0.001318,0.3403,"",59,43,0.4279
