"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct"
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence",0.091961885252558,0.0467634842875188,0.0632693423661945,-0.00558503363799785,0.189508804143114,21,21,0.683076147885317,9.1961885252558,4.67634842875188
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",0.00525845884747135,0.0861100559041109,0.951912199514052,-0.174363970210524,0.184880887905467,21,21,0.683076147885317,0.525845884747135,8.61100559041109
"flag","owner","发布方或所有者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",-0.138860660265848,0.033780283636824,0.000543061323473171,-0.209325097170536,-0.0683962233611599,21,21,0.683076147885317,-13.8860660265848,3.3780283636824
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_intelligence",-0.189466511128738,0.0313611240727405,6.6145572308461e-06,-0.254884669609644,-0.124048352647831,21,21,0.906968585779738,-18.9466511128738,3.13611240727405
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_price",-0.150678027391129,0.0785024134045501,0.0693142491217087,-0.314431192275174,0.0130751374929163,21,21,0.906968585779738,-15.0678027391129,7.85024134045501
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_speed",-0.0105519662467327,0.0319714983488249,0.744799562395889,-0.0772433431567024,0.0561394106632369,21,21,0.906968585779738,-1.05519662467327,3.19714983488249
"flag","owner","发布方或所有者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.166609827923873,0.101242373192177,0.115460644638256,-0.377797717717205,0.0445780618694585,21,21,0.906968585779738,-16.6609827923873,10.1242373192177
"flag","investor","主要投资者","controls_open_interaction","mkt_car_20","z_intelligence",0.00209115160748115,0.026234258701395,0.937300919946472,-0.052817782904109,0.0570000861190713,36,20,0.587311246577171,0.209115160748115,2.6234258701395
"flag","investor","主要投资者","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.131772020304126,0.0235929201496249,2.18864111856132e-05,-0.181152569691026,-0.0823914709172268,36,20,0.587311246577171,-13.1772020304126,2.35929201496249
"flag","investor","主要投资者","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",NA,NA,NA,NA,NA,36,20,0.587311246577171,NA,NA
"flag","investor","主要投资者","controls_cost_speed","mkt_car_20","z_intelligence",-0.0597793939921336,0.0336766826896979,0.0919042980018349,-0.130265500934347,0.01070671295008,36,20,0.741517539566983,-5.97793939921336,3.36766826896979
"flag","investor","主要投资者","controls_cost_speed","mkt_car_20","z_low_price",0.0110078855456654,0.0115031825606481,0.35061508948877,-0.0130685522560213,0.0350843233473521,36,20,0.741517539566983,1.10078855456654,1.15031825606481
"flag","investor","主要投资者","controls_cost_speed","mkt_car_20","z_speed",-0.0146586989405457,0.0145782219075745,0.327281237880474,-0.0451712680636012,0.0158538701825099,36,20,0.741517539566983,-1.46586989405457,1.45782219075745
"flag","investor","主要投资者","controls_cost_speed","mkt_car_20","z_low_ttft",-0.080068616958859,0.0133179525610844,8.75196129844255e-06,-0.107943412024677,-0.0521938218930406,36,20,0.741517539566983,-8.0068616958859,1.33179525610844
"flag","investor","主要投资者","controls_sentiment","mkt_car_20","z_intelligence",0.0303311301133812,0.0277813460357174,0.292155986446334,-0.0288834072694876,0.0895456674962499,26,16,0.710621834053629,3.03311301133812,2.77813460357174
"flag","investor","主要投资者","controls_sentiment","mkt_car_20","z_sent_w5",-0.0627233275540065,0.0257811292943496,0.0279634937896438,-0.117674503872466,-0.00777215123554732,26,16,0.710621834053629,-6.27233275540065,2.57811292943496
"flag","investor","主要投资者","controls_sentiment","mkt_car_20","z_intelligence:z_sent_w5",0.0512319461674202,0.0302274705579513,0.110751319721904,-0.0131963822167466,0.115660274551587,26,16,0.710621834053629,5.12319461674202,3.02274705579513
"flag","cloud","云服务方","controls_open_interaction","mkt_car_20","z_intelligence",-0.00653704008185177,0.0303750190692247,0.831896022198973,-0.0701126856468502,0.0570386054831467,28,20,0.607674583772847,-0.653704008185177,3.03750190692247
"flag","cloud","云服务方","controls_open_interaction","mkt_car_20","is_open_weight_or_open_source",-0.143596514858674,0.0313285409777617,0.000202871549299975,-0.209167904714646,-0.0780251250027025,28,20,0.607674583772847,-14.3596514858674,3.13285409777617
"flag","cloud","云服务方","controls_open_interaction","mkt_car_20","z_intelligence:is_open_weight_or_open_source",NA,NA,NA,NA,NA,28,20,0.607674583772847,NA,NA
"flag","cloud","云服务方","controls_cost_speed","mkt_car_20","z_intelligence",-0.0692390518888335,0.0373600466724902,0.0794360323911053,-0.147434528248173,0.00895642447050567,28,20,0.750521008240991,-6.92390518888335,3.73600466724902
"flag","cloud","云服务方","controls_cost_speed","mkt_car_20","z_low_price",0.00769977961379839,0.0114257181947899,0.508491826122171,-0.0162145234067875,0.0316140826343843,28,20,0.750521008240991,0.769977961379839,1.14257181947899
