"set_type","role","role_label","n","events","companies","n_intelligence","events_intelligence","mean_car20","open_share"
"flag","owner","发布方或所有者",29,29,4,21,21,0.0127603964827586,0.275862068965517
"flag","investor","主要投资者",37,21,4,36,20,-0.00159049370270271,0.027027027027027
"flag","cloud","云服务方",29,21,3,28,20,0.00425203034482758,0.0344827586206897
"flag","business_upstream","商业上游",156,60,5,123,47,0.0227625571474359,0.185897435897436
"flag","real_upstream","真实上游",126,49,5,104,41,0.0288978992539683,0.0952380952380952
"flag","broad_upstream","上游合并",156,60,5,123,47,0.0227625571474359,0.185897435897436
"flag","business_downstream","商业下游",1440,60,24,1128,47,-0.000674435816108345,0.216666666666667
"flag","real_downstream","真实下游",81,21,5,76,20,-0.00122314694029851,0.0617283950617284
"flag","broad_downstream","下游合并",1440,60,24,1128,47,-0.000674435816108345,0.216666666666667
"flag","competitor","直接竞争者",462,60,9,366,47,-0.00185061318506494,0.207792207792208
"flag","positive_exposure","正向商业暴露",252,56,14,217,46,0.0154320205336135,0.0992063492063492
"flag","any_relation","任一关系",2073,60,37,1625,47,0.000835515750245588,0.214182344428365
"exclusive","owner","互斥 发布方或所有者",29,29,4,21,21,0.0127603964827586,0.275862068965517
"exclusive","investor","互斥 主要投资者",37,21,4,36,20,-0.00159049370270271,0.027027027027027
"exclusive","cloud","互斥 云服务方",0,0,0,0,0,NA,NA
"exclusive","real_upstream","互斥 真实上游",126,49,5,104,41,0.0288978992539683,0.0952380952380952
"exclusive","business_upstream","互斥 商业上游",30,18,2,19,12,-0.0030058797,0.566666666666667
"exclusive","competitor","互斥 直接竞争者",433,60,8,338,47,-0.00225933526905311,0.219399538106236
"exclusive","real_downstream","互斥 真实下游",60,21,4,56,20,-0.00607647065217392,0.0666666666666667
"exclusive","business_downstream","互斥 商业下游",1358,60,24,1051,47,-0.000676585960299629,0.226067746686303
"exclusive","other_or_no_flag","互斥 其他或无关系旗标",3087,60,53,2417,47,-0.000796813560490555,0.218334953028831
