"set_type","role","role_label","spec","outcome","term","coef","se","p_value","ci_lo","ci_hi","n","events","r_squared","coef_pct","se_pct"
"flag","is_investor","主要投资者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00209115160748109,0.0262342587013951,0.93734686264122,-0.0530249807076651,0.0572072839226273,35,19,0.577054356359283,0.209115160748109,2.62342587013951
"flag","upstream_cloud","云服务方","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0197215278383638,0.00466200546885989,0.000159565476751212,0.0102571535744849,0.0291859021022427,180,36,0.568335690914312,1.97215278383638,0.466200546885989
"flag","upstream_hardware","硬件上游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0138395623710306,0.00852773175678775,0.113587512141697,-0.00347265347841639,0.0311517782204777,695,36,0.274621749701981,1.38395623710306,0.852773175678775
"flag","broad_upstream","上游合并","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0134813809845696,0.00740679871485087,0.077299056996932,-0.00155521980940357,0.0285179817785428,875,36,0.303434652715114,1.34813809845696,0.740679871485087
"flag","downstream_integrator","下游集成者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0308728321415179,0.0101783587644931,0.00453840585936564,0.010209665317144,0.0515359989658918,1038,36,0.396867359668445,3.08728321415179,1.01783587644931
"flag","downstream_deployer","下游部署者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00983459959714972,0.0054484742883732,0.0796810071049099,-0.00122639125254486,0.0208955904468443,574,36,0.25107390081031,0.983459959714972,0.54484742883732
"flag","downstream_enabler","下游赋能者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0207740553005989,0.0126161391599076,0.108586379400062,-0.00483806883183919,0.0463861794330369,284,36,0.298200982420911,2.07740553005989,1.26161391599076
"flag","broad_downstream","下游合并","controls_closed_intelligence","mkt_car_20","z_intelligence",0.024657430818121,0.00734340136554886,0.0019057057606695,0.00974953348559584,0.0395653281506461,1896,36,0.334015039812854,2.4657430818121,0.734340136554886
"flag","competitor","直接竞争者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00935891131376449,0.00281776912669012,0.00210407560181109,0.00363853586969184,0.0150792867578371,309,36,0.494753142640384,0.935891131376449,0.281776912669012
"flag","positive_exposure","正向商业暴露","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0236685052004019,0.00665354201144621,0.00109917018286034,0.0101610968120183,0.0371759135887856,2042,36,0.342143081918994,2.36685052004019,0.665354201144621
"flag","any_relation","任一关系","controls_closed_intelligence","mkt_car_20","z_intelligence",0.020247813468403,0.00488186806079962,0.000203294210301582,0.0103370944135016,0.0301585325233044,2844,36,0.321608330984624,2.0247813468403,0.488186806079962
"exclusive","is_investor","互斥 主要投资者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00209115160748109,0.0262342587013951,0.93734686264122,-0.0530249807076651,0.0572072839226273,35,19,0.577054356359283,0.209115160748109,2.62342587013951
"exclusive","upstream_cloud","互斥 云服务方","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0165809254527028,0.00628291112893699,0.0123283539768996,0.00382593775735556,0.0293359131480501,139,36,0.584021758012625,1.65809254527028,0.628291112893699
"exclusive","upstream_hardware","互斥 硬件上游","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0138395623710306,0.00852773175678775,0.113587512141697,-0.00347265347841639,0.0311517782204777,695,36,0.274621749701981,1.38395623710306,0.852773175678775
"exclusive","competitor","互斥 直接竞争者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00757374274019871,0.00368787893651405,0.0475364935846451,8.69504727540899e-05,0.0150605350076433,179,36,0.349371143315124,0.757374274019871,0.368787893651405
"exclusive","downstream_integrator","互斥 下游集成者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0311642653402637,0.0104564460875941,0.00520760670928127,0.00993655123651671,0.0523919794440107,995,36,0.398310819058515,3.11642653402637,1.04564460875941
"exclusive","downstream_enabler","互斥 下游赋能者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.0193928030529617,0.0146558976669806,0.194345775157934,-0.0103602509964014,0.0491458571023247,212,36,0.328116008333544,1.93928030529617,1.46558976669806
"exclusive","downstream_deployer","互斥 下游部署者","controls_closed_intelligence","mkt_car_20","z_intelligence",0.00983459959714972,0.0054484742883732,0.0796810071049099,-0.00122639125254486,0.0208955904468443,574,36,0.25107390081031,0.983459959714972,0.54484742883732
"exclusive","other_or_no_flag","互斥 其他或无关系旗标","controls_closed_intelligence","mkt_car_20","z_intelligence",0.253468696418772,0.166548692489943,0.1370212233473,-0.0846431246447901,0.591580517482334,40,36,0.500917605467266,25.3468696418772,16.6548692489943
