"subsample","n_specs","n_sig_05","pct_sig_05","n_sig_10","pct_sig_10","pct_positive","median_est","mean_est","sd_est"
"us_creator",42,20,47.6,25,59.5,100,0.00111,0.001352,0.000599
"open_source",42,16,38.1,16,38.1,7.1,-0.000599,-0.001242,0.001264
"is_owner",42,15,35.7,21,50,35.7,-0.001469,-0.000571,0.001966
"closed_source",42,11,26.2,16,38.1,88.1,0.000512,0.000652,0.000793
"is_investor",42,9,21.4,14,33.3,33.3,-0.000674,-0.000736,0.001597
"all",42,5,11.9,12,28.6,83.3,0.000342,0.000366,0.000504
"text_or_reason",42,5,11.9,12,28.6,83.3,0.000342,0.000366,0.000504
"upstream_hardware",42,3,7.1,18,42.9,100,0.000559,0.000687,0.000293
"downstream_comp",42,3,7.1,6,14.3,52.4,7e-06,0.000154,0.00052
"competitor",42,3,7.1,6,14.3,50,-7.2e-05,-0.000147,0.000397
"non_us_creator",42,3,7.1,6,14.3,35.7,-0.000185,1e-05,0.000591
"downstream_integrator",42,2,4.8,3,7.1,42.9,-5.8e-05,0.000217,0.000732
"downstream_enabler",42,1,2.4,6,14.3,40.5,-0.000137,-1e-04,0.000533
"broad_upstream",42,0,0,9,21.4,100,0.00039,0.000522,0.000279
"positive_rel",42,0,0,8,19,100,0.000379,0.000507,0.000283
"downstream_deployer",42,0,0,0,0,83.3,0.000142,0.000256,0.000339
"broad_downstream",42,0,0,5,11.9,50,2.3e-05,0.000192,0.000554
"upstream_cloud",42,0,0,2,4.8,40.5,-8.9e-05,-9.9e-05,0.000291
