"mode","x_var","y_var","controls","subsample","year_fe","n","n_events","estimate","std.error","p.value","conf.low","conf.high","sig_05","sig_10"
"relationship_x","upstream_hardware","car_1","none","all",FALSE,5030,60,0.000620575443627582,0.00267269995410922,0.817193596983597,-0.00472748481156169,0.00596863569881685,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","all",TRUE,5030,60,0.000581011434014524,0.00267001319557752,0.828486773929327,-0.00476167262977078,0.00592369549779983,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","us_creator",FALSE,1847,22,0.00097853075336823,0.00442745038260551,0.827215919094693,-0.00822885635914306,0.0101859178658795,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","us_creator",TRUE,1847,22,0.000986876552510903,0.00442159174049172,0.825540628131544,-0.00820832684674923,0.010182079951771,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","non_us_creator",FALSE,3183,38,0.000407425528553619,0.00334975905228484,0.903851572920313,-0.00637983101614946,0.00719468207325669,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","non_us_creator",TRUE,3183,38,0.000289993134708869,0.00336633695819384,0.931815638759099,-0.00653085343799982,0.00711083970741756,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","open_source",FALSE,1095,13,-0.014749910314902,0.00807327588681132,0.0926613390668989,-0.0323400673945296,0.00284024676472558,FALSE,TRUE
"relationship_x","upstream_hardware","car_1","none","open_source",TRUE,1095,13,-0.014754877986662,0.00809254198697749,0.0932552567256892,-0.0323870122925093,0.00287725631918527,FALSE,TRUE
"relationship_x","upstream_hardware","car_1","none","closed_source",FALSE,3935,47,0.00483949978898516,0.00226279104494034,0.0377996942408114,0.000284737653350454,0.00939426192461987,TRUE,TRUE
"relationship_x","upstream_hardware","car_1","none","closed_source",TRUE,3935,47,0.00479663201741001,0.00224973842498138,0.0383718210938122,0.00026814344304506,0.00932512059177496,TRUE,TRUE
"relationship_x","upstream_hardware","car_1","none","text_or_reason",FALSE,3935,47,0.000631112126353435,0.0032246239552137,0.845694073750845,-0.00585971924126638,0.00712194349397326,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","text_or_reason",TRUE,3935,47,0.000536794687269626,0.00322975777478462,0.86872576308412,-0.00596437052317014,0.0070379598977094,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","media_gen",FALSE,1095,13,0.00059286032711653,0.00408789343523823,0.887095947196199,-0.00831389433589296,0.00949961499012603,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","none","media_gen",TRUE,1095,13,0.000600216815067294,0.00408926396817068,0.885743784698958,-0.0083095239826789,0.00950995761281349,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","all",FALSE,4987,60,0.000128288163445316,0.00279511333193632,0.96354710318404,-0.00546472069499216,0.0057212970218828,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","all",TRUE,4987,60,0.000112155013308197,0.0028011979804942,0.968197825288252,-0.00549302919877089,0.00571733922538728,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","us_creator",FALSE,1838,22,0.00011336889925134,0.00467605219649908,0.980886428426349,-0.00961101398725743,0.00983775178576011,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","us_creator",TRUE,1838,22,5.58592010777013e-05,0.0047031557999552,0.990635890242116,-0.00972488871442042,0.00983660711657583,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","non_us_creator",FALSE,3149,38,0.00016296227287731,0.00347396913083171,0.962837616617029,-0.00687596779680969,0.0072018923425643,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","non_us_creator",TRUE,3149,38,0.000114466997865454,0.00349438318717407,0.974044105557565,-0.00696582587892229,0.0071947598746532,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","open_source",FALSE,1086,13,-0.0141857975461867,0.00837697222549399,0.116149255184809,-0.0324376521048591,0.00406605701248561,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","open_source",TRUE,1086,13,-0.0141894500541116,0.00839227761208349,0.11666521175291,-0.0324746521854481,0.00409575207722496,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","closed_source",FALSE,3901,47,0.00402218517160753,0.0024626339664947,0.109236009682996,-0.000934839901299155,0.00897921024451421,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","closed_source",TRUE,3901,47,0.00401024237297526,0.0024663031583077,0.110779152685207,-0.000954168399983401,0.00897465314593391,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","text_or_reason",FALSE,3901,47,-0.000123833720046283,0.0033541191742203,0.970708636796757,-0.0068753254440856,0.00662765800399303,FALSE,FALSE
"relationship_x","upstream_hardware","car_1","size","text_or_reason",TRUE,3901,47,-0.000149125433848016,0.00336225941222674,0.96481520774813,-0.00691700260714464,0.0066187517394486,FALSE,FALSE
