"group","outcome","spec","coef","se","p_value","stars","n","n_events","r2"
"mag7","car_1","base",0.000283,0.000259,0.2798,"",328,47,0.0435
"non_mag7","car_1","base",0.000339,0.00018,0.06667,"*",3435,47,0.015
"mag7","car_1","base+VIX+news",0.000338,0.000274,0.2237,"",328,47,0.0547
"non_mag7","car_1","base+VIX+news",0.00031,0.000183,0.09812,"*",3435,47,0.0157
"mag7","car_5","base",0.00073,0.000256,0.006457,"***",328,47,0.0919
"non_mag7","car_5","base",0.000305,0.000297,0.3104,"",3450,47,0.0322
"mag7","car_5","base+VIX+news",0.000878,0.00025,0.001019,"***",328,47,0.1228
"non_mag7","car_5","base+VIX+news",0.000278,0.000301,0.3616,"",3450,47,0.0327
"mag7","car_20","base",0.001698,0.000825,0.04524,"**",328,47,0.1595
"non_mag7","car_20","base",0.001472,0.000686,0.0372,"**",3452,47,0.1074
"mag7","car_20","base+VIX+news",0.001703,0.000846,0.05013,"*",328,47,0.1606
"non_mag7","car_20","base+VIX+news",0.001435,0.000669,0.0371,"**",3452,47,0.11
