"pred","rel","car1","car20"
"开源","competitor","b=+0.00343 p=0.172 (n=577 ev=60)","b=-0.02094** p=0.050 (n=578 ev=60)"
"开源","downstream","b=+0.00822* p=0.094 (n=2367 ev=60)","b=+0.01218 p=0.537 (n=2375 ev=60)"
"开源","biz_downstream","b=+0.00826* p=0.095 (n=2334 ev=60)","b=+0.01242 p=0.529 (n=2342 ev=60)"
"开源","real_downstream","b=+0.00798* p=0.073 (n=1350 ev=60)","b=+0.01934 p=0.392 (n=1358 ev=60)"
"开源","upstream","b=-0.02226* p=0.053 (n=127 ev=60)","b=-0.04032* p=0.065 (n=127 ev=60)"
"Tier1","competitor","b=+0.00441* p=0.061 (n=577 ev=60)","b=+0.01769** p=0.030 (n=578 ev=60)"
"Tier1","downstream","b=-0.00473 p=0.146 (n=2367 ev=60)","b=+0.01105 p=0.397 (n=2375 ev=60)"
"Tier1","biz_downstream","b=-0.00502 p=0.129 (n=2334 ev=60)","b=+0.01195 p=0.361 (n=2342 ev=60)"
"Tier1","real_downstream","b=-0.00443 p=0.225 (n=1350 ev=60)","b=+0.01545 p=0.325 (n=1358 ev=60)"
"Tier1","upstream","b=+0.00426 p=0.592 (n=127 ev=60)","b=+0.00210 p=0.923 (n=127 ev=60)"
"推理模型","competitor","b=+0.00393* p=0.084 (n=577 ev=60)","b=+0.02203*** p=0.005 (n=578 ev=60)"
"推理模型","downstream","b=+0.00034 p=0.909 (n=2367 ev=60)","b=-0.00446 p=0.743 (n=2375 ev=60)"
"推理模型","biz_downstream","b=+0.00121 p=0.702 (n=2334 ev=60)","b=-0.00267 p=0.846 (n=2342 ev=60)"
"推理模型","real_downstream","b=-0.00123 p=0.673 (n=1350 ev=60)","b=+0.00289 p=0.860 (n=1358 ev=60)"
"推理模型","upstream","b=-0.00488 p=0.514 (n=127 ev=60)","b=+0.02887 p=0.181 (n=127 ev=60)"
"代码模型","competitor","b=+0.00082 p=0.721 (n=577 ev=60)","b=-0.00680 p=0.443 (n=578 ev=60)"
"代码模型","downstream","b=+0.00405 p=0.286 (n=2367 ev=60)","b=+0.00959 p=0.523 (n=2375 ev=60)"
"代码模型","biz_downstream","b=+0.00449 p=0.251 (n=2334 ev=60)","b=+0.00907 p=0.548 (n=2342 ev=60)"
"代码模型","real_downstream","b=+0.00082 p=0.847 (n=1350 ev=60)","b=+0.01557 p=0.379 (n=1358 ev=60)"
"代码模型","upstream","b=-0.00715 p=0.326 (n=127 ev=60)","b=-0.00638 p=0.710 (n=127 ev=60)"
"多模态","competitor","b=-0.00661** p=0.048 (n=577 ev=60)","b=-0.01599** p=0.020 (n=578 ev=60)"
"多模态","downstream","b=-0.00526 p=0.166 (n=2367 ev=60)","b=-0.03932** p=0.039 (n=2375 ev=60)"
"多模态","biz_downstream","b=-0.00547 p=0.151 (n=2334 ev=60)","b=-0.03970** p=0.038 (n=2342 ev=60)"
"多模态","real_downstream","b=-0.00670 p=0.175 (n=1350 ev=60)","b=-0.05388** p=0.021 (n=1358 ev=60)"
"多模态","upstream","b=+0.00570 p=0.653 (n=127 ev=60)","b=+0.05744** p=0.034 (n=127 ev=60)"
