"outcome","spec","sample","coef","se","p_value","stars","n","n_events","r2"
"car_1","base","rel_only",0.000173,0.00014,0.2232,"",2412,47,0.0168
"car_1","base+VIX","rel_only",0.000124,0.000142,0.3858,"",2412,47,0.0216
"car_1","base+VIX+news","rel_only",0.000119,0.000141,0.4051,"",2412,47,0.0225
"car_1","base+VIX+news","rel_only_closed",0.000252,0.000151,0.1054,"",1846,36,0.0375
"car_5","base","rel_only",-1.4e-05,0.000305,0.9637,"",2418,47,0.0143
"car_5","base+VIX","rel_only",-3.6e-05,0.000317,0.9108,"",2418,47,0.0147
"car_5","base+VIX+news","rel_only",-4.8e-05,0.000311,0.8773,"",2418,47,0.0161
"car_5","base+VIX+news","rel_only_closed",0.00026,0.000362,0.4781,"",1852,36,0.028
"car_20","base","rel_only",0.001228,0.000591,0.04341,"**",2418,47,0.0749
"car_20","base+VIX","rel_only",0.001097,0.000628,0.08704,"*",2418,47,0.0776
"car_20","base+VIX+news","rel_only",0.00112,0.000612,0.07371,"*",2418,47,0.0787
"car_20","base+VIX+news","rel_only_closed",0.002019,0.000619,0.002468,"***",1852,36,0.0986
