"subsample","outcome","coef","se","p","stars","n","n_events"
"全体","car_1",0.001488,0.002785,0.5951,"",3698,60
"全体","car_5",0.012597,0.005449,0.02429,"**",3708,60
"全体","car_20",0.012245,0.014388,0.3982,"",3709,60
"competitor","car_1",0.004871,0.002212,0.03157,"**",577,60
"competitor","car_5",0.011951,0.006345,0.06455,"*",578,60
"competitor","car_20",0.014263,0.011083,0.2032,"",578,60
"upstream","car_1",-0.018598,0.009437,0.05344,"*",745,60
"upstream","car_5",-0.016469,0.013913,0.2413,"",747,60
"upstream","car_20",-0.030032,0.018159,0.1035,"",747,60
"real_upstream","car_1",-0.018123,0.009398,0.0586,"*",726,60
"real_upstream","car_5",-0.017915,0.013908,0.2027,"",728,60
"real_upstream","car_20",-0.030667,0.018631,0.1051,"",728,60
"downstream","car_1",0.006493,0.004268,0.1335,"",2367,60
"downstream","car_5",0.021172,0.007355,0.005556,"***",2374,60
"downstream","car_20",0.024277,0.018443,0.1931,"",2375,60
