"section","label","n","events","beta","p_cr0","p_cr2"
"A_industry","软件",1330,47,0.0029536766657905,0.0450495450050303,0.077937136896544
"A_industry","半导体和半导体设备",606,47,0.0021182700629357,0.0316360610196279,0.0604269844985285
"A_industry","技术硬件、存储和外围设备",348,47,-0.000829512203464801,0.176535886315126,0.209731479258209
"A_industry","IT服务",325,47,0.000471152833120029,0.53341757510024,0.561074685291035
"A_industry","互联网服务和基础设施",235,47,0.00189921191830873,0.00488208787558069,0.0149658376903497
"A_industry","互联网零售",184,47,-4.3903905852435e-05,0.946583330848134,0.950491953385157
"A_industry","其他/非IT",752,47,0.000274514121478245,0.567307473057888,0.599920577373821
"B_mag7","Mag7",328,47,0.00169804825788429,0.0452400902037894,0.0805487312423398
"B_nonmag7","non-Mag7",3452,47,0.0014717571965266,0.0371980371390416,0.0675151598739406
"C_sent_w5_alone","sent_w5 alone",3780,47,-0.0810251176908977,0.000231190387151329,0.00325559296526384
"C_sent_w20_alone","sent_w20 alone",3780,47,-0.096374968342406,0.00293369852396574,0.0146475249404322
"C_intel_joint","intel_c (joint w sent_c5)",3780,47,0.00157949810844337,0.0350028026457551,0.0866290668808212
"C_sent_in_joint","sent_c5 (joint w intel_c)",3780,47,-0.0606113183744416,0.0242327814616918,0.0568383651301344
