final_event_id,company_id,event_name,release_date,company,true_model_creator,potential_us_exposure_type
FMR-0001,005930 KS,LLaMA 3,2024-04-18,三星电子,Meta,publisher
FMR-0001,GOOGL,LLaMA 3,2024-04-18,Alphabet（谷歌）,Meta,publisher
FMR-0001,MU,LLaMA 3,2024-04-18,美光科技,Meta,publisher
FMR-0001,AMD,LLaMA 3,2024-04-18,AMD,Meta,publisher
FMR-0001,000660 KS,LLaMA 3,2024-04-18,SK海力士,Meta,publisher
FMR-0001,BABA,LLaMA 3,2024-04-18,阿里巴巴,Meta,publisher
FMR-0001,TSM,LLaMA 3,2024-04-18,台积电,Meta,publisher
FMR-0001,TSLA,LLaMA 3,2024-04-18,特斯拉,Meta,publisher
FMR-0001,AAPL,LLaMA 3,2024-04-18,苹果,Meta,publisher
FMR-0001,AVGO,LLaMA 3,2024-04-18,博通,Meta,publisher
FMR-0001,CSCO,LLaMA 3,2024-04-18,思科,Meta,publisher
FMR-0001,700 HK,LLaMA 3,2024-04-18,腾讯控股,Meta,publisher
FMR-0001,NVDA,LLaMA 3,2024-04-18,英伟达,Meta,publisher
FMR-0001,AMZN,LLaMA 3,2024-04-18,亚马逊,Meta,publisher
FMR-0001,PLTR,LLaMA 3,2024-04-18,Palantir,Meta,publisher
FMR-0001,IBM,LLaMA 3,2024-04-18,IBM,Meta,publisher
FMR-0001,MSFT,LLaMA 3,2024-04-18,微软,Meta,publisher
FMR-0001,META,LLaMA 3,2024-04-18,Meta（Facebook）,Meta,publisher
FMR-0001,SIE GR,LLaMA 3,2024-04-18,西门子（德国）,Meta,publisher
FMR-0001,CRM,LLaMA 3,2024-04-18,Salesforce,Meta,publisher
FMR-0001,NFLX,LLaMA 3,2024-04-18,Netflix,Meta,publisher
FMR-0001,ORCL,LLaMA 3,2024-04-18,Oracle,Meta,publisher
FMR-0001,INTC,LLaMA 3,2024-04-18,英特尔,Meta,publisher
FMR-0001,ACN,LLaMA 3,2024-04-18,埃森哲,Meta,publisher
FMR-0001,UBER,LLaMA 3,2024-04-18,Uber,Meta,publisher
FMR-0001,QCOM,LLaMA 3,2024-04-18,高通,Meta,publisher
FMR-0001,SHOP,LLaMA 3,2024-04-18,Shopify,Meta,publisher
FMR-0001,APP,LLaMA 3,2024-04-18,AppLovin,Meta,publisher
FMR-0001,NOW,LLaMA 3,2024-04-18,ServiceNow,Meta,publisher
FMR-0001,ADBE,LLaMA 3,2024-04-18,Adobe,Meta,publisher
FMR-0001,SNPS,LLaMA 3,2024-04-18,Synopsys,Meta,publisher
FMR-0001,CDNS,LLaMA 3,2024-04-18,Cadence Design Systems,Meta,publisher
FMR-0001,HUT,LLaMA 3,2024-04-18,Hut 8 Mining,Meta,publisher
FMR-0001,STX,LLaMA 3,2024-04-18,Seagate,Meta,publisher
FMR-0001,MRVL,LLaMA 3,2024-04-18,Marvell,Meta,publisher
FMR-0001,SNOW,LLaMA 3,2024-04-18,Snowflake,Meta,publisher
FMR-0001,3690 HK,LLaMA 3,2024-04-18,美团,Meta,publisher
FMR-0001,IFX GR,LLaMA 3,2024-04-18,英飞凌（德国）,Meta,publisher
FMR-0001,FTNT,LLaMA 3,2024-04-18,Fortinet,Meta,publisher
FMR-0001,5803 JP,LLaMA 3,2024-04-18,三菱电机（日本）,Meta,publisher
FMR-0001,NXPI,LLaMA 3,2024-04-18,恩智浦,Meta,publisher
FMR-0001,3443 TT,LLaMA 3,2024-04-18,创见资讯（台湾）,Meta,publisher
FMR-0001,6702 JP,LLaMA 3,2024-04-18,富士通（日本）,Meta,publisher
FMR-0001,TRI,LLaMA 3,2024-04-18,Thomson Reuters,Meta,publisher
FMR-0001,6701 JP,LLaMA 3,2024-04-18,NEC（日本）,Meta,publisher
FMR-0001,BIDU,LLaMA 3,2024-04-18,百度,Meta,publisher
FMR-0001,DDOG,LLaMA 3,2024-04-18,Datadog,Meta,publisher
FMR-0001,6954 JP,LLaMA 3,2024-04-18,松下（日本）,Meta,publisher
