"ticker","company","gics_sector","source_index","index_tag","decision","reason"
"AAPL","Apple Inc.","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ABNB","Airbnb","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ADBE","Adobe Inc.","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ADI","Analog Devices","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"ADP","Automatic Data Processing","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ADSK","Autodesk","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"AEP","American Electric Power","Utilities","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ALAB","Astera Labs","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"ALNY","Alnylam Pharmaceuticals","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"AMAT","Applied Materials","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"AMD","Advanced Micro Devices","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"AMGN","Amgen","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"AMZN","Amazon","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"APP","AppLovin","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ARM","Arm Holdings","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ASML","ASML Holding","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"ASX","ASE Technology Holding Co., Ltd.","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"AVGO","Broadcom","Technology","NASDAQ-100 + SOX (via SOXX ETF holdings)","both","include","同时是纳斯达克100与费城半导体（SOX/SOXX）成分股，核心上游硬件"
"AXON","Axon Enterprise","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"BKNG","Booking Holdings","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"BKR","Baker Hughes","Energy","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CCEP","Coca-Cola Europacific Partners","Consumer Staples","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CDNS","Cadence Design Systems","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CEG","Constellation Energy","Utilities","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CMCSA","Comcast","Telecommunications","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"COST","Costco","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CPRT","Copart","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CRDO","Credo Technology Group Holding Ltd","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"CRWD","CrowdStrike","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CRWV","CoreWeave","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CSCO","Cisco","Telecommunications","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CSX","CSX Corporation","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"CTAS","Cintas","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"DASH","DoorDash","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"DDOG","Datadog","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"DXCM","DexCom","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"EA","Electronic Arts","Consumer Discretionary","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"ENTG","Entegris, Inc.","Semiconductors","SOX (via SOXX ETF holdings)","sox_only","include","费城半导体指数（经SOXX持仓代理）成分股，上游硬件"
"EXC","Exelon","Utilities","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"FANG","Diamondback Energy","Energy","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"FAST","Fastenal","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"FER","Ferrovial","Industrials","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"FTNT","Fortinet","Technology","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"GEHC","GE HealthCare","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
"GILD","Gilead Sciences","Health Care","NASDAQ-100","ndx_only","include","纳斯达克100成分股（外生指数选样，不区分是否AI相关）"
