entity_id,entity_name,event_id,year,month,match_level,aa_name,aa_release_date
AIT-2022-02-001-E01,Midjourney v1,AIT-2022-02-001,2022,February,exact_or_near_exact,Midjourney v6,2023-12
AIT-2022-04-001-E01,Midjourney v2,AIT-2022-04-001,2022,April,exact_or_near_exact,Midjourney v6,2023-12
AIT-2022-04-002-E01,DALL-E 2,AIT-2022-04-002,2022,April,exact_or_near_exact,DALLE 2,2022-09
AIT-2022-07-001-E01,Midjourney v3,AIT-2022-07-001,2022,July,exact_or_near_exact,Midjourney v6,2023-12
AIT-2022-08-001-E01,Stable Diffusion 1.4,AIT-2022-08-001,2022,August,exact_or_near_exact,Stable Diffusion 1.6,2023-11
AIT-2022-11-002-E01,Midjourney v4,AIT-2022-11-002,2022,November,exact_or_near_exact,Midjourney v6,2023-12
AIT-2022-11-003-E01,Stable Diffusion 2.0,AIT-2022-11-003,2022,November,exact_or_near_exact,Stable Diffusion 2.1,2022-12
AIT-2023-02-001-E01,LLaMA,AIT-2023-02-001,2023,February,exact_or_near_exact,Llama 3.3 Instruct 70B,2024-12-06
AIT-2023-03-001-E01,Midjourney v5,AIT-2023-03-001,2023,March,exact_or_near_exact,Midjourney v6,2023-12
AIT-2023-04-001-E01,Firefly,AIT-2023-04-001,2023,April,exact_or_near_exact,Firefly Image 5 Preview,2025-10
AIT-2023-05-001-E01,Midjourney v5.1,AIT-2023-05-001,2023,May,exact_or_near_exact,Midjourney v6.1,2024-07
AIT-2023-06-001-E01,Midjourney v5.2,AIT-2023-06-001,2023,June,exact_or_near_exact,Midjourney v6.1,2024-07
AIT-2023-10-001-E01,DALL-E 3,AIT-2023-10-001,2023,October,exact_or_near_exact,DALLE 3,2023-09
AIT-2023-11-001-E01,Stable Diffusion XL Turbo,AIT-2023-11-001,2023,November,high,Stable Diffusion 3 Large Turbo,2024-02
AIT-2023-12-002-E01,Gemini Pro,AIT-2023-12-002,2023,December,exact_or_near_exact,"Gemini 3 Pro (High), Google",
AIT-2024-02-001-E01,Stable Diffusion 3,AIT-2024-02-001,2024,February,exact_or_near_exact,Stable Diffusion 3.5 Large,2024-10
AIT-2024-02-002-E01,Gemini Pro,AIT-2024-02-002,2024,February,exact_or_near_exact,"Gemini 3 Pro (High), Google",
AIT-2024-02-003-E01,Gemini Pro 1.5,AIT-2024-02-003,2024,February,exact_or_near_exact,Gemini 1.5 Pro (Sep '24),2024-09-24
AIT-2024-02-004-E01,Sora,AIT-2024-02-004,2024,February,exact_or_near_exact,Sora 2 Pro,2025-09
AIT-2024-03-002-E01,Claude 3,AIT-2024-03-002,2024,March,exact_or_near_exact,Claude 3.5 Sonnet (Oct '24),2024-10-22
AIT-2024-03-003-E01,Suno v3,AIT-2024-03-003,2024,March,exact_or_near_exact,Suno V5,
AIT-2024-04-001-E01,Stable Audio 2.0,AIT-2024-04-001,2024,April,exact_or_near_exact,Stable Audio 2.0,
AIT-2024-04-002-E01,Grok-1.5V,AIT-2024-04-002,2024,April,exact_or_near_exact,Grok-1,2024-03-17
AIT-2024-04-004-E01,LLaMA 3,AIT-2024-04-004,2024,April,exact_or_near_exact,Llama 3.3 Instruct 70B,2024-12-06
AIT-2024-05-001-E01,GPT-4o model,AIT-2024-05-001,2024,May,exact_or_near_exact,GPT-4o (Aug '24),2024-08-06
AIT-2024-05-002-E01,Gemini Flash 1.5 model,AIT-2024-05-002,2024,May,exact_or_near_exact,Gemini 1.5 Flash (Sep '24),2024-09-24
AIT-2024-05-002-E02,Imagen 3,AIT-2024-05-002,2024,May,exact_or_near_exact,Imagen 3 (v002),2024-12
AIT-2024-05-002-E04,Veo,AIT-2024-05-002,2024,May,exact_or_near_exact,Veo 3 Preview,2025-05
AIT-2024-05-005-E01,Mistral-7B-Instruct-v0.3,AIT-2024-05-005,2024,May,exact_or_near_exact,Mistral 7B Instruct,2023-09-27
AIT-2024-05-007-E01,Suno v3.5,AIT-2024-05-007,2024,May,exact_or_near_exact,Suno V5.5,
AIT-2024-05-008-E01,Codestral,AIT-2024-05-008,2024,May,high,Devstral 2,2025-12-09
AIT-2024-06-001-E01,Stable Diffusion 3,AIT-2024-06-001,2024,June,exact_or_near_exact,Stable Diffusion 3.5 Large,2024-10
AIT-2024-06-004-E01,Runway,AIT-2024-06-004,2024,June,exact_or_near_exact,Runway Gen-4.5,2025-12
AIT-2024-06-005-E01,Claude Sonnet 3.5,AIT-2024-06-005,2024,June,exact_or_near_exact,Claude 3.5 Sonnet (Oct '24),2024-10-22
AIT-2024-06-007-E01,Gemma 2,AIT-2024-06-007,2024,June,high,"Gemma 4 12B, Google",
AIT-2024-07-003-E02,Mistral NeMo,AIT-2024-07-003,2024,July,high,Mistral Medium,2023-12-11
AIT-2024-07-006-E01,Udio v1.5,AIT-2024-07-006,2024,July,exact_or_near_exact,Udio v1.5 Allegro,
AIT-2024-07-007-E01,Mistral Large 2,AIT-2024-07-007,2024,July,exact_or_near_exact,Mistral Large 2 (Nov '24),2024-11-18
AIT-2024-07-008-E01,Midjourney v6.1,AIT-2024-07-008,2024,July,exact_or_near_exact,Midjourney v6,2023-12
AIT-2024-07-009-E01,Gemma 2 2B,AIT-2024-07-009,2024,July,high,Gemma 4 12B (Non-reasoning),2026-06-03
AIT-2024-08-001-E01,Flux,AIT-2024-08-001,2024,August,exact_or_near_exact,FLUX.2 [max],2025-12
AIT-2024-08-003-E01,Imagen 3,AIT-2024-08-003,2024,August,exact_or_near_exact,Imagen 3 (v002),2024-12
AIT-2024-08-004-E01,Grok 2,AIT-2024-08-004,2024,August,exact_or_near_exact,Grok 2 (Dec '24),2024-12-12
AIT-2024-08-004-E02,Grok 2 mini,AIT-2024-08-004,2024,August,exact_or_near_exact,Grok 2 (Dec '24),2024-12-12
AIT-2024-08-006-E01,Gemini 1.5 Flash8B,AIT-2024-08-006,2024,August,exact_or_near_exact,Gemini 1.5 Flash (Sep '24),2024-09-24
AIT-2024-08-006-E02,Gemini 1.5 Pro,AIT-2024-08-006,2024,August,exact_or_near_exact,Gemini 1.5 Pro (Sep '24),2024-09-24
AIT-2024-08-006-E03,Gemini 1.5 Flash,AIT-2024-08-006,2024,August,exact_or_near_exact,Gemini 1.5 Flash (Sep '24),2024-09-24
AIT-2024-08-007-E01,Ideogram 2.0,AIT-2024-08-007,2024,August,high,Ideogram 3.0,2025-03
AIT-2024-09-003-E01,Qwen 2.5,AIT-2024-09-003,2024,September,exact_or_near_exact,Qwen2.5 Max,2025-01-28
AIT-2024-09-007-E02,Gemini Pro 1.5 002,AIT-2024-09-007,2024,September,exact_or_near_exact,Gemini 2.5 Pro,2025-06-05
AIT-2024-09-008-E02,Moshi,AIT-2024-09-008,2024,September,exact_or_near_exact,Moshi,
AIT-2024-09-010-E01,Mistral Small,AIT-2024-09-010,2024,September,exact_or_near_exact,Mistral Small 3,2025-01-30
AIT-2024-10-001-E01,Flux 1.1 Pro,AIT-2024-10-001,2024,October,exact_or_near_exact,FLUX.1 [pro],2024-08
AIT-2024-10-003-E01,Video Model 1.5,AIT-2024-10-003,2024,October,exact_or_near_exact,HunyuanVideo-1.5 (Fal),2025-11
AIT-2024-10-004-E01,Firefly Video,AIT-2024-10-004,2024,October,high,Firefly Image 4,2025-04
AIT-2024-10-007-E01,Ministral,AIT-2024-10-007,2024,October,exact_or_near_exact,Ministral 3 3B,2025-12-02
AIT-2024-10-008-E01,Janus AI,AIT-2024-10-008,2024,October,exact_or_near_exact,Janus Pro,2025-01
AIT-2024-10-010-E01,Stable Diffusion 3.5,AIT-2024-10-010,2024,October,exact_or_near_exact,Stable Diffusion 1.5,2022-10
AIT-2024-11-003-E01,DeepSeek-R1-Lite-Preview,AIT-2024-11-003,2024,November,exact_or_near_exact,DeepSeek R1 (Jan '25),2025-01-20
AIT-2024-11-004-E02,v4,AIT-2024-11-004,2024,November,exact_or_near_exact,Suno V4.5,
AIT-2024-11-007-E01,Claude 3.5 Haiku,AIT-2024-11-007,2024,November,exact_or_near_exact,Claude 3.5 Haiku,2024-10-22
AIT-2024-12-002-E01,SORA,AIT-2024-12-002,2024,December,exact_or_near_exact,Sora 2 Pro,2025-09
AIT-2024-12-002-E03,o1 Pro,AIT-2024-12-002,2024,December,exact_or_near_exact,o1-pro,2025-03-19
AIT-2024-12-002-E04,GPT 4o,AIT-2024-12-002,2024,December,exact_or_near_exact,GPT-4o (Aug '24),2024-08-06
AIT-2024-12-004-E02,Gemini Pro 1.5,AIT-2024-12-004,2024,December,exact_or_near_exact,Gemini 1.5 Pro (Sep '24),2024-09-24
AIT-2024-12-009-E02,Llama 3.1 405B,AIT-2024-12-009,2024,December,high,Llama 3.1 Instruct 405B,2024-07-23
AIT-2024-12-010-E01,PaliGemma 2,AIT-2024-12-010,2024,December,high,PALM-2,2023-05-10
AIT-2024-12-010-E02,Gemma,AIT-2024-12-010,2024,December,exact_or_near_exact,Gemma 4 26B A4B (Reasoning),2026-04-02
AIT-2024-12-014-E01,QVQ-72B-Preview,AIT-2024-12-014,2024,December,high,QwQ 32B-Preview,2024-11-27
AIT-2024-12-015-E01,o3,AIT-2024-12-015,2024,December,exact_or_near_exact,o3,2025-04-16
AIT-2024-12-015-E04,o3 Mini,AIT-2024-12-015,2024,December,exact_or_near_exact,o3-mini (high),2025-01-31
AIT-2025-01-003-E03,o1,AIT-2025-01-003,2025,January,exact_or_near_exact,o1,2024-12-05
AIT-2025-01-006-E02,DeepSeek-V3,AIT-2025-01-006,2025,January,exact_or_near_exact,DeepSeek V3 (Dec '24),2024-12-26
AIT-2025-01-006-E03,GPT-4o,AIT-2025-01-006,2025,January,exact_or_near_exact,GPT-4o (Aug '24),2024-08-06
AIT-2025-01-006-E04,Claude 3.5,AIT-2025-01-006,2025,January,high,Claude 3.5 Sonnet (Oct '24),2024-10-22
AIT-2025-02-004-E01,Gemini 2.0 Flash,AIT-2025-02-004,2025,February 2025,exact_or_near_exact,Gemini 2.0 Flash (experimental),2024-12-11
AIT-2025-02-005-E01,QwQ-Max,AIT-2025-02-005,2025,February 2025,high,Qwen3 Max,2025-09-23
AIT-2025-02-006-E01,Phi4-mini,AIT-2025-02-006,2025,February 2025,exact_or_near_exact,Phi-4 Mini Instruct,2024-02-26
AIT-2025-02-007-E01,GPT-4.5,AIT-2025-02-007,2025,February 2025,exact_or_near_exact,GPT-5.4 (Non-reasoning),2026-03-05
AIT-2025-03-001-E01,Gemini 2.5 Pro,AIT-2025-03-001,2025,March 2025,exact_or_near_exact,Gemini 2.5 Pro,2025-06-05
AIT-2025-03-003-E01,GPT-4o Image Generation,AIT-2025-03-003,2025,March 2025,exact_or_near_exact,GPT-4o (Aug '24),2024-08-06
AIT-2025-03-004-E01,Gemini 2.0 Flash Experimental,AIT-2025-03-004,2025,March 2025,exact_or_near_exact,Gemini 2.0 Flash (experimental),2024-12-11
AIT-2025-03-006-E01,Qwen2.5-VL 32B,AIT-2025-03-006,2025,March 2025,high,Qwen3 VL 32B (Reasoning),2025-10-21
AIT-2025-04-002-E01,Gemini 2.5 Flash,AIT-2025-04-002,2025,April 2025,exact_or_near_exact,Gemini 2.5 Flash (Non-reasoning),2025-05-20
AIT-2025-04-007-E01,Veo 2.0,AIT-2025-04-007,2025,April 2025,exact_or_near_exact,Veo 2,2024-12
AIT-2025-04-007-E02,Runway Gen-4,AIT-2025-04-007,2025,April 2025,exact_or_near_exact,Runway Gen 4,2025-03
AIT-2025-04-008-E01,Qwen 3,AIT-2025-04-008,2025,April 2025,exact_or_near_exact,Qwen3.5 Omni Plus Realtime,
AIT-2025-05-001-E01,Phi-4 reasoning,AIT-2025-05-001,2025,May 2025,exact_or_near_exact,Phi-4,2024-12-12
AIT-2025-05-002-E01,Suno 4.5,AIT-2025-05-002,2025,May 2025,exact_or_near_exact,Suno V4.5,
AIT-2025-05-004-E01,Veo 3,AIT-2025-05-004,2025,May 2025,exact_or_near_exact,Veo 3,2025-07
AIT-2025-05-004-E02,Imagen 4,AIT-2025-05-004,2025,May 2025,exact_or_near_exact,Imagen 4 Ultra Preview 0606,2025-06
AIT-2025-05-007-E01,Gemini 2.5 Pro,AIT-2025-05-007,2025,May 2025,exact_or_near_exact,Gemini 2.5 Pro,2025-06-05
AIT-2025-05-008-E02,o3,AIT-2025-05-008,2025,May 2025,exact_or_near_exact,o3,2025-04-16
AIT-2025-05-012-E01,Gemma 3n,AIT-2025-05-012,2025,May 2025,exact_or_near_exact,Gemma 3n E2B Instruct,2025-06-26
AIT-2025-06-002-E01,Eleven v3 (alpha),AIT-2025-06-002,2025,June 2025,exact_or_near_exact,Eleven v3,
AIT-2025-07-004-E01,Gemini Deep Think,AIT-2025-07-004,2025,July 2025,exact_or_near_exact,Gemini 3 Deep Think,2026-02-05
AIT-2025-07-005-E02,Qwen3-Coder,AIT-2025-07-005,2025,July 2025,exact_or_near_exact,Qwen3 Coder Next,2026-02-03
AIT-2025-08-001-E01,Gemini 2.5 Deep Think,AIT-2025-08-001,2025,August 2025,exact_or_near_exact,Gemini 3 Deep Think,2026-02-05
AIT-2025-08-005-E01,GPT-5,AIT-2025-08-005,2025,August 2025,exact_or_near_exact,GPT-5.5 (Non-reasoning),2026-04-23
AIT-2025-09-002-E01,Gemini 2.5 - Deep Think,AIT-2025-09-002,2025,September 2025,high,Gemini 3 Deep Think,2026-02-05
AIT-2025-09-004-E01,Suno v5,AIT-2025-09-004,2025,September 2025,exact_or_near_exact,Suno V5.5,
AIT-2025-09-007-E01,Claude Sonnet 4.5,AIT-2025-09-007,2025,September 2025,exact_or_near_exact,"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",2026-02-17
AIT-2025-11-008-E01,FLUX 2,AIT-2025-11-008,2025,November 2025,exact_or_near_exact,FLUX.2 [max],2025-12
AIT-2025-11-009-E01,DeepSeekMath-V2,AIT-2025-11-009,2025,November 2025,high,DeepSeek-V2.5,2024-09-06
AIT-2025-12-003-E01,Gemini 3.0 Flash,AIT-2025-12-003,2025,December 2025,exact_or_near_exact,Gemini 3.5 Flash (minimal),2026-05-19
AIT-2025-12-003-E03,Gemini 2.5 Flash Audio,AIT-2025-12-003,2025,December 2025,exact_or_near_exact,Gemini 2.5 Flash (Non-reasoning),2025-05-20
AIT-2025-12-004-E01,Nova 2,AIT-2025-12-004,2025,December 2025,exact_or_near_exact,Nova 2.0 Lite (Non-reasoning),2025-10-29
AIT-2025-12-004-E02,Nova 2 Sonic,AIT-2025-12-004,2025,December 2025,exact_or_near_exact,Nova 2.0 Sonic,
AIT-2025-12-006-E01,Grok Voice Agent API,AIT-2025-12-006,2025,December 2025,exact_or_near_exact,Grok Voice Agent,
AIT-2026-02-004-E01,Seedance 2.0,AIT-2026-02-004,2026,February 2026,exact_or_near_exact,Dreamina Seedance 2.0 720p,2026-03
AIT-2026-02-006-E01,Grok 4.20,AIT-2026-02-006,2026,February 2026,exact_or_near_exact,Grok 4.20 0309 v2 (Reasoning),2026-04-07
AIT-2026-02-007-E01,gpt-audio-1.5,AIT-2026-02-007,2026,February 2026,high,GPT-5.1 (high),2025-11-13
AIT-2026-03-001-E01,GPT-5.3 Instant,AIT-2026-03-001,2026,March 2026,exact_or_near_exact,GPT-5.5 Instant (May 2026),2026-05-05
AIT-2026-03-004-E01,Suno v5.5,AIT-2026-03-004,2026,March 2026,exact_or_near_exact,Suno V5.5,
