final_event_id,release_date,release_date_norm,event_name,true_model_creator,creator_country,creator_type,candidate_tier,model_modality,is_model_family,is_reasoning_model,is_coding_model,is_media_generation_model,is_open_weight_or_open_source,llm_capability_sample_flag,media_capability_sample_flag,representative_aa_source_table,release_date_confidence
FMR-0001,2024/4/18,2024-04-18,LLaMA 3,Meta,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,1,1,0,aa_llm_models,manual_confirmed_model_card
FMR-0002,2024/5/14,2024-05-14,Imagen 3,Google,United States,listed_us_company,Tier 2,image_generation,1,0,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0003,2024/5/30,2024-05-30,Gemini Flash 1.5,Google,United States,listed_us_company,Tier 2,multimodal_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0004,2024/6/12,2024-06-12,Stable Diffusion 3,Stability AI,United Kingdom,private_non_us_company,Tier 1,image_generation,0,0,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0005,2024/8/8,2024-08-08,Gemini 1.5 Flash,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0006,2024/8/13,2024-08-13,Grok 2,xAI,United States,private_us_company,Tier 1,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0007,2024/8/28,2024-08-28,Imagen 3,Google,United States,listed_us_company,Tier 1,image_generation,0,0,0,1,0,0,1,aa_media_models,manual_confirmed_official_source
FMR-0008,2024/9/12,2024-09-12,o1 preview,OpenAI,United States,private_us_company,Tier 2,reasoning_llm,1,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0009,2024/9/12,2024-09-12,o1 mini,OpenAI,United States,private_us_company,Tier 2,reasoning_llm,1,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0010,2024/9/24,2024-09-24,Gemini 1.5 002 family,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0011,2024/10/3,2024-10-03,Gemini 1.5 Pro,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_user_source
FMR-0012,2024/10/3,2024-10-03,Gemini 1.5 Flash8B,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0013,2024/10/22,2024-10-22,Claude 3.5 Sonnet New / Haiku family,Anthropic,United States,private_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0014,2024/11/12,2024-11-12,Qwen2.5 Coder 32B,Alibaba,China,public_non_us_company,Tier 2,coding_llm,1,0,1,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0015,2024/12/6,2024-12-06,Llama 3.3 70B,Meta,United States,listed_us_company,Tier 1,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_model_card
FMR-0016,2024/12/9,2024-12-09,SORA,OpenAI,United States,private_us_company,Tier 1,video_generation,0,1,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0017,2024/12/11,2024-12-11,Gemini-2.0-Flash-Thinking,Google,United States,listed_us_company,Tier 1,reasoning_llm,0,1,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0018,2024/12/17,2024-12-17,o1,OpenAI,United States,private_us_company,Tier 1,reasoning_llm,0,1,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0019,2024/12/17,2024-12-17,o1 Pro,OpenAI,United States,private_us_company,Tier 1,reasoning_llm,0,1,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0020,2024/12/20,2024-12-20,o3 family announcement,OpenAI,United States,private_us_company,Tier 3,reasoning_llm,1,1,0,0,0,1,0,aa_llm_models,manual_confirmed_media_source
FMR-0021,2025/1/22,2025-01-22,DeepSeek R1,DeepSeek,China,private_non_us_company,Tier 1,reasoning_llm,1,1,0,0,1,1,0,aa_llm_models,manual_confirmed_model_card
FMR-0022,2025/1/28,2025-01-28,Qwen2.5-Max,Alibaba,China,public_non_us_company,Tier 1,text_llm,1,0,0,0,1,1,0,aa_llm_models,official_date_matches_event_month
FMR-0023,2025/1/31,2025-01-31,o3 mini,OpenAI,United States,private_us_company,Tier 2,reasoning_llm,0,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0024,2025/2/5,2025-02-05,Gemini 2.0 family,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0025,2025/2/17,2025-02-17,Grok 3 family,xAI,United States,private_us_company,Tier 1,reasoning_llm,1,1,0,0,0,1,0,aa_llm_models,manual_confirmed_secondary_source
FMR-0026,2025/2/18,2025-02-18,Claude 3.7,Anthropic,United States,private_us_company,Tier 1,reasoning_llm,0,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0027,2025/2/25,2025-02-25,Gemini 2.0 Flash-Lite Preview,Google,United States,listed_us_company,Tier 2,text_llm,1,0,0,0,0,1,0,aa_llm_models,official_date_matches_event_month
FMR-0028,2025/2/26,2025-02-26,Phi-4 mini / multimodal family,Microsoft,United States,listed_us_company,Tier 2,multimodal_llm,1,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0029,2025/3/12,2025-03-12,Gemini 2.0 Flash Experimental,Google,United States,listed_us_company,Tier 1,multimodal_llm,0,0,0,0,0,1,0,aa_llm_models,manual_confirmed_official_source
FMR-0030,2025/3/31,2025-03-31,Runway Gen-4,Runway,United States,private_us_company,Tier 1,video_generation,1,0,0,1,0,0,1,aa_media_models,manual_confirmed_official_source
FMR-0031,2025/4/15,2025-04-15,Veo 2.0,Google,United States,listed_us_company,Tier 1,video_generation,1,0,0,1,0,0,1,aa_media_models,official_date_matches_event_month
FMR-0032,2025/4/15,2025-04-15,Kling 2.0,Kuaishou,China,public_non_us_company,Tier 1,video_generation,1,0,0,1,0,0,1,aa_media_models,manual_confirmed_official_source
FMR-0033,2025/4/16,2025-04-16,o3 full,OpenAI,United States,private_us_company,Tier 2,reasoning_llm,1,1,1,0,0,1,0,aa_llm_models,official_date_matches_event_month
